,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/hamlet/,Hamlet,
2,1.1.1,Who's there?,BERNARDO
3,1.1.2,"Nay, answer me: stand, and unfold yourself.",FRANCISCO
4,1.1.3,Long live the king!,BERNARDO
5,1.1.4,Bernardo?,FRANCISCO
6,1.1.5,He.,BERNARDO
7,1.1.6,You come most carefully upon your hour.,FRANCISCO
8,1.1.7,"'Tis now struck twelve; get thee to bed, Francisco.",BERNARDO
9,1.1.8,"For this relief much thanks: 'tis bitter cold,",FRANCISCO
10,1.1.9,And I am sick at heart.,FRANCISCO
11,1.1.10,Have you had quiet guard?,BERNARDO
12,1.1.11,Not a mouse stirring.,FRANCISCO
13,1.1.12,"Well, good night.",BERNARDO
14,1.1.13,"If you do meet Horatio and Marcellus,",BERNARDO
15,1.1.14,"The rivals of my watch, bid them make haste.",BERNARDO
16,1.1.15,"I think I hear them. Stand, ho! Who's there?",FRANCISCO
17,1.1.16,Friends to this ground.,HORATIO
18,1.1.17,And liegemen to the Dane.,MARCELLUS
19,1.1.18,Give you good night.,FRANCISCO
20,1.1.19,"O, farewell, honest soldier:",MARCELLUS
21,1.1.20,Who hath relieved you?,MARCELLUS
22,1.1.21,Bernardo has my place.,FRANCISCO
23,1.1.22,Give you good night.,FRANCISCO
24,1.1.23,Holla! Bernardo!,MARCELLUS
25,1.1.24,"Say,",BERNARDO
26,1.1.25,"What, is Horatio there?",BERNARDO
27,1.1.26,A piece of him.,HORATIO
28,1.1.27,"Welcome, Horatio: welcome, good Marcellus.",BERNARDO
29,1.1.28,"What, has this thing appear'd again to-night?",MARCELLUS
30,1.1.29,I have seen nothing.,BERNARDO
31,1.1.30,"Horatio says 'tis but our fantasy,",MARCELLUS
32,1.1.31,And will not let belief take hold of him,MARCELLUS
33,1.1.32,"Touching this dreaded sight, twice seen of us:",MARCELLUS
34,1.1.33,Therefore I have entreated him along,MARCELLUS
35,1.1.34,With us to watch the minutes of this night;,MARCELLUS
36,1.1.35,"That if again this apparition come,",MARCELLUS
37,1.1.36,He may approve our eyes and speak to it.,MARCELLUS
38,1.1.37,"Tush, tush, 'twill not appear.",HORATIO
