,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/Shakespeare/allswell,All's Well That Ends Well,
2,1.1.1,"In delivering my son from me, I bury a second husband.",COUNTESS
3,1.1.2,"And I in going, madam, weep o'er my father's death",BERTRAM
4,1.1.3,"anew: but I must attend his majesty's command, to",BERTRAM
5,1.1.4,"whom I am now in ward, evermore in subjection.",BERTRAM
6,1.1.5,"You shall find of the king a husband, madam; you,",LAFEU
7,1.1.6,"sir, a father: he that so generally is at all times",LAFEU
8,1.1.7,good must of necessity hold his virtue to you; whose,LAFEU
9,1.1.8,worthiness would stir it up where it wanted rather,LAFEU
10,1.1.9,than lack it where there is such abundance.,LAFEU
11,1.1.10,What hope is there of his majesty's amendment?,COUNTESS
12,1.1.11,"He hath abandoned his physicians, madam; under whose",LAFEU
13,1.1.12,"practises he hath persecuted time with hope, and",LAFEU
14,1.1.13,finds no other advantage in the process but only the,LAFEU
15,1.1.14,losing of hope by time.,LAFEU
16,1.1.15,"This young gentlewoman had a father,--O, that",COUNTESS
17,1.1.16,'had'! how sad a passage 'tis!--whose skill was,COUNTESS
18,1.1.17,almost as great as his honesty; had it stretched so,COUNTESS
19,1.1.18,"far, would have made nature immortal, and death",COUNTESS
20,1.1.19,"should have play for lack of work. Would, for the",COUNTESS
21,1.1.20,"king's sake, he were living! I think it would be",COUNTESS
22,1.1.21,the death of the king's disease.,COUNTESS
23,1.1.22,"How called you the man you speak of, madam?",LAFEU
24,1.1.23,"He was famous, sir, in his profession, and it was",COUNTESS
25,1.1.24,his great right to be so: Gerard de Narbon.,COUNTESS
26,1.1.25,"He was excellent indeed, madam: the king very",LAFEU
27,1.1.26,lately spoke of him admiringly and mourningly: he,LAFEU
28,1.1.27,"was skilful enough to have lived still, if knowledge",LAFEU
29,1.1.28,could be set up against mortality.,LAFEU
30,1.1.29,"What is it, my good lord, the king languishes of?",BERTRAM
31,1.1.30,"A fistula, my lord.",LAFEU
32,1.1.31,I heard not of it before.,BERTRAM
33,1.1.32,I would it were not notorious. Was this gentlewoman,LAFEU
34,1.1.33,the daughter of Gerard de Narbon?,LAFEU
35,1.1.34,"His sole child, my lord, and bequeathed to my",COUNTESS
36,1.1.35,overlooking. I have those hopes of her good that,COUNTESS
37,1.1.36,her education promises; her dispositions she,COUNTESS
38,1.1.37,"inherits, which makes fair gifts fairer; for where",COUNTESS
39,1.1.38,"an unclean mind carries virtuous qualities, there",COUNTESS
40,1.1.39,commendations go with pity; they are virtues and,COUNTESS
41,1.1.40,traitors too; in her they are the better for their,COUNTESS
42,1.1.41,simpleness; she derives her honesty and achieves her goodness.,COUNTESS
43,1.1.42,"Your commendations, madam, get from her tears.",LAFEU
44,1.1.43,'Tis the best brine a maiden can season her praise,COUNTESS
45,1.1.44,in. The remembrance of her father never approaches,COUNTESS
46,1.1.45,her heart but the tyranny of her sorrows takes all,COUNTESS
47,1.1.46,"livelihood from her cheek. No more of this, Helena;",COUNTESS
48,1.1.47,"go to, no more; lest it be rather thought you affect",COUNTESS
49,1.1.48,a sorrow than have it.,COUNTESS
50,1.1.49,"I do affect a sorrow indeed, but I have it too.",HELENA
51,1.1.50,"Moderate lamentation is the right of the dead,",LAFEU
52,1.1.51,excessive grief the enemy to the living.,LAFEU
53,1.1.52,"If the living be enemy to the grief, the excess",COUNTESS
54,1.1.53,makes it soon mortal.,COUNTESS
55,1.1.54,"Madam, I desire your holy wishes.",BERTRAM
56,1.1.55,How understand we that?,LAFEU
57,1.1.56,"Be thou blest, Bertram, and succeed thy father",COUNTESS
58,1.1.57,"In manners, as in shape! thy blood and virtue",COUNTESS
59,1.1.58,"Contend for empire in thee, and thy goodness",COUNTESS
60,1.1.59,"Share with thy birthright! Love all, trust a few,",COUNTESS
61,1.1.60,Do wrong to none: be able for thine enemy,COUNTESS
62,1.1.61,"Rather in power than use, and keep thy friend",COUNTESS
63,1.1.62,"Under thy own life's key: be cheque'd for silence,",COUNTESS
64,1.1.63,"But never tax'd for speech. What heaven more will,",COUNTESS
65,1.1.64,"That thee may furnish and my prayers pluck down,",COUNTESS
66,1.1.65,"Fall on thy head! Farewell, my lord;",COUNTESS
67,1.1.66,"'Tis an unseason'd courtier; good my lord,",COUNTESS
68,1.1.67,Advise him.,COUNTESS
69,1.1.68,          He cannot want the best,LAFEU
70,1.1.69,That shall attend his love.,LAFEU
71,1.1.70,"Heaven bless him! Farewell, Bertram.",COUNTESS
72,1.1.71,[To HELENA]  The best wishes that can be forged in,BERTRAM
73,1.1.72,your thoughts be servants to you! Be comfortable,BERTRAM
74,1.1.73,"to my mother, your mistress, and make much of her.",BERTRAM
75,1.1.74,"Farewell, pretty lady: you must hold the credit of",LAFEU
76,1.1.75,your father.,LAFEU
77,1.1.76,"O, were that all! I think not on my father;",HELENA
78,1.1.77,And these great tears grace his remembrance more,HELENA
79,1.1.78,Than those I shed for him. What was he like?,HELENA
80,1.1.79,I have forgot him: my imagination,HELENA
81,1.1.80,Carries no favour in't but Bertram's.,HELENA
82,1.1.81,"I am undone: there is no living, none,",HELENA
83,1.1.82,If Bertram be away. 'Twere all one,HELENA
84,1.1.83,That I should love a bright particular star,HELENA
85,1.1.84,"And think to wed it, he is so above me:",HELENA
86,1.1.85,In his bright radiance and collateral light,HELENA
87,1.1.86,"Must I be comforted, not in his sphere.",HELENA
88,1.1.87,The ambition in my love thus plagues itself:,HELENA
89,1.1.88,The hind that would be mated by the lion,HELENA
90,1.1.89,"Must die for love. 'Twas pretty, though plague,",HELENA
91,1.1.90,To see him every hour; to sit and draw,HELENA
92,1.1.91,"His arched brows, his hawking eye, his curls,",HELENA
93,1.1.92,In our heart's table; heart too capable,HELENA
94,1.1.93,Of every line and trick of his sweet favour:,HELENA
95,1.1.94,"But now he's gone, and my idolatrous fancy",HELENA
96,1.1.95,Must sanctify his reliques. Who comes here?,HELENA
97,1.1.96,One that goes with him: I love him for his sake;,HELENA
98,1.1.97,"And yet I know him a notorious liar,",HELENA
99,1.1.98,"Think him a great way fool, solely a coward;",HELENA
100,1.1.99,"Yet these fixed evils sit so fit in him,",HELENA
101,1.1.100,"That they take place, when virtue's steely bones",HELENA
102,1.1.101,"Look bleak i' the cold wind: withal, full oft we see",HELENA
103,1.1.102,Cold wisdom waiting on superfluous folly.,HELENA
104,1.1.103,"Save you, fair queen!",PAROLLES
105,1.1.104,"And you, monarch!",HELENA
106,1.1.105,No.,PAROLLES
107,1.1.106,And no.,HELENA
108,1.1.107,Are you meditating on virginity?,PAROLLES
109,1.1.108,Ay. You have some stain of soldier in you: let me,HELENA
110,1.1.109,ask you a question. Man is enemy to virginity; how,HELENA
111,1.1.110,may we barricado it against him?,HELENA
112,1.1.111,Keep him out.,PAROLLES
113,1.1.112,"But he assails; and our virginity, though valiant,",HELENA
114,1.1.113,in the defence yet is weak: unfold to us some,HELENA
115,1.1.114,warlike resistance.,HELENA
116,1.1.115,"There is none: man, sitting down before you, will",PAROLLES
117,1.1.116,undermine you and blow you up.,PAROLLES
118,1.1.117,Bless our poor virginity from underminers and,HELENA
119,1.1.118,"blowers up! Is there no military policy, how",HELENA
120,1.1.119,virgins might blow up men?,HELENA
121,1.1.120,"Virginity being blown down, man will quicklier be",PAROLLES
122,1.1.121,"blown up: marry, in blowing him down again, with",PAROLLES
123,1.1.122,"the breach yourselves made, you lose your city. It",PAROLLES
124,1.1.123,is not politic in the commonwealth of nature to,PAROLLES
125,1.1.124,preserve virginity. Loss of virginity is rational,PAROLLES
126,1.1.125,increase and there was never virgin got till,PAROLLES
127,1.1.126,virginity was first lost. That you were made of is,PAROLLES
128,1.1.127,metal to make virgins. Virginity by being once lost,PAROLLES
129,1.1.128,"may be ten times found; by being ever kept, it is",PAROLLES
130,1.1.129,ever lost: 'tis too cold a companion; away with 't!,PAROLLES
131,1.1.130,"I will stand for 't a little, though therefore I die a virgin.",HELENA
132,1.1.131,There's little can be said in 't; 'tis against the,PAROLLES
133,1.1.132,"rule of nature. To speak on the part of virginity,",PAROLLES
134,1.1.133,is to accuse your mothers; which is most infallible,PAROLLES
135,1.1.134,disobedience. He that hangs himself is a virgin:,PAROLLES
136,1.1.135,virginity murders itself and should be buried in,PAROLLES
137,1.1.136,"highways out of all sanctified limit, as a desperate",PAROLLES
138,1.1.137,"offendress against nature. Virginity breeds mites,",PAROLLES
139,1.1.138,much like a cheese; consumes itself to the very,PAROLLES
140,1.1.139,"paring, and so dies with feeding his own stomach.",PAROLLES
141,1.1.140,"Besides, virginity is peevish, proud, idle, made of",PAROLLES
142,1.1.141,"self-love, which is the most inhibited sin in the",PAROLLES
143,1.1.142,canon. Keep it not; you cannot choose but loose,PAROLLES
144,1.1.143,by't: out with 't! within ten year it will make,PAROLLES
145,1.1.144,"itself ten, which is a goodly increase; and the",PAROLLES
146,1.1.145,principal itself not much the worse: away with 't!,PAROLLES
147,1.1.146,"How might one do, sir, to lose it to her own liking?",HELENA
148,1.1.147,"Let me see: marry, ill, to like him that ne'er it",PAROLLES
149,1.1.148,likes. 'Tis a commodity will lose the gloss with,PAROLLES
150,1.1.149,"lying; the longer kept, the less worth: off with 't",PAROLLES
151,1.1.150,while 'tis vendible; answer the time of request.,PAROLLES
152,1.1.151,"Virginity, like an old courtier, wears her cap out",PAROLLES
153,1.1.152,"of fashion: richly suited, but unsuitable: just",PAROLLES
154,1.1.153,"like the brooch and the tooth-pick, which wear not",PAROLLES
155,1.1.154,now. Your date is better in your pie and your,PAROLLES
156,1.1.155,"porridge than in your cheek; and your virginity,",PAROLLES
157,1.1.156,"your old virginity, is like one of our French",PAROLLES
158,1.1.157,"withered pears, it looks ill, it eats drily; marry,",PAROLLES
159,1.1.158,'tis a withered pear; it was formerly better;,PAROLLES
160,1.1.159,"marry, yet 'tis a withered pear: will you anything with it?",PAROLLES
161,1.1.160,Not my virginity yet [         ],HELENA
162,1.1.161,"There shall your master have a thousand loves,",HELENA
163,1.1.162,"A mother and a mistress and a friend,",HELENA
164,1.1.163,"A phoenix, captain and an enemy,",HELENA
165,1.1.164,"A guide, a goddess, and a sovereign,",HELENA
166,1.1.165,"A counsellor, a traitress, and a dear;",HELENA
167,1.1.166,"His humble ambition, proud humility,",HELENA
168,1.1.167,"His jarring concord, and his discord dulcet,",HELENA
169,1.1.168,"His faith, his sweet disaster; with a world",HELENA
170,1.1.169,"Of pretty, fond, adoptious christendoms,",HELENA
171,1.1.170,That blinking Cupid gossips. Now shall he--,HELENA
172,1.1.171,I know not what he shall. God send him well!,HELENA
173,1.1.172,"The court's a learning place, and he is one--",HELENA
174,1.1.173,"What one, i' faith?",PAROLLES
175,1.1.174,That I wish well. 'Tis pity--,HELENA
176,1.1.175,What's pity?,PAROLLES
177,1.1.176,"That wishing well had not a body in't,",HELENA
178,1.1.177,"Which might be felt; that we, the poorer born,",HELENA
179,1.1.178,"Whose baser stars do shut us up in wishes,",HELENA
180,1.1.179,"Might with effects of them follow our friends,",HELENA
181,1.1.180,"And show what we alone must think, which never",HELENA
182,1.1.181,Return us thanks.,HELENA
183,1.1.182,"Monsieur Parolles, my lord calls for you.",Page
184,1.1.183,"Little Helen, farewell; if I can remember thee, I",PAROLLES
185,1.1.184,will think of thee at court.,PAROLLES
186,1.1.185,"Monsieur Parolles, you were born under a charitable star.",HELENA
187,1.1.186,"Under Mars, I.",PAROLLES
188,1.1.187,"I especially think, under Mars.",HELENA
189,1.1.188,Why under Mars?,PAROLLES
190,1.1.189,The wars have so kept you under that you must needs,HELENA
191,1.1.190,be born under Mars.,HELENA
192,1.1.191,When he was predominant.,PAROLLES
193,1.1.192,"When he was retrograde, I think, rather.",HELENA
194,1.1.193,Why think you so?,PAROLLES
195,1.1.194,You go so much backward when you fight.,HELENA
196,1.1.195,That's for advantage.,PAROLLES
197,1.1.196,"So is running away, when fear proposes the safety;",HELENA
198,1.1.197,but the composition that your valour and fear makes,HELENA
199,1.1.198,"in you is a virtue of a good wing, and I like the wear well.",HELENA
200,1.1.199,"I am so full of businesses, I cannot answer thee",PAROLLES
201,1.1.200,acutely. I will return perfect courtier; in the,PAROLLES
202,1.1.201,"which, my instruction shall serve to naturalize",PAROLLES
203,1.1.202,"thee, so thou wilt be capable of a courtier's",PAROLLES
204,1.1.203,counsel and understand what advice shall thrust upon,PAROLLES
205,1.1.204,"thee; else thou diest in thine unthankfulness, and",PAROLLES
206,1.1.205,thine ignorance makes thee away: farewell. When,PAROLLES
207,1.1.206,"thou hast leisure, say thy prayers; when thou hast",PAROLLES
208,1.1.207,"none, remember thy friends; get thee a good husband,",PAROLLES
209,1.1.208,"and use him as he uses thee; so, farewell.",PAROLLES
210,1.1.209,"Our remedies oft in ourselves do lie,",HELENA
211,1.1.210,Which we ascribe to heaven: the fated sky,HELENA
212,1.1.211,"Gives us free scope, only doth backward pull",HELENA
213,1.1.212,Our slow designs when we ourselves are dull.,HELENA
214,1.1.213,"What power is it which mounts my love so high,",HELENA
215,1.1.214,"That makes me see, and cannot feed mine eye?",HELENA
216,1.1.215,The mightiest space in fortune nature brings,HELENA
217,1.1.216,To join like likes and kiss like native things.,HELENA
218,1.1.217,Impossible be strange attempts to those,HELENA
219,1.1.218,That weigh their pains in sense and do suppose,HELENA
220,1.1.219,What hath been cannot be: who ever strove,HELENA
221,1.1.220,"So show her merit, that did miss her love?",HELENA
222,1.1.221,"The king's disease--my project may deceive me,",HELENA
223,1.1.222,But my intents are fix'd and will not leave me.,HELENA
224,1.2.1,The Florentines and Senoys are by the ears;,KING
225,1.2.2,Have fought with equal fortune and continue,KING
226,1.2.3,A braving war.,KING
227,1.2.4,"                  So 'tis reported, sir.",First Lord
228,1.2.5,"Nay, 'tis most credible; we here received it",KING
229,1.2.6,"A certainty, vouch'd from our cousin Austria,",KING
230,1.2.7,With caution that the Florentine will move us,KING
231,1.2.8,For speedy aid; wherein our dearest friend,KING
232,1.2.9,Prejudicates the business and would seem,KING
233,1.2.10,To have us make denial.,KING
234,1.2.11,"His love and wisdom,",First Lord
235,1.2.12,"Approved so to your majesty, may plead",First Lord
236,1.2.13,For amplest credence.,First Lord
237,1.2.14,"He hath arm'd our answer,",KING
238,1.2.15,And Florence is denied before he comes:,KING
239,1.2.16,"Yet, for our gentlemen that mean to see",KING
240,1.2.17,"The Tuscan service, freely have they leave",KING
241,1.2.18,To stand on either part.,KING
242,1.2.19,It well may serve,Second Lord
243,1.2.20,"A nursery to our gentry, who are sick",Second Lord
244,1.2.21,For breathing and exploit.,Second Lord
245,1.2.22,What's he comes here?,KING
246,1.2.23,"It is the Count Rousillon, my good lord,",First Lord
247,1.2.24,Young Bertram.,First Lord
248,1.2.25,"                  Youth, thou bear'st thy father's face;",KING
249,1.2.26,"Frank nature, rather curious than in haste,",KING
250,1.2.27,Hath well composed thee. Thy father's moral parts,KING
251,1.2.28,Mayst thou inherit too! Welcome to Paris.,KING
252,1.2.29,My thanks and duty are your majesty's.,BERTRAM
253,1.2.30,"I would I had that corporal soundness now,",KING
254,1.2.31,As when thy father and myself in friendship,KING
255,1.2.32,First tried our soldiership! He did look far,KING
256,1.2.33,Into the service of the time and was,KING
257,1.2.34,Discipled of the bravest: he lasted long;,KING
258,1.2.35,But on us both did haggish age steal on,KING
259,1.2.36,And wore us out of act. It much repairs me,KING
260,1.2.37,To talk of your good father. In his youth,KING
261,1.2.38,He had the wit which I can well observe,KING
262,1.2.39,To-day in our young lords; but they may jest,KING
263,1.2.40,Till their own scorn return to them unnoted,KING
264,1.2.41,Ere they can hide their levity in honour;,KING
265,1.2.42,"So like a courtier, contempt nor bitterness",KING
266,1.2.43,"Were in his pride or sharpness; if they were,",KING
267,1.2.44,"His equal had awaked them, and his honour,",KING
268,1.2.45,"Clock to itself, knew the true minute when",KING
269,1.2.46,"Exception bid him speak, and at this time",KING
270,1.2.47,His tongue obey'd his hand: who were below him,KING
271,1.2.48,He used as creatures of another place,KING
272,1.2.49,"And bow'd his eminent top to their low ranks,",KING
273,1.2.50,"Making them proud of his humility,",KING
274,1.2.51,In their poor praise he humbled. Such a man,KING
275,1.2.52,Might be a copy to these younger times;,KING
276,1.2.53,"Which, follow'd well, would demonstrate them now",KING
277,1.2.54,But goers backward.,KING
278,1.2.55,"His good remembrance, sir,",BERTRAM
279,1.2.56,Lies richer in your thoughts than on his tomb;,BERTRAM
280,1.2.57,So in approof lives not his epitaph,BERTRAM
281,1.2.58,As in your royal speech.,BERTRAM
282,1.2.59,Would I were with him! He would always say--,KING
283,1.2.60,Methinks I hear him now; his plausive words,KING
284,1.2.61,"He scatter'd not in ears, but grafted them,",KING
285,1.2.62,"To grow there and to bear,--'Let me not live,'--",KING
286,1.2.63,"This his good melancholy oft began,",KING
287,1.2.64,"On the catastrophe and heel of pastime,",KING
288,1.2.65,"When it was out,--'Let me not live,' quoth he,",KING
289,1.2.66,"'After my flame lacks oil, to be the snuff",KING
290,1.2.67,"Of younger spirits, whose apprehensive senses",KING
291,1.2.68,All but new things disdain; whose judgments are,KING
292,1.2.69,Mere fathers of their garments; whose constancies,KING
293,1.2.70,Expire before their fashions.' This he wish'd;,KING
294,1.2.71,"I after him do after him wish too,",KING
295,1.2.72,"Since I nor wax nor honey can bring home,",KING
296,1.2.73,"I quickly were dissolved from my hive,",KING
297,1.2.74,To give some labourers room.,KING
298,1.2.75,"You are loved, sir:",Second Lord
299,1.2.76,They that least lend it you shall lack you first.,Second Lord
300,1.2.77,"I fill a place, I know't. How long is't, count,",KING
301,1.2.78,Since the physician at your father's died?,KING
302,1.2.79,He was much famed.,KING
303,1.2.80,"                  Some six months since, my lord.",BERTRAM
304,1.2.81,"If he were living, I would try him yet.",KING
305,1.2.82,Lend me an arm; the rest have worn me out,KING
306,1.2.83,With several applications; nature and sickness,KING
307,1.2.84,"Debate it at their leisure. Welcome, count;",KING
308,1.2.85,My son's no dearer.,KING
309,1.2.86,Thank your majesty.,BERTRAM
310,1.3.1,I will now hear; what say you of this gentlewoman?,COUNTESS
311,1.3.2,"Madam, the care I have had to even your content, I",Steward
312,1.3.3,wish might be found in the calendar of my past,Steward
313,1.3.4,endeavours; for then we wound our modesty and make,Steward
314,1.3.5,"foul the clearness of our deservings, when of",Steward
315,1.3.6,ourselves we publish them.,Steward
316,1.3.7,"What does this knave here? Get you gone, sirrah:",COUNTESS
