,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/cleopatra/,Antony and Cleopatra,
2,1.1.1,"Nay, but this dotage of our general's",PHILO
3,1.1.2,"O'erflows the measure: those his goodly eyes,",PHILO
4,1.1.3,That o'er the files and musters of the war,PHILO
5,1.1.4,"Have glow'd like plated Mars, now bend, now turn,",PHILO
6,1.1.5,The office and devotion of their view,PHILO
7,1.1.6,"Upon a tawny front: his captain's heart,",PHILO
8,1.1.7,Which in the scuffles of great fights hath burst,PHILO
9,1.1.8,"The buckles on his breast, reneges all temper,",PHILO
10,1.1.9,And is become the bellows and the fan,PHILO
11,1.1.10,To cool a gipsy's lust.,PHILO
12,1.1.11,"Look, where they come:",PHILO
13,1.1.12,"Take but good note, and you shall see in him.",PHILO
14,1.1.13,The triple pillar of the world transform'd,PHILO
15,1.1.14,Into a strumpet's fool: behold and see.,PHILO
16,1.1.15,"If it be love indeed, tell me how much.",CLEOPATRA
17,1.1.16,There's beggary in the love that can be reckon'd.,MARK ANTONY
18,1.1.17,I'll set a bourn how far to be beloved.,CLEOPATRA
19,1.1.18,"Then must thou needs find out new heaven, new earth.",MARK ANTONY
20,1.1.19,"News, my good lord, from Rome.",Attendant
21,1.1.20,Grates me: the sum.,MARK ANTONY
22,1.1.21,"Nay, hear them, Antony:",CLEOPATRA
23,1.1.22,"Fulvia perchance is angry; or, who knows",CLEOPATRA
24,1.1.23,If the scarce-bearded Caesar have not sent,CLEOPATRA
25,1.1.24,"His powerful mandate to you, 'Do this, or this;",CLEOPATRA
26,1.1.25,"Take in that kingdom, and enfranchise that;",CLEOPATRA
27,1.1.26,"Perform 't, or else we damn thee.'",CLEOPATRA
28,1.1.27,"How, my love!",MARK ANTONY
29,1.1.28,"Perchance! nay, and most like:",CLEOPATRA
30,1.1.29,"You must not stay here longer, your dismission",CLEOPATRA
31,1.1.30,"Is come from Caesar; therefore hear it, Antony.",CLEOPATRA
32,1.1.31,Where's Fulvia's process? Caesar's I would say? both?,CLEOPATRA
33,1.1.32,"Call in the messengers. As I am Egypt's queen,",CLEOPATRA
34,1.1.33,"Thou blushest, Antony; and that blood of thine",CLEOPATRA
35,1.1.34,Is Caesar's homager: else so thy cheek pays shame,CLEOPATRA
36,1.1.35,When shrill-tongued Fulvia scolds. The messengers!,CLEOPATRA
37,1.1.36,"Let Rome in Tiber melt, and the wide arch",MARK ANTONY
38,1.1.37,Of the ranged empire fall! Here is my space.,MARK ANTONY
39,1.1.38,Kingdoms are clay: our dungy earth alike,MARK ANTONY
40,1.1.39,Feeds beast as man: the nobleness of life,MARK ANTONY
41,1.1.40,Is to do thus; when such a mutual pair,MARK ANTONY
42,1.1.41,"And such a twain can do't, in which I bind,",MARK ANTONY
43,1.1.42,"On pain of punishment, the world to weet",MARK ANTONY
44,1.1.43,We stand up peerless.,MARK ANTONY
45,1.1.44,Excellent falsehood!,CLEOPATRA
