,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/asyoulikeit/,As You Like It,
2,1.1.1,"As I remember, Adam, it was upon this fashion",ORLANDO
3,1.1.2,"bequeathed me by will but poor a thousand crowns,",ORLANDO
4,1.1.3,"and, as thou sayest, charged my brother, on his",ORLANDO
5,1.1.4,"blessing, to breed me well: and there begins my",ORLANDO
6,1.1.5,"sadness. My brother Jaques he keeps at school, and",ORLANDO
7,1.1.6,"report speaks goldenly of his profit: for my part,",ORLANDO
8,1.1.7,"he keeps me rustically at home, or, to speak more",ORLANDO
9,1.1.8,"properly, stays me here at home unkept; for call you",ORLANDO
10,1.1.9,"that keeping for a gentleman of my birth, that",ORLANDO
11,1.1.10,differs not from the stalling of an ox? His horses,ORLANDO
12,1.1.11,"are bred better; for, besides that they are fair",ORLANDO
13,1.1.12,"with their feeding, they are taught their manage,",ORLANDO
14,1.1.13,"and to that end riders dearly hired: but I, his",ORLANDO
15,1.1.14,"brother, gain nothing under him but growth; for the",ORLANDO
16,1.1.15,which his animals on his dunghills are as much,ORLANDO
17,1.1.16,bound to him as I. Besides this nothing that he so,ORLANDO
18,1.1.17,"plentifully gives me, the something that nature gave",ORLANDO
19,1.1.18,me his countenance seems to take from me: he lets,ORLANDO
20,1.1.19,"me feed with his hinds, bars me the place of a",ORLANDO
21,1.1.20,"brother, and, as much as in him lies, mines my",ORLANDO
22,1.1.21,"gentility with my education. This is it, Adam, that",ORLANDO
23,1.1.22,"grieves me; and the spirit of my father, which I",ORLANDO
24,1.1.23,"think is within me, begins to mutiny against this",ORLANDO
25,1.1.24,"servitude: I will no longer endure it, though yet I",ORLANDO
26,1.1.25,know no wise remedy how to avoid it.,ORLANDO
27,1.1.26,"Yonder comes my master, your brother.",ADAM
28,1.1.27,"Go apart, Adam, and thou shalt hear how he will",ORLANDO
29,1.1.28,shake me up.,ORLANDO
30,1.1.29,"Now, sir! what make you here?",OLIVER
31,1.1.30,Nothing: I am not taught to make any thing.,ORLANDO
32,1.1.31,"What mar you then, sir?",OLIVER
33,1.1.32,"Marry, sir, I am helping you to mar that which God",ORLANDO
34,1.1.33,"made, a poor unworthy brother of yours, with idleness.",ORLANDO
35,1.1.34,"Marry, sir, be better employed, and be naught awhile.",OLIVER
36,1.1.35,Shall I keep your hogs and eat husks with them?,ORLANDO
37,1.1.36,"What prodigal portion have I spent, that I should",ORLANDO
38,1.1.37,come to such penury?,ORLANDO
39,1.1.38,"Know you where your are, sir?",OLIVER
40,1.1.39,"O, sir, very well; here in your orchard.",ORLANDO
41,1.1.40,"Know you before whom, sir?",OLIVER
42,1.1.41,"Ay, better than him I am before knows me. I know",ORLANDO
43,1.1.42,"you are my eldest brother; and, in the gentle",ORLANDO
44,1.1.43,"condition of blood, you should so know me. The",ORLANDO
45,1.1.44,"courtesy of nations allows you my better, in that",ORLANDO
46,1.1.45,you are the first-born; but the same tradition,ORLANDO
47,1.1.46,"takes not away my blood, were there twenty brothers",ORLANDO
48,1.1.47,betwixt us: I have as much of my father in me as,ORLANDO
49,1.1.48,"you; albeit, I confess, your coming before me is",ORLANDO
50,1.1.49,nearer to his reverence.,ORLANDO
51,1.1.50,"What, boy!",OLIVER
52,1.1.51,"Come, come, elder brother, you are too young in this.",ORLANDO
53,1.1.52,"Wilt thou lay hands on me, villain?",OLIVER
54,1.1.53,I am no villain; I am the youngest son of Sir,ORLANDO
55,1.1.54,"Rowland de Boys; he was my father, and he is thrice",ORLANDO
56,1.1.55,a villain that says such a father begot villains.,ORLANDO
57,1.1.56,"Wert thou not my brother, I would not take this hand",ORLANDO
58,1.1.57,from thy throat till this other had pulled out thy,ORLANDO
59,1.1.58,tongue for saying so: thou hast railed on thyself.,ORLANDO
60,1.1.59,"Sweet masters, be patient: for your father's",ADAM
61,1.1.60,"remembrance, be at accord.",ADAM
62,1.1.61,"Let me go, I say.",OLIVER
63,1.1.62,"I will not, till I please: you shall hear me. My",ORLANDO
64,1.1.63,father charged you in his will to give me good,ORLANDO
65,1.1.64,"education: you have trained me like a peasant,",ORLANDO
66,1.1.65,obscuring and hiding from me all gentleman-like,ORLANDO
67,1.1.66,qualities. The spirit of my father grows strong in,ORLANDO
68,1.1.67,"me, and I will no longer endure it: therefore allow",ORLANDO
69,1.1.68,"me such exercises as may become a gentleman, or",ORLANDO
70,1.1.69,give me the poor allottery my father left me by,ORLANDO
71,1.1.70,testament; with that I will go buy my fortunes.,ORLANDO
72,1.1.71,"And what wilt thou do? beg, when that is spent?",OLIVER
73,1.1.72,"Well, sir, get you in: I will not long be troubled",OLIVER
74,1.1.73,with you; you shall have some part of your will: I,OLIVER
75,1.1.74,"pray you, leave me.",OLIVER
76,1.1.75,I will no further offend you than becomes me for my good.,ORLANDO
77,1.1.76,"Get you with him, you old dog.",OLIVER
78,1.1.77,"Is 'old dog' my reward? Most true, I have lost my",ADAM
79,1.1.78,teeth in your service. God be with my old master!,ADAM
80,1.1.79,he would not have spoke such a word.,ADAM
81,1.1.80,Is it even so? begin you to grow upon me? I will,OLIVER
82,1.1.81,"physic your rankness, and yet give no thousand",OLIVER
83,1.1.82,"crowns neither. Holla, Dennis!",OLIVER
84,1.1.83,Calls your worship?,DENNIS
85,1.1.84,"Was not Charles, the duke's wrestler, here to speak with me?",OLIVER
86,1.1.85,"So please you, he is here at the door and importunes",DENNIS
87,1.1.86,access to you.,DENNIS
88,1.1.87,Call him in.,OLIVER
89,1.1.88,'Twill be a good way; and to-morrow the wrestling is.,OLIVER
90,1.1.89,Good morrow to your worship.,CHARLES
91,1.1.90,"Good Monsieur Charles, what's the new news at the",OLIVER
92,1.1.91,new court?,OLIVER
93,1.1.92,"There's no news at the court, sir, but the old news:",CHARLES
94,1.1.93,"that is, the old duke is banished by his younger",CHARLES
95,1.1.94,brother the new duke; and three or four loving lords,CHARLES
96,1.1.95,"have put themselves into voluntary exile with him,",CHARLES
97,1.1.96,whose lands and revenues enrich the new duke;,CHARLES
98,1.1.97,therefore he gives them good leave to wander.,CHARLES
99,1.1.98,"Can you tell if Rosalind, the duke's daughter, be",OLIVER
100,1.1.99,banished with her father?,OLIVER
101,1.1.100,"O, no; for the duke's daughter, her cousin, so loves",CHARLES
102,1.1.101,"her, being ever from their cradles bred together,",CHARLES
103,1.1.102,"that she would have followed her exile, or have died",CHARLES
104,1.1.103,"to stay behind her. She is at the court, and no",CHARLES
105,1.1.104,less beloved of her uncle than his own daughter; and,CHARLES
106,1.1.105,never two ladies loved as they do.,CHARLES
107,1.1.106,Where will the old duke live?,OLIVER
108,1.1.107,"They say he is already in the forest of Arden, and",CHARLES
109,1.1.108,a many merry men with him; and there they live like,CHARLES
110,1.1.109,the old Robin Hood of England: they say many young,CHARLES
111,1.1.110,"gentlemen flock to him every day, and fleet the time",CHARLES
112,1.1.111,"carelessly, as they did in the golden world.",CHARLES
113,1.1.112,"What, you wrestle to-morrow before the new duke?",OLIVER
114,1.1.113,"Marry, do I, sir; and I came to acquaint you with a",CHARLES
115,1.1.114,"matter. I am given, sir, secretly to understand",CHARLES
116,1.1.115,that your younger brother Orlando hath a disposition,CHARLES
117,1.1.116,to come in disguised against me to try a fall.,CHARLES
118,1.1.117,"To-morrow, sir, I wrestle for my credit; and he that",CHARLES
119,1.1.118,escapes me without some broken limb shall acquit him,CHARLES
120,1.1.119,"well. Your brother is but young and tender; and,",CHARLES
121,1.1.120,"for your love, I would be loath to foil him, as I",CHARLES
122,1.1.121,"must, for my own honour, if he come in: therefore,",CHARLES
123,1.1.122,"out of my love to you, I came hither to acquaint you",CHARLES
124,1.1.123,"withal, that either you might stay him from his",CHARLES
125,1.1.124,intendment or brook such disgrace well as he shall,CHARLES
126,1.1.125,"run into, in that it is a thing of his own search",CHARLES
