,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/comedy_errors/,Comedy of Errors,
2,1.1.1,"Proceed, Solinus, to procure my fall",AEGEON
3,1.1.2,And by the doom of death end woes and all.,AEGEON
4,1.1.3,"Merchant of Syracuse, plead no more;",DUKE SOLINUS
5,1.1.4,I am not partial to infringe our laws:,DUKE SOLINUS
6,1.1.5,The enmity and discord which of late,DUKE SOLINUS
7,1.1.6,Sprung from the rancorous outrage of your duke,DUKE SOLINUS
8,1.1.7,"To merchants, our well-dealing countrymen,",DUKE SOLINUS
9,1.1.8,Who wanting guilders to redeem their lives,DUKE SOLINUS
10,1.1.9,"Have seal'd his rigorous statutes with their bloods,",DUKE SOLINUS
11,1.1.10,Excludes all pity from our threatening looks.,DUKE SOLINUS
12,1.1.11,"For, since the mortal and intestine jars",DUKE SOLINUS
13,1.1.12,"'Twixt thy seditious countrymen and us,",DUKE SOLINUS
14,1.1.13,It hath in solemn synods been decreed,DUKE SOLINUS
15,1.1.14,"Both by the Syracusians and ourselves,",DUKE SOLINUS
16,1.1.15,"To admit no traffic to our adverse towns Nay, more,",DUKE SOLINUS
17,1.1.16,If any born at Ephesus be seen,DUKE SOLINUS
18,1.1.17,At any Syracusian marts and fairs;,DUKE SOLINUS
19,1.1.18,Again: if any Syracusian born,DUKE SOLINUS
20,1.1.19,"Come to the bay of Ephesus, he dies,",DUKE SOLINUS
21,1.1.20,"His goods confiscate to the duke's dispose,",DUKE SOLINUS
22,1.1.21,"Unless a thousand marks be levied,",DUKE SOLINUS
23,1.1.22,To quit the penalty and to ransom him.,DUKE SOLINUS
24,1.1.23,"Thy substance, valued at the highest rate,",DUKE SOLINUS
25,1.1.24,Cannot amount unto a hundred marks;,DUKE SOLINUS
26,1.1.25,Therefore by law thou art condemned to die.,DUKE SOLINUS
27,1.1.26,"Yet this my comfort: when your words are done,",AEGEON
28,1.1.27,My woes end likewise with the evening sun.,AEGEON
29,1.1.28,"Well, Syracusian, say in brief the cause",DUKE SOLINUS
30,1.1.29,Why thou departed'st from thy native home,DUKE SOLINUS
31,1.1.30,And for what cause thou camest to Ephesus.,DUKE SOLINUS
32,1.1.31,A heavier task could not have been imposed,AEGEON
33,1.1.32,Than I to speak my griefs unspeakable:,AEGEON
34,1.1.33,"Yet, that the world may witness that my end",AEGEON
35,1.1.34,"Was wrought by nature, not by vile offence,",AEGEON
36,1.1.35,I'll utter what my sorrows give me leave.,AEGEON
37,1.1.36,"In Syracusa was I born, and wed",AEGEON
38,1.1.37,"Unto a woman, happy but for me,",AEGEON
39,1.1.38,"And by me, had not our hap been bad.",AEGEON
40,1.1.39,With her I lived in joy; our wealth increased,AEGEON
41,1.1.40,By prosperous voyages I often made,AEGEON
42,1.1.41,To Epidamnum; till my factor's death,AEGEON
43,1.1.42,And the great care of goods at random left,AEGEON
44,1.1.43,Drew me from kind embracements of my spouse:,AEGEON
45,1.1.44,From whom my absence was not six months old,AEGEON
46,1.1.45,"Before herself, almost at fainting under",AEGEON
47,1.1.46,"The pleasing punishment that women bear,",AEGEON
48,1.1.47,Had made provision for her following me,AEGEON
49,1.1.48,And soon and safe arrived where I was.,AEGEON
50,1.1.49,"There had she not been long, but she became",AEGEON
51,1.1.50,A joyful mother of two goodly sons;,AEGEON
52,1.1.51,"And, which was strange, the one so like the other,",AEGEON
53,1.1.52,As could not be distinguish'd but by names.,AEGEON
54,1.1.53,"That very hour, and in the self-same inn,",AEGEON
55,1.1.54,A meaner woman was delivered,AEGEON
56,1.1.55,"Of such a burden, male twins, both alike:",AEGEON
57,1.1.56,"Those,--for their parents were exceeding poor,--",AEGEON
58,1.1.57,I bought and brought up to attend my sons.,AEGEON
59,1.1.58,"My wife, not meanly proud of two such boys,",AEGEON
60,1.1.59,Made daily motions for our home return:,AEGEON
61,1.1.60,"Unwilling I agreed. Alas! too soon,",AEGEON
62,1.1.61,We came aboard.,AEGEON
63,1.1.62,"A league from Epidamnum had we sail'd,",AEGEON
64,1.1.63,Before the always wind-obeying deep,AEGEON
65,1.1.64,Gave any tragic instance of our harm:,AEGEON
66,1.1.65,But longer did we not retain much hope;,AEGEON
67,1.1.66,For what obscured light the heavens did grant,AEGEON
68,1.1.67,Did but convey unto our fearful minds,AEGEON
69,1.1.68,A doubtful warrant of immediate death;,AEGEON
70,1.1.69,"Which though myself would gladly have embraced,",AEGEON
71,1.1.70,"Yet the incessant weepings of my wife,",AEGEON
72,1.1.71,"Weeping before for what she saw must come,",AEGEON
73,1.1.72,"And piteous plainings of the pretty babes,",AEGEON
74,1.1.73,"That mourn'd for fashion, ignorant what to fear,",AEGEON
75,1.1.74,Forced me to seek delays for them and me.,AEGEON
76,1.1.75,"And this it was, for other means was none:",AEGEON
77,1.1.76,"The sailors sought for safety by our boat,",AEGEON
78,1.1.77,"And left the ship, then sinking-ripe, to us:",AEGEON
79,1.1.78,"My wife, more careful for the latter-born,",AEGEON
80,1.1.79,"Had fasten'd him unto a small spare mast,",AEGEON
81,1.1.80,Such as seafaring men provide for storms;,AEGEON
82,1.1.81,"To him one of the other twins was bound,",AEGEON
83,1.1.82,Whilst I had been like heedful of the other:,AEGEON
84,1.1.83,"The children thus disposed, my wife and I,",AEGEON
85,1.1.84,"Fixing our eyes on whom our care was fix'd,",AEGEON
86,1.1.85,Fasten'd ourselves at either end the mast;,AEGEON
87,1.1.86,"And floating straight, obedient to the stream,",AEGEON
88,1.1.87,"Was carried towards Corinth, as we thought.",AEGEON
89,1.1.88,"At length the sun, gazing upon the earth,",AEGEON
90,1.1.89,Dispersed those vapours that offended us;,AEGEON
91,1.1.90,"And by the benefit of his wished light,",AEGEON
92,1.1.91,"The seas wax'd calm, and we discovered",AEGEON
93,1.1.92,"Two ships from far making amain to us,",AEGEON
94,1.1.93,"Of Corinth that, of Epidaurus this:",AEGEON
95,1.1.94,"But ere they came,--O, let me say no more!",AEGEON
96,1.1.95,Gather the sequel by that went before.,AEGEON
97,1.1.96,"Nay, forward, old man; do not break off so;",DUKE SOLINUS
98,1.1.97,"For we may pity, though not pardon thee.",DUKE SOLINUS
99,1.1.98,"O, had the gods done so, I had not now",AEGEON
100,1.1.99,Worthily term'd them merciless to us!,AEGEON
101,1.1.100,"For, ere the ships could meet by twice five leagues,",AEGEON
102,1.1.101,We were encounterd by a mighty rock;,AEGEON
103,1.1.102,"Which being violently borne upon,",AEGEON
104,1.1.103,Our helpful ship was splitted in the midst;,AEGEON
105,1.1.104,"So that, in this unjust divorce of us,",AEGEON
106,1.1.105,Fortune had left to both of us alike,AEGEON
107,1.1.106,"What to delight in, what to sorrow for.",AEGEON
108,1.1.107,"Her part, poor soul! seeming as burdened",AEGEON
109,1.1.108,"With lesser weight but not with lesser woe,",AEGEON
110,1.1.109,Was carried with more speed before the wind;,AEGEON
