,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/coriolanus/,Coriolanus,
2,1.1.1,"Before we proceed any further, hear me speak.",First Citizen
3,1.1.2,"Speak, speak.",All
4,1.1.3,You are all resolved rather to die than to famish?,First Citizen
5,1.1.4,Resolved. resolved.,All
6,1.1.5,"First, you know Caius Marcius is chief enemy to the people.",First Citizen
7,1.1.6,"We know't, we know't.",All
8,1.1.7,"Let us kill him, and we'll have corn at our own price.",First Citizen
9,1.1.8,Is't a verdict?,First Citizen
10,1.1.9,"No more talking on't; let it be done: away, away!",All
11,1.1.10,"One word, good citizens.",Second Citizen
12,1.1.11,"We are accounted poor citizens, the patricians good.",First Citizen
13,1.1.12,What authority surfeits on would relieve us: if they,First Citizen
14,1.1.13,"would yield us but the superfluity, while it were",First Citizen
15,1.1.14,"wholesome, we might guess they relieved us humanely;",First Citizen
16,1.1.15,but they think we are too dear: the leanness that,First Citizen
17,1.1.16,"afflicts us, the object of our misery, is as an",First Citizen
18,1.1.17,inventory to particularise their abundance; our,First Citizen
19,1.1.18,sufferance is a gain to them Let us revenge this with,First Citizen
20,1.1.19,"our pikes, ere we become rakes: for the gods know I",First Citizen
21,1.1.20,"speak this in hunger for bread, not in thirst for revenge.",First Citizen
22,1.1.21,Would you proceed especially against Caius Marcius?,Second Citizen
23,1.1.22,Against him first: he's a very dog to the commonalty.,All
24,1.1.23,Consider you what services he has done for his country?,Second Citizen
25,1.1.24,Very well; and could be content to give him good,First Citizen
26,1.1.25,"report fort, but that he pays himself with being proud.",First Citizen
27,1.1.26,"Nay, but speak not maliciously.",Second Citizen
28,1.1.27,"I say unto you, what he hath done famously, he did",First Citizen
29,1.1.28,it to that end: though soft-conscienced men can be,First Citizen
30,1.1.29,content to say it was for his country he did it to,First Citizen
31,1.1.30,please his mother and to be partly proud; which he,First Citizen
32,1.1.31,"is, even till the altitude of his virtue.",First Citizen
33,1.1.32,"What he cannot help in his nature, you account a",Second Citizen
34,1.1.33,vice in him. You must in no way say he is covetous.,Second Citizen
35,1.1.34,"If I must not, I need not be barren of accusations;",First Citizen
36,1.1.35,"he hath faults, with surplus, to tire in repetition.",First Citizen
37,1.1.36,What shouts are these? The other side o' the city,First Citizen
38,1.1.37,is risen: why stay we prating here? to the Capitol!,First Citizen
39,1.1.38,"Come, come.",All
40,1.1.39,Soft! who comes here?,First Citizen
41,1.1.40,Worthy Menenius Agrippa; one that hath always loved,Second Citizen
42,1.1.41,the people.,Second Citizen
43,1.1.42,He's one honest enough: would all the rest were so!,First Citizen
44,1.1.43,"What work's, my countrymen, in hand? where go you",MENENIUS
45,1.1.44,"With bats and clubs? The matter? speak, I pray you.",MENENIUS
46,1.1.45,Our business is not unknown to the senate; they have,First Citizen
47,1.1.46,"had inkling this fortnight what we intend to do,",First Citizen
48,1.1.47,which now we'll show 'em in deeds. They say poor,First Citizen
49,1.1.48,suitors have strong breaths: they shall know we,First Citizen
50,1.1.49,have strong arms too.,First Citizen
51,1.1.50,"Why, masters, my good friends, mine honest neighbours,",MENENIUS
52,1.1.51,Will you undo yourselves?,MENENIUS
53,1.1.52,"We cannot, sir, we are undone already.",First Citizen
54,1.1.53,"I tell you, friends, most charitable care",MENENIUS
55,1.1.54,"Have the patricians of you. For your wants,",MENENIUS
56,1.1.55,"Your suffering in this dearth, you may as well",MENENIUS
57,1.1.56,Strike at the heaven with your staves as lift them,MENENIUS
58,1.1.57,"Against the Roman state, whose course will on",MENENIUS
59,1.1.58,"The way it takes, cracking ten thousand curbs",MENENIUS
60,1.1.59,Of more strong link asunder than can ever,MENENIUS
61,1.1.60,"Appear in your impediment. For the dearth,",MENENIUS
62,1.1.61,"The gods, not the patricians, make it, and",MENENIUS
63,1.1.62,"Your knees to them, not arms, must help. Alack,",MENENIUS
64,1.1.63,You are transported by calamity,MENENIUS
65,1.1.64,"Thither where more attends you, and you slander",MENENIUS
66,1.1.65,"The helms o' the state, who care for you like fathers,",MENENIUS
67,1.1.66,When you curse them as enemies.,MENENIUS
68,1.1.67,"Care for us! True, indeed! They ne'er cared for us",First Citizen
69,1.1.68,"yet: suffer us to famish, and their store-houses",First Citizen
70,1.1.69,"crammed with grain; make edicts for usury, to",First Citizen
71,1.1.70,support usurers; repeal daily any wholesome act,First Citizen
72,1.1.71,"established against the rich, and provide more",First Citizen
73,1.1.72,"piercing statutes daily, to chain up and restrain",First Citizen
74,1.1.73,"the poor. If the wars eat us not up, they will; and",First Citizen
75,1.1.74,there's all the love they bear us.,First Citizen
76,1.1.75,Either you must,MENENIUS
77,1.1.76,"Confess yourselves wondrous malicious,",MENENIUS
78,1.1.77,Or be accused of folly. I shall tell you,MENENIUS
79,1.1.78,A pretty tale: it may be you have heard it;,MENENIUS
80,1.1.79,"But, since it serves my purpose, I will venture",MENENIUS
81,1.1.80,To stale 't a little more.,MENENIUS
82,1.1.81,"Well, I'll hear it, sir: yet you must not think to",First Citizen
83,1.1.82,"fob off our disgrace with a tale: but, an 't please",First Citizen
84,1.1.83,"you, deliver.",First Citizen
85,1.1.84,There was a time when all the body's members,MENENIUS
86,1.1.85,"Rebell'd against the belly, thus accused it:",MENENIUS
87,1.1.86,That only like a gulf it did remain,MENENIUS
88,1.1.87,"I' the midst o' the body, idle and unactive,",MENENIUS
89,1.1.88,"Still cupboarding the viand, never bearing",MENENIUS
90,1.1.89,"Like labour with the rest, where the other instruments",MENENIUS
91,1.1.90,"Did see and hear, devise, instruct, walk, feel,",MENENIUS
92,1.1.91,"And, mutually participate, did minister",MENENIUS
93,1.1.92,Unto the appetite and affection common,MENENIUS
94,1.1.93,Of the whole body. The belly answer'd--,MENENIUS
95,1.1.94,"Well, sir, what answer made the belly?",First Citizen
