,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/cymbeline/,Cymbeline,
2,1.1.1,You do not meet a man but frowns: our bloods,First Gentleman
3,1.1.2,No more obey the heavens than our courtiers,First Gentleman
4,1.1.3,Still seem as does the king.,First Gentleman
5,1.1.4,But what's the matter?,Second Gentleman
6,1.1.5,"His daughter, and the heir of's kingdom, whom",First Gentleman
7,1.1.6,He purposed to his wife's sole son--a widow,First Gentleman
8,1.1.7,That late he married--hath referr'd herself,First Gentleman
9,1.1.8,Unto a poor but worthy gentleman: she's wedded;,First Gentleman
10,1.1.9,Her husband banish'd; she imprison'd: all,First Gentleman
11,1.1.10,Is outward sorrow; though I think the king,First Gentleman
12,1.1.11,Be touch'd at very heart.,First Gentleman
13,1.1.12,None but the king?,Second Gentleman
14,1.1.13,"He that hath lost her too; so is the queen,",First Gentleman
15,1.1.14,"That most desired the match; but not a courtier,",First Gentleman
16,1.1.15,Although they wear their faces to the bent,First Gentleman
17,1.1.16,"Of the king's look's, hath a heart that is not",First Gentleman
18,1.1.17,Glad at the thing they scowl at.,First Gentleman
19,1.1.18,And why so?,Second Gentleman
20,1.1.19,He that hath miss'd the princess is a thing,First Gentleman
21,1.1.20,Too bad for bad report: and he that hath her--,First Gentleman
22,1.1.21,"I mean, that married her, alack, good man!",First Gentleman
23,1.1.22,And therefore banish'd--is a creature such,First Gentleman
24,1.1.23,"As, to seek through the regions of the earth",First Gentleman
25,1.1.24,"For one his like, there would be something failing",First Gentleman
26,1.1.25,In him that should compare. I do not think,First Gentleman
27,1.1.26,So fair an outward and such stuff within,First Gentleman
28,1.1.27,Endows a man but he.,First Gentleman
29,1.1.28,You speak him far.,Second Gentleman
30,1.1.29,"I do extend him, sir, within himself,",First Gentleman
31,1.1.30,Crush him together rather than unfold,First Gentleman
32,1.1.31,His measure duly.,First Gentleman
33,1.1.32,                  What's his name and birth?,Second Gentleman
34,1.1.33,I cannot delve him to the root: his father,First Gentleman
35,1.1.34,"Was call'd Sicilius, who did join his honour",First Gentleman
36,1.1.35,"Against the Romans with Cassibelan,",First Gentleman
37,1.1.36,But had his titles by Tenantius whom,First Gentleman
38,1.1.37,"He served with glory and admired success,",First Gentleman
39,1.1.38,So gain'd the sur-addition Leonatus;,First Gentleman
40,1.1.39,"And had, besides this gentleman in question,",First Gentleman
41,1.1.40,"Two other sons, who in the wars o' the time",First Gentleman
42,1.1.41,Died with their swords in hand; for which,First Gentleman
43,1.1.42,"their father,",First Gentleman
44,1.1.43,"Then old and fond of issue, took such sorrow",First Gentleman
45,1.1.44,"That he quit being, and his gentle lady,",First Gentleman
46,1.1.45,"Big of this gentleman our theme, deceased",First Gentleman
47,1.1.46,As he was born. The king he takes the babe,First Gentleman
48,1.1.47,"To his protection, calls him Posthumus Leonatus,",First Gentleman
49,1.1.48,"Breeds him and makes him of his bed-chamber,",First Gentleman
50,1.1.49,Puts to him all the learnings that his time,First Gentleman
51,1.1.50,"Could make him the receiver of; which he took,",First Gentleman
52,1.1.51,"As we do air, fast as 'twas minister'd,",First Gentleman
53,1.1.52,"And in's spring became a harvest, lived in court--",First Gentleman
54,1.1.53,"Which rare it is to do--most praised, most loved,",First Gentleman
55,1.1.54,"A sample to the youngest, to the more mature",First Gentleman
56,1.1.55,"A glass that feated them, and to the graver",First Gentleman
57,1.1.56,"A child that guided dotards; to his mistress,",First Gentleman
58,1.1.57,"For whom he now is banish'd, her own price",First Gentleman
59,1.1.58,Proclaims how she esteem'd him and his virtue;,First Gentleman
60,1.1.59,By her election may be truly read,First Gentleman
61,1.1.60,What kind of man he is.,First Gentleman
62,1.1.61,I honour him,Second Gentleman
63,1.1.62,"Even out of your report. But, pray you, tell me,",Second Gentleman
64,1.1.63,Is she sole child to the king?,Second Gentleman
65,1.1.64,His only child.,First Gentleman
66,1.1.65,"He had two sons: if this be worth your hearing,",First Gentleman
67,1.1.66,"Mark it: the eldest of them at three years old,",First Gentleman
68,1.1.67,"I' the swathing-clothes the other, from their nursery",First Gentleman
69,1.1.68,"Were stol'n, and to this hour no guess in knowledge",First Gentleman
70,1.1.69,Which way they went.,First Gentleman
71,1.1.70,How long is this ago?,Second Gentleman
72,1.1.71,Some twenty years.,First Gentleman
73,1.1.72,"That a king's children should be so convey'd,",Second Gentleman
74,1.1.73,"So slackly guarded, and the search so slow,",Second Gentleman
75,1.1.74,That could not trace them!,Second Gentleman
76,1.1.75,"Howsoe'er 'tis strange,",First Gentleman
77,1.1.76,"Or that the negligence may well be laugh'd at,",First Gentleman
78,1.1.77,"Yet is it true, sir.",First Gentleman
79,1.1.78,I do well believe you.,Second Gentleman
80,1.1.79,"We must forbear: here comes the gentleman,",First Gentleman
81,1.1.80,"The queen, and princess.",First Gentleman
