,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/1henryiv/,"Henry IV, part 1",
2,1.1.1,"So shaken as we are, so wan with care,",KING HENRY IV
3,1.1.2,"Find we a time for frighted peace to pant,",KING HENRY IV
4,1.1.3,And breathe short-winded accents of new broils,KING HENRY IV
5,1.1.4,To be commenced in strands afar remote.,KING HENRY IV
6,1.1.5,No more the thirsty entrance of this soil,KING HENRY IV
7,1.1.6,Shall daub her lips with her own children's blood;,KING HENRY IV
8,1.1.7,"Nor more shall trenching war channel her fields,",KING HENRY IV
9,1.1.8,Nor bruise her flowerets with the armed hoofs,KING HENRY IV
10,1.1.9,"Of hostile paces: those opposed eyes,",KING HENRY IV
11,1.1.10,"Which, like the meteors of a troubled heaven,",KING HENRY IV
12,1.1.11,"All of one nature, of one substance bred,",KING HENRY IV
13,1.1.12,Did lately meet in the intestine shock,KING HENRY IV
14,1.1.13,And furious close of civil butchery,KING HENRY IV
15,1.1.14,"Shall now, in mutual well-beseeming ranks,",KING HENRY IV
16,1.1.15,March all one way and be no more opposed,KING HENRY IV
17,1.1.16,"Against acquaintance, kindred and allies:",KING HENRY IV
18,1.1.17,"The edge of war, like an ill-sheathed knife,",KING HENRY IV
19,1.1.18,"No more shall cut his master. Therefore, friends,",KING HENRY IV
20,1.1.19,"As far as to the sepulchre of Christ,",KING HENRY IV
21,1.1.20,"Whose soldier now, under whose blessed cross",KING HENRY IV
22,1.1.21,"We are impressed and engaged to fight,",KING HENRY IV
23,1.1.22,Forthwith a power of English shall we levy;,KING HENRY IV
24,1.1.23,Whose arms were moulded in their mothers' womb,KING HENRY IV
25,1.1.24,To chase these pagans in those holy fields,KING HENRY IV
26,1.1.25,Over whose acres walk'd those blessed feet,KING HENRY IV
27,1.1.26,Which fourteen hundred years ago were nail'd,KING HENRY IV
28,1.1.27,For our advantage on the bitter cross.,KING HENRY IV
29,1.1.28,"But this our purpose now is twelve month old,",KING HENRY IV
30,1.1.29,And bootless 'tis to tell you we will go:,KING HENRY IV
31,1.1.30,Therefore we meet not now. Then let me hear,KING HENRY IV
32,1.1.31,"Of you, my gentle cousin Westmoreland,",KING HENRY IV
33,1.1.32,What yesternight our council did decree,KING HENRY IV
34,1.1.33,In forwarding this dear expedience.,KING HENRY IV
35,1.1.34,"My liege, this haste was hot in question,",WESTMORELAND
36,1.1.35,And many limits of the charge set down,WESTMORELAND
37,1.1.36,But yesternight: when all athwart there came,WESTMORELAND
38,1.1.37,A post from Wales loaden with heavy news;,WESTMORELAND
39,1.1.38,"Whose worst was, that the noble Mortimer,",WESTMORELAND
40,1.1.39,Leading the men of Herefordshire to fight,WESTMORELAND
41,1.1.40,"Against the irregular and wild Glendower,",WESTMORELAND
42,1.1.41,"Was by the rude hands of that Welshman taken,",WESTMORELAND
43,1.1.42,A thousand of his people butchered;,WESTMORELAND
44,1.1.43,"Upon whose dead corpse there was such misuse,",WESTMORELAND
45,1.1.44,"Such beastly shameless transformation,",WESTMORELAND
46,1.1.45,By those Welshwomen done as may not be,WESTMORELAND
47,1.1.46,Without much shame retold or spoken of.,WESTMORELAND
48,1.1.47,It seems then that the tidings of this broil,KING HENRY IV
49,1.1.48,Brake off our business for the Holy Land.,KING HENRY IV
50,1.1.49,"This match'd with other did, my gracious lord;",WESTMORELAND
51,1.1.50,For more uneven and unwelcome news,WESTMORELAND
52,1.1.51,Came from the north and thus it did import:,WESTMORELAND
53,1.1.52,"On Holy-rood day, the gallant Hotspur there,",WESTMORELAND
54,1.1.53,"Young Harry Percy and brave Archibald,",WESTMORELAND
55,1.1.54,"That ever-valiant and approved Scot,",WESTMORELAND
56,1.1.55,"At Holmedon met,",WESTMORELAND
57,1.1.56,"Where they did spend a sad and bloody hour,",WESTMORELAND
58,1.1.57,"As by discharge of their artillery,",WESTMORELAND
59,1.1.58,"And shape of likelihood, the news was told;",WESTMORELAND
60,1.1.59,"For he that brought them, in the very heat",WESTMORELAND
61,1.1.60,"And pride of their contention did take horse,",WESTMORELAND
62,1.1.61,Uncertain of the issue any way.,WESTMORELAND
63,1.1.62,"Here is a dear, a true industrious friend,",KING HENRY IV
64,1.1.63,"Sir Walter Blunt, new lighted from his horse.",KING HENRY IV
65,1.1.64,Stain'd with the variation of each soil,KING HENRY IV
66,1.1.65,Betwixt that Holmedon and this seat of ours;,KING HENRY IV
67,1.1.66,And he hath brought us smooth and welcome news.,KING HENRY IV
68,1.1.67,The Earl of Douglas is discomfited:,KING HENRY IV
69,1.1.68,"Ten thousand bold Scots, two and twenty knights,",KING HENRY IV
70,1.1.69,Balk'd in their own blood did Sir Walter see,KING HENRY IV
71,1.1.70,"On Holmedon's plains. Of prisoners, Hotspur took",KING HENRY IV
72,1.1.71,"Mordake the Earl of Fife, and eldest son",KING HENRY IV
73,1.1.72,"To beaten Douglas; and the Earl of Athol,",KING HENRY IV
74,1.1.73,"Of Murray, Angus, and Menteith:",KING HENRY IV
75,1.1.74,And is not this an honourable spoil?,KING HENRY IV
