,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/henryv/,Henry V,
2,1.0.1,"O for a Muse of fire, that would ascend",Chorus
3,1.0.2,"The brightest heaven of invention,",Chorus
4,1.0.3,"A kingdom for a stage, princes to act",Chorus
5,1.0.4,And monarchs to behold the swelling scene!,Chorus
6,1.0.5,"Then should the warlike Harry, like himself,",Chorus
7,1.0.6,"Assume the port of Mars; and at his heels,",Chorus
8,1.0.7,"Leash'd in like hounds, should famine, sword and fire",Chorus
9,1.0.8,"Crouch for employment. But pardon, and gentles all,",Chorus
10,1.0.9,The flat unraised spirits that have dared,Chorus
11,1.0.10,On this unworthy scaffold to bring forth,Chorus
12,1.0.11,So great an object: can this cockpit hold,Chorus
13,1.0.12,The vasty fields of France? or may we cram,Chorus
14,1.0.13,Within this wooden O the very casques,Chorus
15,1.0.14,That did affright the air at Agincourt?,Chorus
16,1.0.15,"O, pardon! since a crooked figure may",Chorus
17,1.0.16,Attest in little place a million;,Chorus
18,1.0.17,"And let us, ciphers to this great accompt,",Chorus
19,1.0.18,On your imaginary forces work.,Chorus
20,1.0.19,Suppose within the girdle of these walls,Chorus
21,1.0.20,"Are now confined two mighty monarchies,",Chorus
22,1.0.21,Whose high upreared and abutting fronts,Chorus
23,1.0.22,The perilous narrow ocean parts asunder:,Chorus
24,1.0.23,Piece out our imperfections with your thoughts;,Chorus
25,1.0.24,"Into a thousand parts divide on man,",Chorus
26,1.0.25,And make imaginary puissance;,Chorus
27,1.0.26,"Think when we talk of horses, that you see them",Chorus
28,1.0.27,Printing their proud hoofs i' the receiving earth;,Chorus
29,1.0.28,"For 'tis your thoughts that now must deck our kings,",Chorus
30,1.0.29,"Carry them here and there; jumping o'er times,",Chorus
31,1.0.30,Turning the accomplishment of many years,Chorus
32,1.0.31,"Into an hour-glass: for the which supply,",Chorus
33,1.0.32,Admit me Chorus to this history;,Chorus
34,1.0.33,"Who prologue-like your humble patience pray,",Chorus
35,1.0.34,"Gently to hear, kindly to judge, our play.",Chorus
36,1.1.1,"My lord, I'll tell you; that self bill is urged,",CANTERBURY
37,1.1.2,Which in the eleventh year of the last king's reign,CANTERBURY
38,1.1.3,"Was like, and had indeed against us pass'd,",CANTERBURY
39,1.1.4,But that the scambling and unquiet time,CANTERBURY
40,1.1.5,Did push it out of farther question.,CANTERBURY
41,1.1.6,"But how, my lord, shall we resist it now?",ELY
42,1.1.7,"It must be thought on. If it pass against us,",CANTERBURY
43,1.1.8,We lose the better half of our possession:,CANTERBURY
44,1.1.9,For all the temporal lands which men devout,CANTERBURY
45,1.1.10,By testament have given to the church,CANTERBURY
46,1.1.11,Would they strip from us; being valued thus:,CANTERBURY
47,1.1.12,"As much as would maintain, to the king's honour,",CANTERBURY
48,1.1.13,"Full fifteen earls and fifteen hundred knights,",CANTERBURY
49,1.1.14,Six thousand and two hundred good esquires;,CANTERBURY
50,1.1.15,"And, to relief of lazars and weak age,",CANTERBURY
51,1.1.16,Of indigent faint souls past corporal toil.,CANTERBURY
52,1.1.17,A hundred almshouses right well supplied;,CANTERBURY
53,1.1.18,"And to the coffers of the king beside,",CANTERBURY
54,1.1.19,A thousand pounds by the year: thus runs the bill.,CANTERBURY
55,1.1.20,This would drink deep.,ELY
56,1.1.21,'Twould drink the cup and all.,CANTERBURY
57,1.1.22,But what prevention?,ELY
58,1.1.23,The king is full of grace and fair regard.,CANTERBURY
59,1.1.24,And a true lover of the holy church.,ELY
60,1.1.25,The courses of his youth promised it not.,CANTERBURY
61,1.1.26,"The breath no sooner left his father's body,",CANTERBURY
62,1.1.27,"But that his wildness, mortified in him,",CANTERBURY
63,1.1.28,"Seem'd to die too; yea, at that very moment",CANTERBURY
64,1.1.29,"Consideration, like an angel, came",CANTERBURY
