,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/3henryvi/,"Henry VI, part 3",
2,1.1.1,I wonder how the king escaped our hands.,WARWICK
3,1.1.2,"While we pursued the horsemen of the north,",YORK
4,1.1.3,He slily stole away and left his men:,YORK
5,1.1.4,"Whereat the great Lord of Northumberland,",YORK
6,1.1.5,"Whose warlike ears could never brook retreat,",YORK
7,1.1.6,"Cheer'd up the drooping army; and himself,",YORK
8,1.1.7,"Lord Clifford and Lord Stafford, all abreast,",YORK
9,1.1.8,"Charged our main battle's front, and breaking in",YORK
10,1.1.9,Were by the swords of common soldiers slain.,YORK
11,1.1.10,"Lord Stafford's father, Duke of Buckingham,",EDWARD
12,1.1.11,Is either slain or wounded dangerously;,EDWARD
13,1.1.12,I cleft his beaver with a downright blow:,EDWARD
14,1.1.13,"That this is true, father, behold his blood.",EDWARD
15,1.1.14,"And, brother, here's the Earl of Wiltshire's blood,",MONTAGUE
16,1.1.15,Whom I encounter'd as the battles join'd.,MONTAGUE
17,1.1.16,Speak thou for me and tell them what I did.,RICHARD
18,1.1.17,Richard hath best deserved of all my sons.,YORK
19,1.1.18,"But is your grace dead, my Lord of Somerset?",YORK
20,1.1.19,Such hope have all the line of John of Gaunt!,NORFOLK
21,1.1.20,Thus do I hope to shake King Henry's head.,RICHARD
22,1.1.21,"And so do I. Victorious Prince of York,",WARWICK
23,1.1.22,Before I see thee seated in that throne,WARWICK
24,1.1.23,"Which now the house of Lancaster usurps,",WARWICK
25,1.1.24,I vow by heaven these eyes shall never close.,WARWICK
26,1.1.25,"This is the palace of the fearful king,",WARWICK
27,1.1.26,"And this the regal seat: possess it, York;",WARWICK
28,1.1.27,For this is thine and not King Henry's heirs',WARWICK
29,1.1.28,"Assist me, then, sweet Warwick, and I will;",YORK
30,1.1.29,For hither we have broken in by force.,YORK
31,1.1.30,We'll all assist you; he that flies shall die.,NORFOLK
32,1.1.31,"Thanks, gentle Norfolk: stay by me, my lords;",YORK
33,1.1.32,"And, soldiers, stay and lodge by me this night.",YORK
34,1.1.33,"And when the king comes, offer no violence,",WARWICK
35,1.1.34,Unless he seek to thrust you out perforce.,WARWICK
36,1.1.35,"The queen this day here holds her parliament,",YORK
37,1.1.36,But little thinks we shall be of her council:,YORK
38,1.1.37,By words or blows here let us win our right.,YORK
39,1.1.38,"Arm'd as we are, let's stay within this house.",RICHARD
40,1.1.39,"The bloody parliament shall this be call'd,",WARWICK
41,1.1.40,"Unless Plantagenet, Duke of York, be king,",WARWICK
42,1.1.41,"And bashful Henry deposed, whose cowardice",WARWICK
43,1.1.42,Hath made us by-words to our enemies.,WARWICK
44,1.1.43,"Then leave me not, my lords; be resolute;",YORK
45,1.1.44,I mean to take possession of my right.,YORK
46,1.1.45,"Neither the king, nor he that loves him best,",WARWICK
47,1.1.46,"The proudest he that holds up Lancaster,",WARWICK
48,1.1.47,"Dares stir a wing, if Warwick shake his bells.",WARWICK
49,1.1.48,"I'll plant Plantagenet, root him up who dares:",WARWICK
50,1.1.49,"Resolve thee, Richard; claim the English crown.",WARWICK
51,1.1.50,"My lords, look where the sturdy rebel sits,",KING HENRY VI
52,1.1.51,"Even in the chair of state: belike he means,",KING HENRY VI
53,1.1.52,"Back'd by the power of Warwick, that false peer,",KING HENRY VI
54,1.1.53,To aspire unto the crown and reign as king.,KING HENRY VI
55,1.1.54,"Earl of Northumberland, he slew thy father.",KING HENRY VI
56,1.1.55,"And thine, Lord Clifford; and you both have vow'd revenge",KING HENRY VI
57,1.1.56,"On him, his sons, his favourites and his friends.",KING HENRY VI
58,1.1.57,"If I be not, heavens be revenged on me!",NORTHUMBERLAND
59,1.1.58,The hope thereof makes Clifford mourn in steel.,CLIFFORD
60,1.1.59,"What, shall we suffer this? let's pluck him down:",WESTMORELAND
61,1.1.60,My heart for anger burns; I cannot brook it.,WESTMORELAND
62,1.1.61,"Be patient, gentle Earl of Westmoreland.",KING HENRY VI
63,1.1.62,"Patience is for poltroons, such as he:",CLIFFORD
64,1.1.63,"He durst not sit there, had your father lived.",CLIFFORD
65,1.1.64,"My gracious lord, here in the parliament",CLIFFORD
66,1.1.65,Let us assail the family of York.,CLIFFORD
67,1.1.66,"Well hast thou spoken, cousin: be it so.",NORTHUMBERLAND
68,1.1.67,"Ah, know you not the city favours them,",KING HENRY VI
69,1.1.68,And they have troops of soldiers at their beck?,KING HENRY VI
70,1.1.69,"But when the duke is slain, they'll quickly fly.",EXETER
71,1.1.70,"Far be the thought of this from Henry's heart,",KING HENRY VI
72,1.1.71,To make a shambles of the parliament-house!,KING HENRY VI
73,1.1.72,"Cousin of Exeter, frowns, words and threats",KING HENRY VI
74,1.1.73,Shall be the war that Henry means to use.,KING HENRY VI
75,1.1.74,"Thou factious Duke of York, descend my throne,",KING HENRY VI
76,1.1.75,and kneel for grace and mercy at my feet;,KING HENRY VI
77,1.1.76,I am thy sovereign.,KING HENRY VI
78,1.1.77,I am thine.,YORK
79,1.1.78,"For shame, come down: he made thee Duke of York.",EXETER
80,1.1.79,"'Twas my inheritance, as the earldom was.",YORK
81,1.1.80,Thy father was a traitor to the crown.,EXETER
82,1.1.81,"Exeter, thou art a traitor to the crown",WARWICK
83,1.1.82,In following this usurping Henry.,WARWICK
84,1.1.83,Whom should he follow but his natural king?,CLIFFORD
85,1.1.84,"True, Clifford; and that's Richard Duke of York.",WARWICK
86,1.1.85,"And shall I stand, and thou sit in my throne?",KING HENRY VI
87,1.1.86,It must and shall be so: content thyself.,YORK
88,1.1.87,Be Duke of Lancaster; let him be king.,WARWICK
89,1.1.88,He is both king and Duke of Lancaster;,WESTMORELAND
90,1.1.89,And that the Lord of Westmoreland shall maintain.,WESTMORELAND
91,1.1.90,And Warwick shall disprove it. You forget,WARWICK
92,1.1.91,That we are those which chased you from the field,WARWICK
93,1.1.92,"And slew your fathers, and with colours spread",WARWICK
94,1.1.93,March'd through the city to the palace gates.,WARWICK
95,1.1.94,"Yes, Warwick, I remember it to my grief;",NORTHUMBERLAND
96,1.1.95,"And, by his soul, thou and thy house shall rue it.",NORTHUMBERLAND
97,1.1.96,"Plantagenet, of thee and these thy sons,",WESTMORELAND
98,1.1.97,"Thy kinsman and thy friends, I'll have more lives",WESTMORELAND
99,1.1.98,Than drops of blood were in my father's veins.,WESTMORELAND
100,1.1.99,"Urge it no more; lest that, instead of words,",CLIFFORD
101,1.1.100,"I send thee, Warwick, such a messenger",CLIFFORD
102,1.1.101,As shall revenge his death before I stir.,CLIFFORD
103,1.1.102,Poor Clifford! how I scorn his worthless threats!,WARWICK
104,1.1.103,Will you we show our title to the crown?,YORK
105,1.1.104,"If not, our swords shall plead it in the field.",YORK
106,1.1.105,"What title hast thou, traitor, to the crown?",KING HENRY VI
107,1.1.106,"Thy father was, as thou art, Duke of York;",KING HENRY VI
108,1.1.107,"Thy grandfather, Roger Mortimer, Earl of March:",KING HENRY VI
109,1.1.108,"I am the son of Henry the Fifth,",KING HENRY VI
110,1.1.109,Who made the Dauphin and the French to stoop,KING HENRY VI
111,1.1.110,And seized upon their towns and provinces.,KING HENRY VI
112,1.1.111,"Talk not of France, sith thou hast lost it all.",WARWICK
113,1.1.112,"The lord protector lost it, and not I:",KING HENRY VI
114,1.1.113,When I was crown'd I was but nine months old.,KING HENRY VI
115,1.1.114,"You are old enough now, and yet, methinks, you lose.",RICHARD
116,1.1.115,"Father, tear the crown from the usurper's head.",RICHARD
117,1.1.116,"Sweet father, do so; set it on your head.",EDWARD
118,1.1.117,"Good brother, as thou lovest and honourest arms,",MONTAGUE
119,1.1.118,Let's fight it out and not stand cavilling thus.,MONTAGUE
120,1.1.119,"Sound drums and trumpets, and the king will fly.",RICHARD
121,1.1.120,"Sons, peace!",YORK
122,1.1.121,"Peace, thou! and give King Henry leave to speak.",KING HENRY VI
123,1.1.122,"Plantagenet shall speak first: hear him, lords;",WARWICK
124,1.1.123,"And be you silent and attentive too,",WARWICK
125,1.1.124,For he that interrupts him shall not live.,WARWICK
126,1.1.125,"Think'st thou that I will leave my kingly throne,",KING HENRY VI
127,1.1.126,Wherein my grandsire and my father sat?,KING HENRY VI
128,1.1.127,No: first shall war unpeople this my realm;,KING HENRY VI
129,1.1.128,"Ay, and their colours, often borne in France,",KING HENRY VI
130,1.1.129,"And now in England to our heart's great sorrow,",KING HENRY VI
131,1.1.130,"Shall be my winding-sheet. Why faint you, lords?",KING HENRY VI
132,1.1.131,"My title's good, and better far than his.",KING HENRY VI
133,1.1.132,"Prove it, Henry, and thou shalt be king.",WARWICK
134,1.1.133,Henry the Fourth by conquest got the crown.,KING HENRY VI
135,1.1.134,'Twas by rebellion against his king.,YORK
136,1.1.135,[Aside]  I know not what to say; my title's weak.--,KING HENRY VI
137,1.1.136,"Tell me, may not a king adopt an heir?",KING HENRY VI
138,1.1.137,What then?,YORK
139,1.1.138,"An if he may, then am I lawful king;",KING HENRY VI
140,1.1.139,"For Richard, in the view of many lords,",KING HENRY VI
141,1.1.140,"Resign'd the crown to Henry the Fourth,",KING HENRY VI
142,1.1.141,"Whose heir my father was, and I am his.",KING HENRY VI
143,1.1.142,"He rose against him, being his sovereign,",YORK
144,1.1.143,And made him to resign his crown perforce.,YORK
