,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/henryviii/,Henry VIII,
2,1.0.1,"I come no more to make you laugh: things now,",
3,1.0.2,"That bear a weighty and a serious brow,",
4,1.0.3,"Sad, high, and working, full of state and woe,",
5,1.0.4,"Such noble scenes as draw the eye to flow,",
6,1.0.5,"We now present. Those that can pity, here",
7,1.0.6,"May, if they think it well, let fall a tear;",
8,1.0.7,The subject will deserve it. Such as give,
9,1.0.8,"Their money out of hope they may believe,",
10,1.0.9,May here find truth too. Those that come to see,
11,1.0.10,"Only a show or two, and so agree",
12,1.0.11,"The play may pass, if they be still and willing,",
13,1.0.12,I'll undertake may see away their shilling,
14,1.0.13,Richly in two short hours. Only they,
15,1.0.14,"That come to hear a merry bawdy play,",
16,1.0.15,"A noise of targets, or to see a fellow",
17,1.0.16,"In a long motley coat guarded with yellow,",
18,1.0.17,"Will be deceived; for, gentle hearers, know,",
19,1.0.18,To rank our chosen truth with such a show,
20,1.0.19,"As fool and fight is, beside forfeiting",
21,1.0.20,"Our own brains, and the opinion that we bring,",
22,1.0.21,"To make that only true we now intend,",
23,1.0.22,Will leave us never an understanding friend.,
24,1.0.23,"Therefore, for goodness' sake, and as you are known",
25,1.0.24,"The first and happiest hearers of the town,",
26,1.0.25,"Be sad, as we would make ye: think ye see",
27,1.0.26,The very persons of our noble story,
28,1.0.27,"As they were living; think you see them great,",
29,1.0.28,And follow'd with the general throng and sweat,
30,1.0.29,"Of thousand friends; then in a moment, see",
31,1.0.30,How soon this mightiness meets misery:,
32,1.0.31,"And, if you can be merry then, I'll say",
33,1.0.32,A man may weep upon his wedding-day.,
34,1.1.1,"Good morrow, and well met. How have ye done",BUCKINGHAM
35,1.1.2,Since last we saw in France?,BUCKINGHAM
36,1.1.3,"I thank your grace,",NORFOLK
37,1.1.4,Healthful; and ever since a fresh admirer,NORFOLK
38,1.1.5,Of what I saw there.,NORFOLK
39,1.1.6,An untimely ague,BUCKINGHAM
40,1.1.7,Stay'd me a prisoner in my chamber when,BUCKINGHAM
41,1.1.8,"Those suns of glory, those two lights of men,",BUCKINGHAM
42,1.1.9,Met in the vale of Andren.,BUCKINGHAM
43,1.1.10,'Twixt Guynes and Arde:,NORFOLK
44,1.1.11,"I was then present, saw them salute on horseback;",NORFOLK
45,1.1.12,"Beheld them, when they lighted, how they clung",NORFOLK
46,1.1.13,"In their embracement, as they grew together;",NORFOLK
47,1.1.14,"Which had they, what four throned ones could have weigh'd",NORFOLK
48,1.1.15,Such a compounded one?,NORFOLK
49,1.1.16,All the whole time,BUCKINGHAM
50,1.1.17,I was my chamber's prisoner.,BUCKINGHAM
51,1.1.18,Then you lost,NORFOLK
52,1.1.19,"The view of earthly glory: men might say,",NORFOLK
53,1.1.20,"Till this time pomp was single, but now married",NORFOLK
54,1.1.21,To one above itself. Each following day,NORFOLK
55,1.1.22,"Became the next day's master, till the last",NORFOLK
56,1.1.23,"Made former wonders its. To-day the French,",NORFOLK
57,1.1.24,"All clinquant, all in gold, like heathen gods,",NORFOLK
58,1.1.25,"Shone down the English; and, to-morrow, they",NORFOLK
59,1.1.26,Made Britain India: every man that stood,NORFOLK
60,1.1.27,Show'd like a mine. Their dwarfish pages were,NORFOLK
61,1.1.28,"As cherubins, all guilt: the madams too,",NORFOLK
62,1.1.29,"Not used to toil, did almost sweat to bear",NORFOLK
63,1.1.30,"The pride upon them, that their very labour",NORFOLK
64,1.1.31,Was to them as a painting: now this masque,NORFOLK
65,1.1.32,Was cried incomparable; and the ensuing night,NORFOLK
66,1.1.33,"Made it a fool and beggar. The two kings,",NORFOLK
67,1.1.34,"Equal in lustre, were now best, now worst,",NORFOLK
68,1.1.35,"As presence did present them; him in eye,",NORFOLK
69,1.1.36,"Still him in praise: and, being present both",NORFOLK
70,1.1.37,'Twas said they saw but one; and no discerner,NORFOLK
71,1.1.38,Durst wag his tongue in censure. When these suns--,NORFOLK
72,1.1.39,For so they phrase 'em--by their heralds challenged,NORFOLK
73,1.1.40,"The noble spirits to arms, they did perform",NORFOLK
74,1.1.41,"Beyond thought's compass; that former fabulous story,",NORFOLK
75,1.1.42,"Being now seen possible enough, got credit,",NORFOLK
76,1.1.43,That Bevis was believed.,NORFOLK
77,1.1.44,"O, you go far.",BUCKINGHAM
78,1.1.45,As I belong to worship and affect,NORFOLK
79,1.1.46,"In honour honesty, the tract of every thing",NORFOLK
80,1.1.47,"Would by a good discourser lose some life,",NORFOLK
81,1.1.48,Which action's self was tongue to. All was royal;,NORFOLK
82,1.1.49,To the disposing of it nought rebell'd.,NORFOLK
83,1.1.50,Order gave each thing view; the office did,NORFOLK
84,1.1.51,Distinctly his full function.,NORFOLK
85,1.1.52,"Who did guide,",BUCKINGHAM
86,1.1.53,"I mean, who set the body and the limbs",BUCKINGHAM
87,1.1.54,"Of this great sport together, as you guess?",BUCKINGHAM
88,1.1.55,"One, certes, that promises no element",NORFOLK
89,1.1.56,In such a business.,NORFOLK
90,1.1.57,"I pray you, who, my lord?",BUCKINGHAM
91,1.1.58,All this was order'd by the good discretion,NORFOLK
92,1.1.59,Of the right reverend Cardinal of York.,NORFOLK
93,1.1.60,The devil speed him! no man's pie is freed,BUCKINGHAM
94,1.1.61,From his ambitious finger. What had he,BUCKINGHAM
95,1.1.62,To do in these fierce vanities? I wonder,BUCKINGHAM
96,1.1.63,That such a keech can with his very bulk,BUCKINGHAM
97,1.1.64,Take up the rays o' the beneficial sun,BUCKINGHAM
98,1.1.65,And keep it from the earth.,BUCKINGHAM
99,1.1.66,"Surely, sir,",NORFOLK
100,1.1.67,There's in him stuff that puts him to these ends;,NORFOLK
101,1.1.68,"For, being not propp'd by ancestry, whose grace",NORFOLK
102,1.1.69,"Chalks successors their way, nor call'd upon",NORFOLK
103,1.1.70,For high feats done to the crown; neither allied,NORFOLK
104,1.1.71,"For eminent assistants; but, spider-like,",NORFOLK
105,1.1.72,"Out of his self-drawing web, he gives us note,",NORFOLK
106,1.1.73,The force of his own merit makes his way,NORFOLK
107,1.1.74,"A gift that heaven gives for him, which buys",NORFOLK
108,1.1.75,A place next to the king.,NORFOLK
109,1.1.76,I cannot tell,ABERGAVENNY
