,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/julius_caeser/,Julius Caesar,
2,1.1.1,"Hence! home, you idle creatures get you home:",FLAVIUS
3,1.1.2,"Is this a holiday? what! know you not,",FLAVIUS
4,1.1.3,"Being mechanical, you ought not walk",FLAVIUS
5,1.1.4,Upon a labouring day without the sign,FLAVIUS
6,1.1.5,"Of your profession? Speak, what trade art thou?",FLAVIUS
7,1.1.6,"Why, sir, a carpenter.",First Commoner
8,1.1.7,Where is thy leather apron and thy rule?,MARULLUS
9,1.1.8,What dost thou with thy best apparel on?,MARULLUS
10,1.1.9,"You, sir, what trade are you?",MARULLUS
11,1.1.10,"Truly, sir, in respect of a fine workman, I am but,",Second Commoner
12,1.1.11,"as you would say, a cobbler.",Second Commoner
13,1.1.12,But what trade art thou? answer me directly.,MARULLUS
14,1.1.13,"A trade, sir, that, I hope, I may use with a safe",Second Commoner
15,1.1.14,"conscience; which is, indeed, sir, a mender of bad soles.",Second Commoner
16,1.1.15,"What trade, thou knave? thou naughty knave, what trade?",MARULLUS
17,1.1.16,"Nay, I beseech you, sir, be not out with me: yet,",Second Commoner
18,1.1.17,"if you be out, sir, I can mend you.",Second Commoner
19,1.1.18,"What meanest thou by that? mend me, thou saucy fellow!",MARULLUS
20,1.1.19,"Why, sir, cobble you.",Second Commoner
21,1.1.20,"Thou art a cobbler, art thou?",FLAVIUS
22,1.1.21,"Truly, sir, all that I live by is with the awl: I",Second Commoner
23,1.1.22,"meddle with no tradesman's matters, nor women's",Second Commoner
24,1.1.23,"matters, but with awl. I am, indeed, sir, a surgeon",Second Commoner
25,1.1.24,"to old shoes; when they are in great danger, I",Second Commoner
26,1.1.25,recover them. As proper men as ever trod upon,Second Commoner
27,1.1.26,neat's leather have gone upon my handiwork.,Second Commoner
28,1.1.27,But wherefore art not in thy shop today?,FLAVIUS
29,1.1.28,Why dost thou lead these men about the streets?,FLAVIUS
