,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/john/,King John,
2,1.1.1,"Now, say, Chatillon, what would France with us?",KING JOHN
3,1.1.2,"Thus, after greeting, speaks the King of France",CHATILLON
4,1.1.3,"In my behavior to the majesty,",CHATILLON
5,1.1.4,"The borrow'd majesty, of England here.",CHATILLON
6,1.1.5,A strange beginning: 'borrow'd majesty!',QUEEN ELINOR
7,1.1.6,"Silence, good mother; hear the embassy.",KING JOHN
8,1.1.7,"Philip of France, in right and true behalf",CHATILLON
9,1.1.8,"Of thy deceased brother Geffrey's son,",CHATILLON
10,1.1.9,"Arthur Plantagenet, lays most lawful claim",CHATILLON
11,1.1.10,"To this fair island and the territories,",CHATILLON
12,1.1.11,"To Ireland, Poictiers, Anjou, Touraine, Maine,",CHATILLON
13,1.1.12,Desiring thee to lay aside the sword,CHATILLON
14,1.1.13,"Which sways usurpingly these several titles,",CHATILLON
15,1.1.14,"And put these same into young Arthur's hand,",CHATILLON
16,1.1.15,Thy nephew and right royal sovereign.,CHATILLON
17,1.1.16,What follows if we disallow of this?,KING JOHN
18,1.1.17,"The proud control of fierce and bloody war,",CHATILLON
19,1.1.18,To enforce these rights so forcibly withheld.,CHATILLON
20,1.1.19,"Here have we war for war and blood for blood,",KING JOHN
21,1.1.20,Controlment for controlment: so answer France.,KING JOHN
22,1.1.21,"Then take my king's defiance from my mouth,",CHATILLON
23,1.1.22,The farthest limit of my embassy.,CHATILLON
24,1.1.23,"Bear mine to him, and so depart in peace:",KING JOHN
25,1.1.24,Be thou as lightning in the eyes of France;,KING JOHN
26,1.1.25,"For ere thou canst report I will be there,",KING JOHN
27,1.1.26,The thunder of my cannon shall be heard:,KING JOHN
28,1.1.27,So hence! Be thou the trumpet of our wrath,KING JOHN
29,1.1.28,And sullen presage of your own decay.,KING JOHN
30,1.1.29,An honourable conduct let him have:,KING JOHN
31,1.1.30,"Pembroke, look to 't. Farewell, Chatillon.",KING JOHN
