,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/lear/,King Lear,
2,1.1.1,I thought the king had more affected the Duke of,KENT
3,1.1.2,Albany than Cornwall.,KENT
4,1.1.3,"It did always seem so to us: but now, in the",GLOUCESTER
5,1.1.4,"division of the kingdom, it appears not which of",GLOUCESTER
6,1.1.5,the dukes he values most; for equalities are so,GLOUCESTER
7,1.1.6,"weighed, that curiosity in neither can make choice",GLOUCESTER
8,1.1.7,of either's moiety.,GLOUCESTER
9,1.1.8,"Is not this your son, my lord?",KENT
10,1.1.9,"His breeding, sir, hath been at my charge: I have",GLOUCESTER
11,1.1.10,"so often blushed to acknowledge him, that now I am",GLOUCESTER
12,1.1.11,brazed to it.,GLOUCESTER
13,1.1.12,I cannot conceive you.,KENT
14,1.1.13,"Sir, this young fellow's mother could: whereupon",GLOUCESTER
15,1.1.14,"she grew round-wombed, and had, indeed, sir, a son",GLOUCESTER
16,1.1.15,for her cradle ere she had a husband for her bed.,GLOUCESTER
17,1.1.16,Do you smell a fault?,GLOUCESTER
18,1.1.17,"I cannot wish the fault undone, the issue of it",KENT
19,1.1.18,being so proper.,KENT
20,1.1.19,"But I have, sir, a son by order of law, some year",GLOUCESTER
21,1.1.20,"elder than this, who yet is no dearer in my account:",GLOUCESTER
22,1.1.21,though this knave came something saucily into the,GLOUCESTER
23,1.1.22,"world before he was sent for, yet was his mother",GLOUCESTER
24,1.1.23,"fair; there was good sport at his making, and the",GLOUCESTER
25,1.1.24,whoreson must be acknowledged. Do you know this,GLOUCESTER
26,1.1.25,"noble gentleman, Edmund?",GLOUCESTER
27,1.1.26,"No, my lord.",EDMUND
28,1.1.27,My lord of Kent: remember him hereafter as my,GLOUCESTER
29,1.1.28,honourable friend.,GLOUCESTER
30,1.1.29,My services to your lordship.,EDMUND
31,1.1.30,"I must love you, and sue to know you better.",KENT
32,1.1.31,"Sir, I shall study deserving.",EDMUND
