,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/lll/,Love's Labour's Lost,
2,1.1.1,"Let fame, that all hunt after in their lives,",FERDINAND
3,1.1.2,Live register'd upon our brazen tombs,FERDINAND
4,1.1.3,And then grace us in the disgrace of death;,FERDINAND
5,1.1.4,"When, spite of cormorant devouring Time,",FERDINAND
6,1.1.5,The endeavor of this present breath may buy,FERDINAND
7,1.1.6,That honour which shall bate his scythe's keen edge,FERDINAND
8,1.1.7,And make us heirs of all eternity.,FERDINAND
9,1.1.8,"Therefore, brave conquerors,--for so you are,",FERDINAND
10,1.1.9,That war against your own affections,FERDINAND
11,1.1.10,"And the huge army of the world's desires,--",FERDINAND
12,1.1.11,Our late edict shall strongly stand in force:,FERDINAND
13,1.1.12,Navarre shall be the wonder of the world;,FERDINAND
14,1.1.13,"Our court shall be a little Academe,",FERDINAND
15,1.1.14,Still and contemplative in living art.,FERDINAND
16,1.1.15,"You three, Biron, Dumain, and Longaville,",FERDINAND
17,1.1.16,Have sworn for three years' term to live with me,FERDINAND
18,1.1.17,"My fellow-scholars, and to keep those statutes",FERDINAND
19,1.1.18,That are recorded in this schedule here:,FERDINAND
20,1.1.19,"Your oaths are pass'd; and now subscribe your names,",FERDINAND
21,1.1.20,That his own hand may strike his honour down,FERDINAND
22,1.1.21,That violates the smallest branch herein:,FERDINAND
23,1.1.22,"If you are arm'd to do as sworn to do,",FERDINAND
24,1.1.23,"Subscribe to your deep oaths, and keep it too.",FERDINAND
25,1.1.24,I am resolved; 'tis but a three years' fast:,LONGAVILLE
26,1.1.25,"The mind shall banquet, though the body pine:",LONGAVILLE
27,1.1.26,"Fat paunches have lean pates, and dainty bits",LONGAVILLE
28,1.1.27,"Make rich the ribs, but bankrupt quite the wits.",LONGAVILLE
29,1.1.28,"My loving lord, Dumain is mortified:",DUMAIN
30,1.1.29,The grosser manner of these world's delights,DUMAIN
31,1.1.30,He throws upon the gross world's baser slaves:,DUMAIN
32,1.1.31,"To love, to wealth, to pomp, I pine and die;",DUMAIN
33,1.1.32,With all these living in philosophy.,DUMAIN
34,1.1.33,I can but say their protestation over;,BIRON
35,1.1.34,"So much, dear liege, I have already sworn,",BIRON
36,1.1.35,"That is, to live and study here three years.",BIRON
37,1.1.36,But there are other strict observances;,BIRON
38,1.1.37,"As, not to see a woman in that term,",BIRON
39,1.1.38,Which I hope well is not enrolled there;,BIRON
40,1.1.39,And one day in a week to touch no food,BIRON
41,1.1.40,"And but one meal on every day beside,",BIRON
42,1.1.41,The which I hope is not enrolled there;,BIRON
43,1.1.42,"And then, to sleep but three hours in the night,",BIRON
44,1.1.43,And not be seen to wink of all the day--,BIRON
45,1.1.44,When I was wont to think no harm all night,BIRON
46,1.1.45,And make a dark night too of half the day--,BIRON
47,1.1.46,Which I hope well is not enrolled there:,BIRON
48,1.1.47,"O, these are barren tasks, too hard to keep,",BIRON
49,1.1.48,"Not to see ladies, study, fast, not sleep!",BIRON
50,1.1.49,Your oath is pass'd to pass away from these.,FERDINAND
51,1.1.50,"Let me say no, my liege, an if you please:",BIRON
52,1.1.51,I only swore to study with your grace,BIRON
53,1.1.52,And stay here in your court for three years' space.,BIRON
54,1.1.53,"You swore to that, Biron, and to the rest.",LONGAVILLE
55,1.1.54,"By yea and nay, sir, then I swore in jest.",BIRON
56,1.1.55,What is the end of study? let me know.,BIRON
57,1.1.56,"Why, that to know, which else we should not know.",FERDINAND
58,1.1.57,"Things hid and barr'd, you mean, from common sense?",BIRON
59,1.1.58,"Ay, that is study's godlike recompense.",FERDINAND
60,1.1.59,"Come on, then; I will swear to study so,",BIRON
61,1.1.60,To know the thing I am forbid to know:,BIRON
62,1.1.61,"As thus,--to study where I well may dine,",BIRON
63,1.1.62,When I to feast expressly am forbid;,BIRON
64,1.1.63,"Or study where to meet some mistress fine,",BIRON
65,1.1.64,When mistresses from common sense are hid;,BIRON
66,1.1.65,"Or, having sworn too hard a keeping oath,",BIRON
67,1.1.66,Study to break it and not break my troth.,BIRON
68,1.1.67,"If study's gain be thus and this be so,",BIRON
69,1.1.68,Study knows that which yet it doth not know:,BIRON
70,1.1.69,"Swear me to this, and I will ne'er say no.",BIRON
71,1.1.70,These be the stops that hinder study quite,FERDINAND
72,1.1.71,And train our intellects to vain delight.,FERDINAND
73,1.1.72,"Why, all delights are vain; but that most vain,",BIRON
74,1.1.73,Which with pain purchased doth inherit pain:,BIRON
75,1.1.74,"As, painfully to pore upon a book",BIRON
76,1.1.75,To seek the light of truth; while truth the while,BIRON
77,1.1.76,Doth falsely blind the eyesight of his look:,BIRON
78,1.1.77,Light seeking light doth light of light beguile:,BIRON
79,1.1.78,"So, ere you find where light in darkness lies,",BIRON
80,1.1.79,Your light grows dark by losing of your eyes.,BIRON
81,1.1.80,Study me how to please the eye indeed,BIRON
82,1.1.81,"By fixing it upon a fairer eye,",BIRON
83,1.1.82,"Who dazzling so, that eye shall be his heed",BIRON
84,1.1.83,And give him light that it was blinded by.,BIRON
85,1.1.84,Study is like the heaven's glorious sun,BIRON
86,1.1.85,That will not be deep-search'd with saucy looks:,BIRON
87,1.1.86,Small have continual plodders ever won,BIRON
88,1.1.87,Save base authority from others' books,BIRON
89,1.1.88,These earthly godfathers of heaven's lights,BIRON
90,1.1.89,That give a name to every fixed star,BIRON
91,1.1.90,Have no more profit of their shining nights,BIRON
