,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/macbeth/,Macbeth,
2,1.1.1,When shall we three meet again,First Witch
3,1.1.2,"In thunder, lightning, or in rain?",First Witch
4,1.1.3,"When the hurlyburly's done,",Second Witch
5,1.1.4,When the battle's lost and won.,Second Witch
6,1.1.5,That will be ere the set of sun.,Third Witch
7,1.1.6,Where the place?,First Witch
8,1.1.7,                  Upon the heath.,Second Witch
9,1.1.8,There to meet with Macbeth.,Third Witch
10,1.1.9,"I come, Graymalkin!",First Witch
11,1.1.10,Paddock calls.,Second Witch
12,1.1.11,Anon.,Third Witch
13,1.1.12,"Fair is foul, and foul is fair:",ALL
14,1.1.13,Hover through the fog and filthy air.,ALL
15,1.2.1,"What bloody man is that? He can report,",DUNCAN
16,1.2.2,"As seemeth by his plight, of the revolt",DUNCAN
17,1.2.3,The newest state.,DUNCAN
18,1.2.4,                  This is the sergeant,MALCOLM
19,1.2.5,Who like a good and hardy soldier fought,MALCOLM
20,1.2.6,"'Gainst my captivity. Hail, brave friend!",MALCOLM
21,1.2.7,Say to the king the knowledge of the broil,MALCOLM
22,1.2.8,As thou didst leave it.,MALCOLM
23,1.2.9,Doubtful it stood;,Sergeant
24,1.2.10,"As two spent swimmers, that do cling together",Sergeant
25,1.2.11,And choke their art. The merciless Macdonwald--,Sergeant
26,1.2.12,"Worthy to be a rebel, for to that",Sergeant
27,1.2.13,The multiplying villanies of nature,Sergeant
28,1.2.14,Do swarm upon him--from the western isles,Sergeant
29,1.2.15,Of kerns and gallowglasses is supplied;,Sergeant
30,1.2.16,"And fortune, on his damned quarrel smiling,",Sergeant
31,1.2.17,Show'd like a rebel's whore: but all's too weak:,Sergeant
32,1.2.18,For brave Macbeth--well he deserves that name--,Sergeant
33,1.2.19,"Disdaining fortune, with his brandish'd steel,",Sergeant
34,1.2.20,"Which smoked with bloody execution,",Sergeant
35,1.2.21,Like valour's minion carved out his passage,Sergeant
36,1.2.22,Till he faced the slave;,Sergeant
37,1.2.23,"Which ne'er shook hands, nor bade farewell to him,",Sergeant
38,1.2.24,"Till he unseam'd him from the nave to the chaps,",Sergeant
39,1.2.25,And fix'd his head upon our battlements.,Sergeant
40,1.2.26,O valiant cousin! worthy gentleman!,DUNCAN
41,1.2.27,As whence the sun 'gins his reflection,Sergeant
42,1.2.28,"Shipwrecking storms and direful thunders break,",Sergeant
43,1.2.29,So from that spring whence comfort seem'd to come,Sergeant
44,1.2.30,"Discomfort swells. Mark, king of Scotland, mark:",Sergeant
45,1.2.31,No sooner justice had with valour arm'd,Sergeant
46,1.2.32,"Compell'd these skipping kerns to trust their heels,",Sergeant
47,1.2.33,"But the Norweyan lord surveying vantage,",Sergeant
48,1.2.34,With furbish'd arms and new supplies of men,Sergeant
49,1.2.35,Began a fresh assault.,Sergeant
50,1.2.36,Dismay'd not this,DUNCAN
51,1.2.37,"Our captains, Macbeth and Banquo?",DUNCAN
52,1.2.38,Yes;,Sergeant
53,1.2.39,"As sparrows eagles, or the hare the lion.",Sergeant
54,1.2.40,"If I say sooth, I must report they were",Sergeant
55,1.2.41,"As cannons overcharged with double cracks, so they",Sergeant
56,1.2.42,Doubly redoubled strokes upon the foe:,Sergeant
57,1.2.43,"Except they meant to bathe in reeking wounds,",Sergeant
58,1.2.44,"Or memorise another Golgotha,",Sergeant
59,1.2.45,I cannot tell.,Sergeant
60,1.2.46,"But I am faint, my gashes cry for help.",Sergeant
61,1.2.47,So well thy words become thee as thy wounds;,DUNCAN
62,1.2.48,They smack of honour both. Go get him surgeons.,DUNCAN
63,1.2.49,Who comes here?,DUNCAN
64,1.2.50,                  The worthy thane of Ross.,MALCOLM
65,1.2.51,What a haste looks through his eyes! So should he look,LENNOX
66,1.2.52,That seems to speak things strange.,LENNOX
67,1.2.53,God save the king!,ROSS
68,1.2.54,"Whence camest thou, worthy thane?",DUNCAN
69,1.2.55,"From Fife, great king;",ROSS
70,1.2.56,Where the Norweyan banners flout the sky,ROSS
71,1.2.57,"And fan our people cold. Norway himself,",ROSS
72,1.2.58,"With terrible numbers,",ROSS
73,1.2.59,Assisted by that most disloyal traitor,ROSS
74,1.2.60,"The thane of Cawdor, began a dismal conflict;",ROSS
75,1.2.61,"Till that Bellona's bridegroom, lapp'd in proof,",ROSS
76,1.2.62,"Confronted him with self-comparisons,",ROSS
77,1.2.63,"Point against point rebellious, arm 'gainst arm.",ROSS
78,1.2.64,"Curbing his lavish spirit: and, to conclude,",ROSS
79,1.2.65,The victory fell on us.,ROSS
80,1.2.66,Great happiness!,DUNCAN
81,1.2.67,That now,ROSS
82,1.2.68,"Sweno, the Norways' king, craves composition:",ROSS
83,1.2.69,Nor would we deign him burial of his men,ROSS
84,1.2.70,Till he disbursed at Saint Colme's inch,ROSS
85,1.2.71,Ten thousand dollars to our general use.,ROSS
86,1.2.72,No more that thane of Cawdor shall deceive,DUNCAN
87,1.2.73,"Our bosom interest: go pronounce his present death,",DUNCAN
88,1.2.74,And with his former title greet Macbeth.,DUNCAN
89,1.2.75,I'll see it done.,ROSS
90,1.2.76,What he hath lost noble Macbeth hath won.,DUNCAN
91,1.3.1,"Where hast thou been, sister?",First Witch
92,1.3.2,Killing swine.,Second Witch
93,1.3.3,"Sister, where thou?",Third Witch
94,1.3.4,"A sailor's wife had chestnuts in her lap,",First Witch
95,1.3.5,"And munch'd, and munch'd, and munch'd:--",First Witch
96,1.3.6,"'Give me,' quoth I:",First Witch
97,1.3.7,"'Aroint thee, witch!' the rump-fed ronyon cries.",First Witch
98,1.3.8,"Her husband's to Aleppo gone, master o' the Tiger:",First Witch
99,1.3.9,"But in a sieve I'll thither sail,",First Witch
100,1.3.10,"And, like a rat without a tail,",First Witch
101,1.3.11,"I'll do, I'll do, and I'll do.",First Witch
102,1.3.12,I'll give thee a wind.,Second Witch
103,1.3.13,Thou'rt kind.,First Witch
104,1.3.14,And I another.,Third Witch
105,1.3.15,"I myself have all the other,",First Witch
106,1.3.16,"And the very ports they blow,",First Witch
107,1.3.17,All the quarters that they know,First Witch
108,1.3.18,I' the shipman's card.,First Witch
109,1.3.19,I will drain him dry as hay:,First Witch
110,1.3.20,Sleep shall neither night nor day,First Witch
111,1.3.21,Hang upon his pent-house lid;,First Witch
112,1.3.22,He shall live a man forbid:,First Witch
113,1.3.23,Weary se'nnights nine times nine,First Witch
114,1.3.24,"Shall he dwindle, peak and pine:",First Witch
115,1.3.25,"Though his bark cannot be lost,",First Witch
116,1.3.26,Yet it shall be tempest-tost.,First Witch
117,1.3.27,Look what I have.,First Witch
118,1.3.28,"Show me, show me.",Second Witch
119,1.3.29,"Here I have a pilot's thumb,",First Witch
120,1.3.30,Wreck'd as homeward he did come.,First Witch
121,1.3.31,"A drum, a drum!",Third Witch
122,1.3.32,Macbeth doth come.,Third Witch
123,1.3.33,"The weird sisters, hand in hand,",ALL
124,1.3.34,"Posters of the sea and land,",ALL
125,1.3.35,"Thus do go about, about:",ALL
126,1.3.36,Thrice to thine and thrice to mine,ALL
127,1.3.37,"And thrice again, to make up nine.",ALL
128,1.3.38,Peace! the charm's wound up.,ALL
129,1.3.39,So foul and fair a day I have not seen.,MACBETH
130,1.3.40,How far is't call'd to Forres? What are these,BANQUO
131,1.3.41,"So wither'd and so wild in their attire,",BANQUO
132,1.3.42,"That look not like the inhabitants o' the earth,",BANQUO
133,1.3.43,And yet are on't? Live you? or are you aught,BANQUO
134,1.3.44,"That man may question? You seem to understand me,",BANQUO
135,1.3.45,By each at once her chappy finger laying,BANQUO
136,1.3.46,"Upon her skinny lips: you should be women,",BANQUO
137,1.3.47,And yet your beards forbid me to interpret,BANQUO
138,1.3.48,That you are so.,BANQUO
139,1.3.49,"                  Speak, if you can: what are you?",MACBETH
140,1.3.50,"All hail, Macbeth! hail to thee, thane of Glamis!",First Witch
141,1.3.51,"All hail, Macbeth, hail to thee, thane of Cawdor!",Second Witch
142,1.3.52,"All hail, Macbeth, thou shalt be king hereafter!",Third Witch
143,1.3.53,"Good sir, why do you start; and seem to fear",BANQUO
144,1.3.54,"Things that do sound so fair? I' the name of truth,",BANQUO
145,1.3.55,"Are ye fantastical, or that indeed",BANQUO
146,1.3.56,Which outwardly ye show? My noble partner,BANQUO
147,1.3.57,You greet with present grace and great prediction,BANQUO
148,1.3.58,"Of noble having and of royal hope,",BANQUO
149,1.3.59,That he seems rapt withal: to me you speak not.,BANQUO
150,1.3.60,"If you can look into the seeds of time,",BANQUO
151,1.3.61,"And say which grain will grow and which will not,",BANQUO
152,1.3.62,"Speak then to me, who neither beg nor fear",BANQUO
153,1.3.63,Your favours nor your hate.,BANQUO
154,1.3.64,Hail!,First Witch
155,1.3.65,Hail!,Second Witch
156,1.3.66,Hail!,Third Witch
157,1.3.67,"Lesser than Macbeth, and greater.",First Witch
158,1.3.68,"Not so happy, yet much happier.",Second Witch
159,1.3.69,"Thou shalt get kings, though thou be none:",Third Witch
160,1.3.70,"So all hail, Macbeth and Banquo!",Third Witch
161,1.3.71,"Banquo and Macbeth, all hail!",First Witch
162,1.3.72,"Stay, you imperfect speakers, tell me more:",MACBETH
163,1.3.73,By Sinel's death I know I am thane of Glamis;,MACBETH
164,1.3.74,"But how of Cawdor? the thane of Cawdor lives,",MACBETH
165,1.3.75,A prosperous gentleman; and to be king,MACBETH
166,1.3.76,"Stands not within the prospect of belief,",MACBETH
167,1.3.77,No more than to be Cawdor. Say from whence,MACBETH
168,1.3.78,You owe this strange intelligence? or why,MACBETH
169,1.3.79,Upon this blasted heath you stop our way,MACBETH
170,1.3.80,"With such prophetic greeting? Speak, I charge you.",MACBETH
171,1.3.81,"The earth hath bubbles, as the water has,",BANQUO
172,1.3.82,And these are of them. Whither are they vanish'd?,BANQUO
173,1.3.83,Into the air; and what seem'd corporal melted,MACBETH
174,1.3.84,As breath into the wind. Would they had stay'd!,MACBETH
175,1.3.85,Were such things here as we do speak about?,BANQUO
176,1.3.86,Or have we eaten on the insane root,BANQUO
177,1.3.87,That takes the reason prisoner?,BANQUO
178,1.3.88,Your children shall be kings.,MACBETH
179,1.3.89,You shall be king.,BANQUO
180,1.3.90,And thane of Cawdor too: went it not so?,MACBETH
181,1.3.91,To the selfsame tune and words. Who's here?,BANQUO
182,1.3.92,"The king hath happily received, Macbeth,",ROSS
183,1.3.93,The news of thy success; and when he reads,ROSS
184,1.3.94,"Thy personal venture in the rebels' fight,",ROSS
185,1.3.95,His wonders and his praises do contend,ROSS
186,1.3.96,"Which should be thine or his: silenced with that,",ROSS
187,1.3.97,"In viewing o'er the rest o' the selfsame day,",ROSS
188,1.3.98,"He finds thee in the stout Norweyan ranks,",ROSS
189,1.3.99,"Nothing afeard of what thyself didst make,",ROSS
190,1.3.100,Strange images of death. As thick as hail,ROSS
191,1.3.101,Came post with post; and every one did bear,ROSS
192,1.3.102,"Thy praises in his kingdom's great defence,",ROSS
193,1.3.103,And pour'd them down before him.,ROSS
194,1.3.104,We are sent,ANGUS
195,1.3.105,To give thee from our royal master thanks;,ANGUS
196,1.3.106,"Only to herald thee into his sight,",ANGUS
197,1.3.107,Not pay thee.,ANGUS
198,1.3.108,"And, for an earnest of a greater honour,",ROSS
199,1.3.109,"He bade me, from him, call thee thane of Cawdor:",ROSS
200,1.3.110,"In which addition, hail, most worthy thane!",ROSS
201,1.3.111,For it is thine.,ROSS
202,1.3.112,"                  What, can the devil speak true?",BANQUO
203,1.3.113,The thane of Cawdor lives: why do you dress me,MACBETH
204,1.3.114,In borrow'd robes?,MACBETH
205,1.3.115,                  Who was the thane lives yet;,ANGUS
206,1.3.116,But under heavy judgment bears that life,ANGUS
207,1.3.117,Which he deserves to lose. Whether he was combined,ANGUS
208,1.3.118,"With those of Norway, or did line the rebel",ANGUS
209,1.3.119,"With hidden help and vantage, or that with both",ANGUS
210,1.3.120,"He labour'd in his country's wreck, I know not;",ANGUS
211,1.3.121,"But treasons capital, confess'd and proved,",ANGUS
212,1.3.122,Have overthrown him.,ANGUS
213,1.3.123,"[Aside]  Glamis, and thane of Cawdor!",MACBETH
214,1.3.124,The greatest is behind.,MACBETH
215,1.3.125,Thanks for your pains.,MACBETH
