,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/measure/,Measure for Measure,
2,1.1.1,Escalus.,DUKE VINCENTIO
3,1.1.2,My lord.,ESCALUS
4,1.1.3,"Of government the properties to unfold,",DUKE VINCENTIO
5,1.1.4,Would seem in me to affect speech and discourse;,DUKE VINCENTIO
6,1.1.5,Since I am put to know that your own science,DUKE VINCENTIO
7,1.1.6,"Exceeds, in that, the lists of all advice",DUKE VINCENTIO
8,1.1.7,"My strength can give you: then no more remains,",DUKE VINCENTIO
9,1.1.8,"But that to your sufficiency as your Worth is able,",DUKE VINCENTIO
10,1.1.9,"And let them work. The nature of our people,",DUKE VINCENTIO
11,1.1.10,"Our city's institutions, and the terms",DUKE VINCENTIO
12,1.1.11,"For common justice, you're as pregnant in",DUKE VINCENTIO
13,1.1.12,As art and practise hath enriched any,DUKE VINCENTIO
14,1.1.13,"That we remember. There is our commission,",DUKE VINCENTIO
15,1.1.14,"From which we would not have you warp. Call hither,",DUKE VINCENTIO
16,1.1.15,"I say, bid come before us Angelo.",DUKE VINCENTIO
17,1.1.16,What figure of us think you he will bear?,DUKE VINCENTIO
18,1.1.17,"For you must know, we have with special soul",DUKE VINCENTIO
19,1.1.18,"Elected him our absence to supply,",DUKE VINCENTIO
20,1.1.19,"Lent him our terror, dress'd him with our love,",DUKE VINCENTIO
21,1.1.20,And given his deputation all the organs,DUKE VINCENTIO
22,1.1.21,Of our own power: what think you of it?,DUKE VINCENTIO
23,1.1.22,If any in Vienna be of worth,ESCALUS
24,1.1.23,"To undergo such ample grace and honour,",ESCALUS
25,1.1.24,It is Lord Angelo.,ESCALUS
26,1.1.25,                  Look where he comes.,DUKE VINCENTIO
27,1.1.26,"Always obedient to your grace's will,",ANGELO
28,1.1.27,I come to know your pleasure.,ANGELO
29,1.1.28,"Angelo,",DUKE VINCENTIO
30,1.1.29,"There is a kind of character in thy life,",DUKE VINCENTIO
31,1.1.30,That to the observer doth thy history,DUKE VINCENTIO
32,1.1.31,Fully unfold. Thyself and thy belongings,DUKE VINCENTIO
33,1.1.32,Are not thine own so proper as to waste,DUKE VINCENTIO
34,1.1.33,"Thyself upon thy virtues, they on thee.",DUKE VINCENTIO
35,1.1.34,"Heaven doth with us as we with torches do,",DUKE VINCENTIO
36,1.1.35,Not light them for themselves; for if our virtues,DUKE VINCENTIO
37,1.1.36,"Did not go forth of us, 'twere all alike",DUKE VINCENTIO
38,1.1.37,As if we had them not. Spirits are not finely touch'd,DUKE VINCENTIO
39,1.1.38,"But to fine issues, nor Nature never lends",DUKE VINCENTIO
40,1.1.39,The smallest scruple of her excellence,DUKE VINCENTIO
41,1.1.40,"But, like a thrifty goddess, she determines",DUKE VINCENTIO
42,1.1.41,"Herself the glory of a creditor,",DUKE VINCENTIO
43,1.1.42,Both thanks and use. But I do bend my speech,DUKE VINCENTIO
44,1.1.43,To one that can my part in him advertise;,DUKE VINCENTIO
45,1.1.44,"Hold therefore, Angelo:--",DUKE VINCENTIO
46,1.1.45,In our remove be thou at full ourself;,DUKE VINCENTIO
47,1.1.46,Mortality and mercy in Vienna,DUKE VINCENTIO
48,1.1.47,"Live in thy tongue and heart: old Escalus,",DUKE VINCENTIO
49,1.1.48,"Though first in question, is thy secondary.",DUKE VINCENTIO
50,1.1.49,Take thy commission.,DUKE VINCENTIO
51,1.1.50,"Now, good my lord,",ANGELO
52,1.1.51,"Let there be some more test made of my metal,",ANGELO
53,1.1.52,Before so noble and so great a figure,ANGELO
54,1.1.53,Be stamp'd upon it.,ANGELO
55,1.1.54,No more evasion:,DUKE VINCENTIO
56,1.1.55,We have with a leaven'd and prepared choice,DUKE VINCENTIO
57,1.1.56,Proceeded to you; therefore take your honours.,DUKE VINCENTIO
58,1.1.57,Our haste from hence is of so quick condition,DUKE VINCENTIO
59,1.1.58,That it prefers itself and leaves unquestion'd,DUKE VINCENTIO
60,1.1.59,"Matters of needful value. We shall write to you,",DUKE VINCENTIO
61,1.1.60,"As time and our concernings shall importune,",DUKE VINCENTIO
62,1.1.61,"How it goes with us, and do look to know",DUKE VINCENTIO
63,1.1.62,"What doth befall you here. So, fare you well;",DUKE VINCENTIO
64,1.1.63,To the hopeful execution do I leave you,DUKE VINCENTIO
65,1.1.64,Of your commissions.,DUKE VINCENTIO
66,1.1.65,"Yet give leave, my lord,",ANGELO
67,1.1.66,That we may bring you something on the way.,ANGELO
68,1.1.67,My haste may not admit it;,DUKE VINCENTIO
69,1.1.68,"Nor need you, on mine honour, have to do",DUKE VINCENTIO
70,1.1.69,With any scruple; your scope is as mine own,DUKE VINCENTIO
71,1.1.70,So to enforce or qualify the laws,DUKE VINCENTIO
72,1.1.71,As to your soul seems good. Give me your hand:,DUKE VINCENTIO
73,1.1.72,"I'll privily away. I love the people,",DUKE VINCENTIO
74,1.1.73,But do not like to stage me to their eyes:,DUKE VINCENTIO
75,1.1.74,"Through it do well, I do not relish well",DUKE VINCENTIO
76,1.1.75,Their loud applause and Aves vehement;,DUKE VINCENTIO
77,1.1.76,Nor do I think the man of safe discretion,DUKE VINCENTIO
78,1.1.77,"That does affect it. Once more, fare you well.",DUKE VINCENTIO
79,1.1.78,The heavens give safety to your purposes!,ANGELO
80,1.1.79,Lead forth and bring you back in happiness!,ESCALUS
81,1.1.80,I thank you. Fare you well.,DUKE
82,1.1.81,"I shall desire you, sir, to give me leave",ESCALUS
83,1.1.82,To have free speech with you; and it concerns me,ESCALUS
84,1.1.83,To look into the bottom of my place:,ESCALUS
85,1.1.84,"A power I have, but of what strength and nature",ESCALUS
86,1.1.85,I am not yet instructed.,ESCALUS
87,1.1.86,"'Tis so with me. Let us withdraw together,",ANGELO
88,1.1.87,And we may soon our satisfaction have,ANGELO
89,1.1.88,Touching that point.,ANGELO
90,1.1.89,I'll wait upon your honour.,ESCALUS
91,1.2.1,If the duke with the other dukes come not to,LUCIO
92,1.2.2,"composition with the King of Hungary, why then all",LUCIO
93,1.2.3,the dukes fall upon the king.,LUCIO
94,1.2.4,"Heaven grant us its peace, but not the King of",First Gentleman
95,1.2.5,Hungary's!,First Gentleman
96,1.2.6,Amen.,Second Gentleman
97,1.2.7,"Thou concludest like the sanctimonious pirate, that",LUCIO
98,1.2.8,"went to sea with the Ten Commandments, but scraped",LUCIO
99,1.2.9,one out of the table.,LUCIO
100,1.2.10,'Thou shalt not steal'?,Second Gentleman
101,1.2.11,"Ay, that he razed.",LUCIO
102,1.2.12,"Why, 'twas a commandment to command the captain and",First Gentleman
103,1.2.13,all the rest from their functions: they put forth,First Gentleman
104,1.2.14,"to steal. There's not a soldier of us all, that, in",First Gentleman
105,1.2.15,"the thanksgiving before meat, do relish the petition",First Gentleman
106,1.2.16,well that prays for peace.,First Gentleman
107,1.2.17,I never heard any soldier dislike it.,Second Gentleman
108,1.2.18,I believe thee; for I think thou never wast where,LUCIO
109,1.2.19,grace was said.,LUCIO
110,1.2.20,No? a dozen times at least.,Second Gentleman
111,1.2.21,"What, in metre?",First Gentleman
112,1.2.22,In any proportion or in any language.,LUCIO
113,1.2.23,"I think, or in any religion.",First Gentleman
114,1.2.24,"Ay, why not? Grace is grace, despite of all",LUCIO
115,1.2.25,"controversy: as, for example, thou thyself art a",LUCIO
116,1.2.26,"wicked villain, despite of all grace.",LUCIO
117,1.2.27,"Well, there went but a pair of shears between us.",First Gentleman
118,1.2.28,I grant; as there may between the lists and the,LUCIO
119,1.2.29,velvet. Thou art the list.,LUCIO
120,1.2.30,And thou the velvet: thou art good velvet; thou'rt,First Gentleman
121,1.2.31,"a three-piled piece, I warrant thee: I had as lief",First Gentleman
122,1.2.32,"be a list of an English kersey as be piled, as thou",First Gentleman
123,1.2.33,"art piled, for a French velvet. Do I speak",First Gentleman
124,1.2.34,feelingly now?,First Gentleman
125,1.2.35,"I think thou dost; and, indeed, with most painful",LUCIO
126,1.2.36,"feeling of thy speech: I will, out of thine own",LUCIO
127,1.2.37,"confession, learn to begin thy health; but, whilst I",LUCIO
128,1.2.38,"live, forget to drink after thee.",LUCIO
129,1.2.39,"I think I have done myself wrong, have I not?",First Gentleman
130,1.2.40,"Yes, that thou hast, whether thou art tainted or free.",Second Gentleman
131,1.2.41,"Behold, behold. where Madam Mitigation comes! I",LUCIO
132,1.2.42,have purchased as many diseases under her roof as come to--,LUCIO
133,1.2.43,"To what, I pray?",Second Gentleman
134,1.2.44,Judge.,LUCIO
135,1.2.45,To three thousand dolours a year.,Second Gentleman
136,1.2.46,"Ay, and more.",First Gentleman
137,1.2.47,A French crown more.,LUCIO
138,1.2.48,Thou art always figuring diseases in me; but thou,First Gentleman
139,1.2.49,art full of error; I am sound.,First Gentleman
140,1.2.50,"Nay, not as one would say, healthy; but so sound as",LUCIO
141,1.2.51,things that are hollow: thy bones are hollow;,LUCIO
142,1.2.52,impiety has made a feast of thee.,LUCIO
143,1.2.53,How now! which of your hips has the most profound sciatica?,First Gentleman
144,1.2.54,"Well, well; there's one yonder arrested and carried",MISTRESS OVERDONE
145,1.2.55,to prison was worth five thousand of you all.,MISTRESS OVERDONE
146,1.2.56,"Who's that, I pray thee?",Second Gentleman
147,1.2.57,"Marry, sir, that's Claudio, Signior Claudio.",MISTRESS OVERDONE
148,1.2.58,Claudio to prison? 'tis not so.,First Gentleman
149,1.2.59,"Nay, but I know 'tis so: I saw him arrested, saw",MISTRESS OVERDONE
150,1.2.60,"him carried away; and, which is more, within these",MISTRESS OVERDONE
151,1.2.61,three days his head to be chopped off.,MISTRESS OVERDONE
152,1.2.62,"But, after all this fooling, I would not have it so.",LUCIO
153,1.2.63,Art thou sure of this?,LUCIO
154,1.2.64,I am too sure of it: and it is for getting Madam,MISTRESS OVERDONE
155,1.2.65,Julietta with child.,MISTRESS OVERDONE
156,1.2.66,"Believe me, this may be: he promised to meet me two",LUCIO
157,1.2.67,"hours since, and he was ever precise in",LUCIO
158,1.2.68,promise-keeping.,LUCIO
159,1.2.69,"Besides, you know, it draws something near to the",Second Gentleman
160,1.2.70,speech we had to such a purpose.,Second Gentleman
161,1.2.71,"But, most of all, agreeing with the proclamation.",First Gentleman
162,1.2.72,Away! let's go learn the truth of it.,LUCIO
163,1.2.73,"Thus, what with the war, what with the sweat, what",MISTRESS OVERDONE
164,1.2.74,"with the gallows and what with poverty, I am",MISTRESS OVERDONE
165,1.2.75,custom-shrunk.,MISTRESS OVERDONE
166,1.2.76,How now! what's the news with you?,MISTRESS OVERDONE
167,1.2.77,Yonder man is carried to prison.,POMPEY
168,1.2.78,Well; what has he done?,MISTRESS OVERDONE
169,1.2.79,A woman.,POMPEY
170,1.2.80,But what's his offence?,MISTRESS OVERDONE
171,1.2.81,Groping for trouts in a peculiar river.,POMPEY
172,1.2.82,"What, is there a maid with child by him?",MISTRESS OVERDONE
173,1.2.83,"No, but there's a woman with maid by him. You have",POMPEY
174,1.2.84,"not heard of the proclamation, have you?",POMPEY
175,1.2.85,"What proclamation, man?",MISTRESS OVERDONE
176,1.2.86,All houses in the suburbs of Vienna must be plucked down.,POMPEY
177,1.2.87,And what shall become of those in the city?,MISTRESS OVERDONE
178,1.2.88,"They shall stand for seed: they had gone down too,",POMPEY
179,1.2.89,but that a wise burgher put in for them.,POMPEY
180,1.2.90,But shall all our houses of resort in the suburbs be,MISTRESS OVERDONE
181,1.2.91,pulled down?,MISTRESS OVERDONE
182,1.2.92,"To the ground, mistress.",POMPEY
183,1.2.93,"Why, here's a change indeed in the commonwealth!",MISTRESS OVERDONE
184,1.2.94,What shall become of me?,MISTRESS OVERDONE
185,1.2.95,Come; fear you not: good counsellors lack no,POMPEY
186,1.2.96,"clients: though you change your place, you need not",POMPEY
187,1.2.97,change your trade; I'll be your tapster still.,POMPEY
188,1.2.98,Courage! there will be pity taken on you: you that,POMPEY
189,1.2.99,"have worn your eyes almost out in the service, you",POMPEY
190,1.2.100,will be considered.,POMPEY
191,1.2.101,"What's to do here, Thomas tapster? let's withdraw.",MISTRESS OVERDONE
192,1.2.102,"Here comes Signior Claudio, led by the provost to",POMPEY
193,1.2.103,prison; and there's Madam Juliet.,POMPEY
194,1.2.104,"Fellow, why dost thou show me thus to the world?",CLAUDIO
195,1.2.105,"Bear me to prison, where I am committed.",CLAUDIO
196,1.2.106,"I do it not in evil disposition,",Provost
197,1.2.107,But from Lord Angelo by special charge.,Provost
198,1.2.108,Thus can the demigod Authority,CLAUDIO
199,1.2.109,Make us pay down for our offence by weight,CLAUDIO
200,1.2.110,"The words of heaven; on whom it will, it will;",CLAUDIO
201,1.2.111,"On whom it will not, so; yet still 'tis just.",CLAUDIO
202,1.2.112,"Why, how now, Claudio! whence comes this restraint?",LUCIO
203,1.2.113,"From too much liberty, my Lucio, liberty:",CLAUDIO
204,1.2.114,"As surfeit is the father of much fast,",CLAUDIO
205,1.2.115,So every scope by the immoderate use,CLAUDIO
206,1.2.116,"Turns to restraint. Our natures do pursue,",CLAUDIO
207,1.2.117,"Like rats that ravin down their proper bane,",CLAUDIO
208,1.2.118,A thirsty evil; and when we drink we die.,CLAUDIO
209,1.2.119,"If could speak so wisely under an arrest, I would",LUCIO
210,1.2.120,"send for certain of my creditors: and yet, to say",LUCIO
211,1.2.121,"the truth, I had as lief have the foppery of freedom",LUCIO
212,1.2.122,as the morality of imprisonment. What's thy,LUCIO
213,1.2.123,"offence, Claudio?",LUCIO
214,1.2.124,What but to speak of would offend again.,CLAUDIO
215,1.2.125,"What, is't murder?",LUCIO
216,1.2.126,No.,CLAUDIO
217,1.2.127,Lechery?,LUCIO
218,1.2.128,Call it so.,CLAUDIO
