,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/merchant/,Merchant of Venice,
2,1.1.1,"In sooth, I know not why I am so sad:",ANTONIO
3,1.1.2,It wearies me; you say it wearies you;,ANTONIO
4,1.1.3,"But how I caught it, found it, or came by it,",ANTONIO
5,1.1.4,"What stuff 'tis made of, whereof it is born,",ANTONIO
6,1.1.5,I am to learn;,ANTONIO
7,1.1.6,"And such a want-wit sadness makes of me,",ANTONIO
8,1.1.7,That I have much ado to know myself.,ANTONIO
9,1.1.8,Your mind is tossing on the ocean;,SALARINO
10,1.1.9,"There, where your argosies with portly sail,",SALARINO
11,1.1.10,"Like signiors and rich burghers on the flood,",SALARINO
12,1.1.11,"Or, as it were, the pageants of the sea,",SALARINO
13,1.1.12,"Do overpeer the petty traffickers,",SALARINO
14,1.1.13,"That curtsy to them, do them reverence,",SALARINO
15,1.1.14,As they fly by them with their woven wings.,SALARINO
16,1.1.15,"Believe me, sir, had I such venture forth,",SALANIO
17,1.1.16,The better part of my affections would,SALANIO
18,1.1.17,Be with my hopes abroad. I should be still,SALANIO
19,1.1.18,"Plucking the grass, to know where sits the wind,",SALANIO
20,1.1.19,Peering in maps for ports and piers and roads;,SALANIO
21,1.1.20,And every object that might make me fear,SALANIO
22,1.1.21,"Misfortune to my ventures, out of doubt",SALANIO
23,1.1.22,Would make me sad.,SALANIO
24,1.1.23,                  My wind cooling my broth,SALARINO
25,1.1.24,"Would blow me to an ague, when I thought",SALARINO
26,1.1.25,What harm a wind too great at sea might do.,SALARINO
27,1.1.26,"I should not see the sandy hour-glass run,",SALARINO
28,1.1.27,"But I should think of shallows and of flats,",SALARINO
29,1.1.28,"And see my wealthy Andrew dock'd in sand,",SALARINO
30,1.1.29,Vailing her high-top lower than her ribs,SALARINO
31,1.1.30,To kiss her burial. Should I go to church,SALARINO
32,1.1.31,"And see the holy edifice of stone,",SALARINO
33,1.1.32,"And not bethink me straight of dangerous rocks,",SALARINO
34,1.1.33,"Which touching but my gentle vessel's side,",SALARINO
35,1.1.34,"Would scatter all her spices on the stream,",SALARINO
36,1.1.35,"Enrobe the roaring waters with my silks,",SALARINO
37,1.1.36,"And, in a word, but even now worth this,",SALARINO
38,1.1.37,And now worth nothing? Shall I have the thought,SALARINO
39,1.1.38,"To think on this, and shall I lack the thought",SALARINO
40,1.1.39,That such a thing bechanced would make me sad?,SALARINO
41,1.1.40,"But tell not me; I know, Antonio",SALARINO
42,1.1.41,Is sad to think upon his merchandise.,SALARINO
43,1.1.42,"Believe me, no: I thank my fortune for it,",ANTONIO
44,1.1.43,"My ventures are not in one bottom trusted,",ANTONIO
45,1.1.44,Nor to one place; nor is my whole estate,ANTONIO
46,1.1.45,Upon the fortune of this present year:,ANTONIO
47,1.1.46,Therefore my merchandise makes me not sad.,ANTONIO
48,1.1.47,"Why, then you are in love.",SALARINO
49,1.1.48,"Fie, fie!",ANTONIO
50,1.1.49,"Not in love neither? Then let us say you are sad,",SALARINO
51,1.1.50,Because you are not merry: and 'twere as easy,SALARINO
52,1.1.51,"For you to laugh and leap and say you are merry,",SALARINO
53,1.1.52,"Because you are not sad. Now, by two-headed Janus,",SALARINO
54,1.1.53,Nature hath framed strange fellows in her time:,SALARINO
