,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/merry_wives/,Merry Wives of Windsor,
2,1.1.1,"Sir Hugh, persuade me not; I will make a Star-",SHALLOW
3,1.1.2,chamber matter of it: if he were twenty Sir John,SHALLOW
4,1.1.3,"Falstaffs, he shall not abuse Robert Shallow, esquire.",SHALLOW
5,1.1.4,"In the county of Gloucester, justice of peace and",SLENDER
6,1.1.5,'Coram.',SLENDER
7,1.1.6,"Ay, cousin Slender, and 'Custalourum.",SHALLOW
8,1.1.7,"Ay, and 'Rato-lorum' too; and a gentleman born,",SLENDER
9,1.1.8,"master parson; who writes himself 'Armigero,' in any",SLENDER
10,1.1.9,"bill, warrant, quittance, or obligation, 'Armigero.'",SLENDER
11,1.1.10,"Ay, that I do; and have done any time these three",SHALLOW
12,1.1.11,hundred years.,SHALLOW
13,1.1.12,All his successors gone before him hath done't; and,SLENDER
14,1.1.13,all his ancestors that come after him may: they may,SLENDER
15,1.1.14,give the dozen white luces in their coat.,SLENDER
16,1.1.15,It is an old coat.,SHALLOW
17,1.1.16,The dozen white louses do become an old coat well;,SIR HUGH EVANS
18,1.1.17,"it agrees well, passant; it is a familiar beast to",SIR HUGH EVANS
19,1.1.18,"man, and signifies love.",SIR HUGH EVANS
20,1.1.19,The luce is the fresh fish; the salt fish is an old coat.,SHALLOW
21,1.1.20,"I may quarter, coz.",SLENDER
22,1.1.21,"You may, by marrying.",SHALLOW
23,1.1.22,"It is marring indeed, if he quarter it.",SIR HUGH EVANS
24,1.1.23,Not a whit.,SHALLOW
25,1.1.24,"Yes, py'r lady; if he has a quarter of your coat,",SIR HUGH EVANS
26,1.1.25,"there is but three skirts for yourself, in my",SIR HUGH EVANS
27,1.1.26,simple conjectures: but that is all one. If Sir,SIR HUGH EVANS
28,1.1.27,John Falstaff have committed disparagements unto,SIR HUGH EVANS
29,1.1.28,"you, I am of the church, and will be glad to do my",SIR HUGH EVANS
30,1.1.29,benevolence to make atonements and compremises,SIR HUGH EVANS
31,1.1.30,between you.,SIR HUGH EVANS
32,1.1.31,The council shall bear it; it is a riot.,SHALLOW
33,1.1.32,It is not meet the council hear a riot; there is no,SIR HUGH EVANS
34,1.1.33,"fear of Got in a riot: the council, look you, shall",SIR HUGH EVANS
35,1.1.34,"desire to hear the fear of Got, and not to hear a",SIR HUGH EVANS
36,1.1.35,riot; take your vizaments in that.,SIR HUGH EVANS
37,1.1.36,"Ha! o' my life, if I were young again, the sword",SHALLOW
38,1.1.37,should end it.,SHALLOW
39,1.1.38,"It is petter that friends is the sword, and end it:",SIR HUGH EVANS
40,1.1.39,"and there is also another device in my prain, which",SIR HUGH EVANS
41,1.1.40,peradventure prings goot discretions with it: there,SIR HUGH EVANS
42,1.1.41,"is Anne Page, which is daughter to Master Thomas",SIR HUGH EVANS
43,1.1.42,"Page, which is pretty virginity.",SIR HUGH EVANS
44,1.1.43,"Mistress Anne Page? She has brown hair, and speaks",SLENDER
45,1.1.44,small like a woman.,SLENDER
46,1.1.45,"It is that fery person for all the orld, as just as",SIR HUGH EVANS
47,1.1.46,"you will desire; and seven hundred pounds of moneys,",SIR HUGH EVANS
48,1.1.47,"and gold and silver, is her grandsire upon his",SIR HUGH EVANS
49,1.1.48,death's-bed--Got deliver to a joyful resurrections!,SIR HUGH EVANS
50,1.1.49,"--give, when she is able to overtake seventeen years",SIR HUGH EVANS
51,1.1.50,old: it were a goot motion if we leave our pribbles,SIR HUGH EVANS
52,1.1.51,"and prabbles, and desire a marriage between Master",SIR HUGH EVANS
53,1.1.52,Abraham and Mistress Anne Page.,SIR HUGH EVANS
54,1.1.53,Did her grandsire leave her seven hundred pound?,SLENDER
55,1.1.54,"Ay, and her father is make her a petter penny.",SIR HUGH EVANS
56,1.1.55,I know the young gentlewoman; she has good gifts.,SLENDER
57,1.1.56,Seven hundred pounds and possibilities is goot gifts.,SIR HUGH EVANS
58,1.1.57,"Well, let us see honest Master Page. Is Falstaff there?",SHALLOW
59,1.1.58,Shall I tell you a lie? I do despise a liar as I do,SIR HUGH EVANS
60,1.1.59,"despise one that is false, or as I despise one that",SIR HUGH EVANS
61,1.1.60,"is not true. The knight, Sir John, is there; and, I",SIR HUGH EVANS
62,1.1.61,"beseech you, be ruled by your well-willers. I will",SIR HUGH EVANS
63,1.1.62,peat the door for Master Page.,SIR HUGH EVANS
64,1.1.63,"What, hoa! Got pless your house here!",SIR HUGH EVANS
65,1.1.64,[Within]  Who's there?,PAGE
66,1.1.65,"Here is Got's plessing, and your friend, and Justice",SIR HUGH EVANS
67,1.1.66,"Shallow; and here young Master Slender, that",SIR HUGH EVANS
68,1.1.67,"peradventures shall tell you another tale, if",SIR HUGH EVANS
69,1.1.68,matters grow to your likings.,SIR HUGH EVANS
70,1.1.69,I am glad to see your worships well.,PAGE
71,1.1.70,"I thank you for my venison, Master Shallow.",PAGE
72,1.1.71,"Master Page, I am glad to see you: much good do it",SHALLOW
73,1.1.72,your good heart! I wished your venison better; it,SHALLOW
74,1.1.73,was ill killed. How doth good Mistress Page?--and I,SHALLOW
75,1.1.74,"thank you always with my heart, la! with my heart.",SHALLOW
76,1.1.75,"Sir, I thank you.",PAGE
77,1.1.76,"Sir, I thank you; by yea and no, I do.",SHALLOW
78,1.1.77,"I am glad to see you, good Master Slender.",PAGE
79,1.1.78,"How does your fallow greyhound, sir? I heard say he",SLENDER
80,1.1.79,was outrun on Cotsall.,SLENDER
81,1.1.80,"It could not be judged, sir.",PAGE
82,1.1.81,"You'll not confess, you'll not confess.",SLENDER
83,1.1.82,"That he will not. 'Tis your fault, 'tis your fault;",SHALLOW
84,1.1.83,'tis a good dog.,SHALLOW
85,1.1.84,"A cur, sir.",PAGE
86,1.1.85,"Sir, he's a good dog, and a fair dog: can there be",SHALLOW
87,1.1.86,more said? he is good and fair. Is Sir John,SHALLOW
88,1.1.87,Falstaff here?,SHALLOW
89,1.1.88,"Sir, he is within; and I would I could do a good",PAGE
90,1.1.89,office between you.,PAGE
91,1.1.90,It is spoke as a Christians ought to speak.,SIR HUGH EVANS
92,1.1.91,"He hath wronged me, Master Page.",SHALLOW
93,1.1.92,"Sir, he doth in some sort confess it.",PAGE
94,1.1.93,"If it be confessed, it is not redress'd: is not that",SHALLOW
95,1.1.94,"so, Master Page? He hath wronged me; indeed he",SHALLOW
96,1.1.95,"hath, at a word, he hath, believe me: Robert",SHALLOW
97,1.1.96,"Shallow, esquire, saith, he is wronged.",SHALLOW
98,1.1.97,Here comes Sir John.,PAGE
99,1.1.98,"Now, Master Shallow, you'll complain of me to the king?",FALSTAFF
100,1.1.99,"Knight, you have beaten my men, killed my deer, and",SHALLOW
101,1.1.100,broke open my lodge.,SHALLOW
102,1.1.101,But not kissed your keeper's daughter?,FALSTAFF
103,1.1.102,"Tut, a pin! this shall be answered.",SHALLOW
104,1.1.103,I will answer it straight; I have done all this.,FALSTAFF
105,1.1.104,That is now answered.,FALSTAFF
106,1.1.105,The council shall know this.,SHALLOW
107,1.1.106,'Twere better for you if it were known in counsel:,FALSTAFF
108,1.1.107,you'll be laughed at.,FALSTAFF
109,1.1.108,"Pauca verba, Sir John; goot worts.",SIR HUGH EVANS
110,1.1.109,"Good worts! good cabbage. Slender, I broke your",FALSTAFF
111,1.1.110,head: what matter have you against me?,FALSTAFF
112,1.1.111,"Marry, sir, I have matter in my head against you;",SLENDER
113,1.1.112,"and against your cony-catching rascals, Bardolph,",SLENDER
114,1.1.113,"Nym, and Pistol.",SLENDER
115,1.1.114,You Banbury cheese!,BARDOLPH
116,1.1.115,"Ay, it is no matter.",SLENDER
117,1.1.116,"How now, Mephostophilus!",PISTOL
118,1.1.117,"Ay, it is no matter.",SLENDER
119,1.1.118,"Slice, I say! pauca, pauca: slice! that's my humour.",NYM
120,1.1.119,"Where's Simple, my man? Can you tell, cousin?",SLENDER
121,1.1.120,"Peace, I pray you. Now let us understand. There is",SIR HUGH EVANS
122,1.1.121,"three umpires in this matter, as I understand; that",SIR HUGH EVANS
123,1.1.122,"is, Master Page, fidelicet Master Page; and there is",SIR HUGH EVANS
124,1.1.123,"myself, fidelicet myself; and the three party is,",SIR HUGH EVANS
125,1.1.124,"lastly and finally, mine host of the Garter.",SIR HUGH EVANS
126,1.1.125,"We three, to hear it and end it between them.",PAGE
127,1.1.126,Fery goot: I will make a prief of it in my note-,SIR HUGH EVANS
128,1.1.127,book; and we will afterwards ork upon the cause with,SIR HUGH EVANS
129,1.1.128,as great discreetly as we can.,SIR HUGH EVANS
130,1.1.129,Pistol!,FALSTAFF
131,1.1.130,He hears with ears.,PISTOL
132,1.1.131,"The tevil and his tam! what phrase is this, 'He",SIR HUGH EVANS
133,1.1.132,"hears with ear'? why, it is affectations.",SIR HUGH EVANS
134,1.1.133,"Pistol, did you pick Master Slender's purse?",FALSTAFF
135,1.1.134,"Ay, by these gloves, did he, or I would I might",SLENDER
136,1.1.135,"never come in mine own great chamber again else, of",SLENDER
137,1.1.136,"seven groats in mill-sixpences, and two Edward",SLENDER
138,1.1.137,"shovel-boards, that cost me two shilling and two",SLENDER
139,1.1.138,"pence apiece of Yead Miller, by these gloves.",SLENDER
140,1.1.139,"Is this true, Pistol?",FALSTAFF
141,1.1.140,"No; it is false, if it is a pick-purse.",SIR HUGH EVANS
142,1.1.141,"Ha, thou mountain-foreigner! Sir John and Master mine,",PISTOL
143,1.1.142,I combat challenge of this latten bilbo.,PISTOL
144,1.1.143,Word of denial in thy labras here!,PISTOL
145,1.1.144,"Word of denial: froth and scum, thou liest!",PISTOL
146,1.1.145,"By these gloves, then, 'twas he.",SLENDER
147,1.1.146,"Be avised, sir, and pass good humours: I will say",NYM
148,1.1.147,"'marry trap' with you, if you run the nuthook's",NYM
149,1.1.148,humour on me; that is the very note of it.,NYM
150,1.1.149,"By this hat, then, he in the red face had it; for",SLENDER
151,1.1.150,though I cannot remember what I did when you made me,SLENDER
152,1.1.151,"drunk, yet I am not altogether an ass.",SLENDER
153,1.1.152,"What say you, Scarlet and John?",FALSTAFF
154,1.1.153,"Why, sir, for my part I say the gentleman had drunk",BARDOLPH
155,1.1.154,himself out of his five sentences.,BARDOLPH
156,1.1.155,"It is his five senses: fie, what the ignorance is!",SIR HUGH EVANS
157,1.1.156,"And being fap, sir, was, as they say, cashiered; and",BARDOLPH
158,1.1.157,so conclusions passed the careires.,BARDOLPH
159,1.1.158,"Ay, you spake in Latin then too; but 'tis no",SLENDER
160,1.1.159,"matter: I'll ne'er be drunk whilst I live again,",SLENDER
161,1.1.160,"but in honest, civil, godly company, for this trick:",SLENDER
162,1.1.161,"if I be drunk, I'll be drunk with those that have",SLENDER
163,1.1.162,"the fear of God, and not with drunken knaves.",SLENDER
164,1.1.163,"So Got udge me, that is a virtuous mind.",SIR HUGH EVANS
165,1.1.164,"You hear all these matters denied, gentlemen; you hear it.",FALSTAFF
166,1.1.165,"Nay, daughter, carry the wine in; we'll drink within.",PAGE
167,1.1.166,O heaven! this is Mistress Anne Page.,SLENDER
168,1.1.167,"How now, Mistress Ford!",PAGE
169,1.1.168,"Mistress Ford, by my troth, you are very well met:",FALSTAFF
170,1.1.169,"by your leave, good mistress.",FALSTAFF
171,1.1.170,"Wife, bid these gentlemen welcome. Come, we have a",PAGE
172,1.1.171,"hot venison pasty to dinner: come, gentlemen, I hope",PAGE
173,1.1.172,we shall drink down all unkindness.,PAGE
174,1.1.173,I had rather than forty shillings I had my Book of,SLENDER
175,1.1.174,Songs and Sonnets here.,SLENDER
