,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/midsummer/,Midsummer Night's Dream,
2,1.1.1,"Now, fair Hippolyta, our nuptial hour",THESEUS
3,1.1.2,Draws on apace; four happy days bring in,THESEUS
4,1.1.3,"Another moon: but, O, methinks, how slow",THESEUS
5,1.1.4,"This old moon wanes! she lingers my desires,",THESEUS
6,1.1.5,Like to a step-dame or a dowager,THESEUS
7,1.1.6,Long withering out a young man revenue.,THESEUS
8,1.1.7,Four days will quickly steep themselves in night;,HIPPOLYTA
9,1.1.8,Four nights will quickly dream away the time;,HIPPOLYTA
10,1.1.9,"And then the moon, like to a silver bow",HIPPOLYTA
11,1.1.10,"New-bent in heaven, shall behold the night",HIPPOLYTA
12,1.1.11,Of our solemnities.,HIPPOLYTA
13,1.1.12,"Go, Philostrate,",THESEUS
14,1.1.13,Stir up the Athenian youth to merriments;,THESEUS
15,1.1.14,Awake the pert and nimble spirit of mirth;,THESEUS
16,1.1.15,Turn melancholy forth to funerals;,THESEUS
17,1.1.16,The pale companion is not for our pomp.,THESEUS
18,1.1.17,"Hippolyta, I woo'd thee with my sword,",THESEUS
19,1.1.18,"And won thy love, doing thee injuries;",THESEUS
20,1.1.19,"But I will wed thee in another key,",THESEUS
21,1.1.20,"With pomp, with triumph and with revelling.",THESEUS
22,1.1.21,"Happy be Theseus, our renowned duke!",EGEUS
23,1.1.22,"Thanks, good Egeus: what's the news with thee?",THESEUS
24,1.1.23,"Full of vexation come I, with complaint",EGEUS
25,1.1.24,"Against my child, my daughter Hermia.",EGEUS
26,1.1.25,"Stand forth, Demetrius. My noble lord,",EGEUS
27,1.1.26,This man hath my consent to marry her.,EGEUS
28,1.1.27,"Stand forth, Lysander: and my gracious duke,",EGEUS
29,1.1.28,This man hath bewitch'd the bosom of my child;,EGEUS
30,1.1.29,"Thou, thou, Lysander, thou hast given her rhymes,",EGEUS
31,1.1.30,And interchanged love-tokens with my child:,EGEUS
32,1.1.31,"Thou hast by moonlight at her window sung,",EGEUS
33,1.1.32,"With feigning voice verses of feigning love,",EGEUS
34,1.1.33,And stolen the impression of her fantasy,EGEUS
35,1.1.34,"With bracelets of thy hair, rings, gawds, conceits,",EGEUS
36,1.1.35,"Knacks, trifles, nosegays, sweetmeats, messengers",EGEUS
37,1.1.36,Of strong prevailment in unharden'd youth:,EGEUS
38,1.1.37,"With cunning hast thou filch'd my daughter's heart,",EGEUS
39,1.1.38,"Turn'd her obedience, which is due to me,",EGEUS
40,1.1.39,"To stubborn harshness: and, my gracious duke,",EGEUS
41,1.1.40,Be it so she; will not here before your grace,EGEUS
42,1.1.41,"Consent to marry with Demetrius,",EGEUS
43,1.1.42,"I beg the ancient privilege of Athens,",EGEUS
44,1.1.43,"As she is mine, I may dispose of her:",EGEUS
45,1.1.44,Which shall be either to this gentleman,EGEUS
46,1.1.45,"Or to her death, according to our law",EGEUS
47,1.1.46,Immediately provided in that case.,EGEUS
48,1.1.47,"What say you, Hermia? be advised fair maid:",THESEUS
49,1.1.48,To you your father should be as a god;,THESEUS
50,1.1.49,"One that composed your beauties, yea, and one",THESEUS
51,1.1.50,To whom you are but as a form in wax,THESEUS
52,1.1.51,By him imprinted and within his power,THESEUS
53,1.1.52,To leave the figure or disfigure it.,THESEUS
54,1.1.53,Demetrius is a worthy gentleman.,THESEUS
55,1.1.54,So is Lysander.,HERMIA
56,1.1.55,                  In himself he is;,THESEUS
57,1.1.56,"But in this kind, wanting your father's voice,",THESEUS
58,1.1.57,The other must be held the worthier.,THESEUS
59,1.1.58,I would my father look'd but with my eyes.,HERMIA
60,1.1.59,Rather your eyes must with his judgment look.,THESEUS
61,1.1.60,I do entreat your grace to pardon me.,HERMIA
62,1.1.61,"I know not by what power I am made bold,",HERMIA
63,1.1.62,"Nor how it may concern my modesty,",HERMIA
64,1.1.63,In such a presence here to plead my thoughts;,HERMIA
65,1.1.64,But I beseech your grace that I may know,HERMIA
66,1.1.65,"The worst that may befall me in this case,",HERMIA
67,1.1.66,If I refuse to wed Demetrius.,HERMIA
68,1.1.67,Either to die the death or to abjure,THESEUS
69,1.1.68,For ever the society of men.,THESEUS
70,1.1.69,"Therefore, fair Hermia, question your desires;",THESEUS
71,1.1.70,"Know of your youth, examine well your blood,",THESEUS
72,1.1.71,"Whether, if you yield not to your father's choice,",THESEUS
73,1.1.72,"You can endure the livery of a nun,",THESEUS
74,1.1.73,"For aye to be in shady cloister mew'd,",THESEUS
75,1.1.74,"To live a barren sister all your life,",THESEUS
76,1.1.75,Chanting faint hymns to the cold fruitless moon.,THESEUS
77,1.1.76,"Thrice-blessed they that master so their blood,",THESEUS
78,1.1.77,To undergo such maiden pilgrimage;,THESEUS
79,1.1.78,"But earthlier happy is the rose distill'd,",THESEUS
80,1.1.79,Than that which withering on the virgin thorn,THESEUS
81,1.1.80,"Grows, lives and dies in single blessedness.",THESEUS
82,1.1.81,"So will I grow, so live, so die, my lord,",HERMIA
83,1.1.82,Ere I will my virgin patent up,HERMIA
84,1.1.83,"Unto his lordship, whose unwished yoke",HERMIA
85,1.1.84,My soul consents not to give sovereignty.,HERMIA
86,1.1.85,"Take time to pause; and, by the next new moon--",THESEUS
87,1.1.86,"The sealing-day betwixt my love and me,",THESEUS
88,1.1.87,For everlasting bond of fellowship--,THESEUS
89,1.1.88,Upon that day either prepare to die,THESEUS
90,1.1.89,"For disobedience to your father's will,",THESEUS
91,1.1.90,"Or else to wed Demetrius, as he would;",THESEUS
92,1.1.91,Or on Diana's altar to protest,THESEUS
93,1.1.92,For aye austerity and single life.,THESEUS
94,1.1.93,"Relent, sweet Hermia: and, Lysander, yield",DEMETRIUS
95,1.1.94,Thy crazed title to my certain right.,DEMETRIUS
96,1.1.95,"You have her father's love, Demetrius;",LYSANDER
97,1.1.96,Let me have Hermia's: do you marry him.,LYSANDER
98,1.1.97,"Scornful Lysander! true, he hath my love,",EGEUS
99,1.1.98,And what is mine my love shall render him.,EGEUS
100,1.1.99,"And she is mine, and all my right of her",EGEUS
101,1.1.100,I do estate unto Demetrius.,EGEUS
102,1.1.101,"I am, my lord, as well derived as he,",LYSANDER
103,1.1.102,As well possess'd; my love is more than his;,LYSANDER
104,1.1.103,"My fortunes every way as fairly rank'd,",LYSANDER
105,1.1.104,"If not with vantage, as Demetrius';",LYSANDER
106,1.1.105,"And, which is more than all these boasts can be,",LYSANDER
107,1.1.106,I am beloved of beauteous Hermia:,LYSANDER
108,1.1.107,Why should not I then prosecute my right?,LYSANDER
109,1.1.108,"Demetrius, I'll avouch it to his head,",LYSANDER
110,1.1.109,"Made love to Nedar's daughter, Helena,",LYSANDER
111,1.1.110,"And won her soul; and she, sweet lady, dotes,",LYSANDER
112,1.1.111,"Devoutly dotes, dotes in idolatry,",LYSANDER
113,1.1.112,Upon this spotted and inconstant man.,LYSANDER
114,1.1.113,"I must confess that I have heard so much,",THESEUS
115,1.1.114,And with Demetrius thought to have spoke thereof;,THESEUS
116,1.1.115,"But, being over-full of self-affairs,",THESEUS
117,1.1.116,"My mind did lose it. But, Demetrius, come;",THESEUS
118,1.1.117,"And come, Egeus; you shall go with me,",THESEUS
119,1.1.118,I have some private schooling for you both.,THESEUS
120,1.1.119,"For you, fair Hermia, look you arm yourself",THESEUS
121,1.1.120,To fit your fancies to your father's will;,THESEUS
122,1.1.121,Or else the law of Athens yields you up--,THESEUS
123,1.1.122,Which by no means we may extenuate--,THESEUS
124,1.1.123,"To death, or to a vow of single life.",THESEUS
125,1.1.124,"Come, my Hippolyta: what cheer, my love?",THESEUS
126,1.1.125,"Demetrius and Egeus, go along:",THESEUS
127,1.1.126,I must employ you in some business,THESEUS
128,1.1.127,Against our nuptial and confer with you,THESEUS
129,1.1.128,Of something nearly that concerns yourselves.,THESEUS
130,1.1.129,With duty and desire we follow you.,EGEUS
131,1.1.130,"How now, my love! why is your cheek so pale?",LYSANDER
132,1.1.131,How chance the roses there do fade so fast?,LYSANDER
133,1.1.132,"Belike for want of rain, which I could well",HERMIA
134,1.1.133,Beteem them from the tempest of my eyes.,HERMIA
135,1.1.134,"Ay me! for aught that I could ever read,",LYSANDER
136,1.1.135,"Could ever hear by tale or history,",LYSANDER
137,1.1.136,The course of true love never did run smooth;,LYSANDER
138,1.1.137,"But, either it was different in blood,--",LYSANDER
139,1.1.138,O cross! too high to be enthrall'd to low.,HERMIA
140,1.1.139,"Or else misgraffed in respect of years,--",LYSANDER
141,1.1.140,O spite! too old to be engaged to young.,HERMIA
142,1.1.141,"Or else it stood upon the choice of friends,--",LYSANDER
143,1.1.142,O hell! to choose love by another's eyes.,HERMIA
144,1.1.143,"Or, if there were a sympathy in choice,",LYSANDER
145,1.1.144,"War, death, or sickness did lay siege to it,",LYSANDER
146,1.1.145,"Making it momentany as a sound,",LYSANDER
147,1.1.146,"Swift as a shadow, short as any dream;",LYSANDER
148,1.1.147,"Brief as the lightning in the collied night,",LYSANDER
149,1.1.148,"That, in a spleen, unfolds both heaven and earth,",LYSANDER
150,1.1.149,And ere a man hath power to say 'Behold!',LYSANDER
151,1.1.150,The jaws of darkness do devour it up:,LYSANDER
152,1.1.151,So quick bright things come to confusion.,LYSANDER
153,1.1.152,"If then true lovers have been ever cross'd,",HERMIA
154,1.1.153,It stands as an edict in destiny:,HERMIA
155,1.1.154,"Then let us teach our trial patience,",HERMIA
156,1.1.155,"Because it is a customary cross,",HERMIA
157,1.1.156,"As due to love as thoughts and dreams and sighs,",HERMIA
158,1.1.157,"Wishes and tears, poor fancy's followers.",HERMIA
159,1.1.158,"A good persuasion: therefore, hear me, Hermia.",LYSANDER
160,1.1.159,"I have a widow aunt, a dowager",LYSANDER
161,1.1.160,"Of great revenue, and she hath no child:",LYSANDER
162,1.1.161,From Athens is her house remote seven leagues;,LYSANDER
163,1.1.162,And she respects me as her only son.,LYSANDER
164,1.1.163,"There, gentle Hermia, may I marry thee;",LYSANDER
165,1.1.164,And to that place the sharp Athenian law,LYSANDER
166,1.1.165,"Cannot pursue us. If thou lovest me then,",LYSANDER
167,1.1.166,Steal forth thy father's house to-morrow night;,LYSANDER
168,1.1.167,"And in the wood, a league without the town,",LYSANDER
169,1.1.168,"Where I did meet thee once with Helena,",LYSANDER
170,1.1.169,"To do observance to a morn of May,",LYSANDER
171,1.1.170,There will I stay for thee.,LYSANDER
172,1.1.171,My good Lysander!,HERMIA
173,1.1.172,"I swear to thee, by Cupid's strongest bow,",HERMIA
174,1.1.173,"By his best arrow with the golden head,",HERMIA
175,1.1.174,"By the simplicity of Venus' doves,",HERMIA
176,1.1.175,"By that which knitteth souls and prospers loves,",HERMIA
177,1.1.176,"And by that fire which burn'd the Carthage queen,",HERMIA
178,1.1.177,"When the false Troyan under sail was seen,",HERMIA
179,1.1.178,"By all the vows that ever men have broke,",HERMIA
180,1.1.179,"In number more than ever women spoke,",HERMIA
181,1.1.180,"In that same place thou hast appointed me,",HERMIA
182,1.1.181,To-morrow truly will I meet with thee.,HERMIA
183,1.1.182,"Keep promise, love. Look, here comes Helena.",LYSANDER
184,1.1.183,God speed fair Helena! whither away?,HERMIA
185,1.1.184,Call you me fair? that fair again unsay.,HELENA
186,1.1.185,Demetrius loves your fair: O happy fair!,HELENA
187,1.1.186,Your eyes are lode-stars; and your tongue's sweet air,HELENA
188,1.1.187,"More tuneable than lark to shepherd's ear,",HELENA
189,1.1.188,"When wheat is green, when hawthorn buds appear.",HELENA
190,1.1.189,"Sickness is catching: O, were favour so,",HELENA
191,1.1.190,"Yours would I catch, fair Hermia, ere I go;",HELENA
192,1.1.191,"My ear should catch your voice, my eye your eye,",HELENA
193,1.1.192,My tongue should catch your tongue's sweet melody.,HELENA
194,1.1.193,"Were the world mine, Demetrius being bated,",HELENA
195,1.1.194,The rest I'd give to be to you translated.,HELENA
196,1.1.195,"O, teach me how you look, and with what art",HELENA
197,1.1.196,You sway the motion of Demetrius' heart.,HELENA
198,1.1.197,"I frown upon him, yet he loves me still.",HERMIA
199,1.1.198,O that your frowns would teach my smiles such skill!,HELENA
200,1.1.199,"I give him curses, yet he gives me love.",HERMIA
201,1.1.200,O that my prayers could such affection move!,HELENA
202,1.1.201,"The more I hate, the more he follows me.",HERMIA
203,1.1.202,"The more I love, the more he hateth me.",HELENA
204,1.1.203,"His folly, Helena, is no fault of mine.",HERMIA
205,1.1.204,"None, but your beauty: would that fault were mine!",HELENA
206,1.1.205,Take comfort: he no more shall see my face;,HERMIA
207,1.1.206,Lysander and myself will fly this place.,HERMIA
208,1.1.207,"Before the time I did Lysander see,",HERMIA
209,1.1.208,Seem'd Athens as a paradise to me:,HERMIA
210,1.1.209,"O, then, what graces in my love do dwell,",HERMIA
211,1.1.210,That he hath turn'd a heaven unto a hell!,HERMIA
212,1.1.211,"Helen, to you our minds we will unfold:",LYSANDER
213,1.1.212,"To-morrow night, when Phoebe doth behold",LYSANDER
214,1.1.213,"Her silver visage in the watery glass,",LYSANDER
215,1.1.214,"Decking with liquid pearl the bladed grass,",LYSANDER
216,1.1.215,"A time that lovers' flights doth still conceal,",LYSANDER
217,1.1.216,Through Athens' gates have we devised to steal.,LYSANDER
218,1.1.217,"And in the wood, where often you and I",HERMIA
219,1.1.218,"Upon faint primrose-beds were wont to lie,",HERMIA
220,1.1.219,"Emptying our bosoms of their counsel sweet,",HERMIA
221,1.1.220,There my Lysander and myself shall meet;,HERMIA
222,1.1.221,"And thence from Athens turn away our eyes,",HERMIA
223,1.1.222,To seek new friends and stranger companies.,HERMIA
224,1.1.223,"Farewell, sweet playfellow: pray thou for us;",HERMIA
225,1.1.224,And good luck grant thee thy Demetrius!,HERMIA
226,1.1.225,"Keep word, Lysander: we must starve our sight",HERMIA
227,1.1.226,From lovers' food till morrow deep midnight.,HERMIA
228,1.1.227,"I will, my Hermia.",LYSANDER
229,1.1.228,"Helena, adieu:",LYSANDER
230,1.1.229,"As you on him, Demetrius dote on you!",LYSANDER
231,1.1.230,How happy some o'er other some can be!,HELENA
232,1.1.231,Through Athens I am thought as fair as she.,HELENA
233,1.1.232,But what of that? Demetrius thinks not so;,HELENA
234,1.1.233,He will not know what all but he do know:,HELENA
235,1.1.234,"And as he errs, doting on Hermia's eyes,",HELENA
236,1.1.235,"So I, admiring of his qualities:",HELENA
237,1.1.236,"Things base and vile, folding no quantity,",HELENA
238,1.1.237,Love can transpose to form and dignity:,HELENA
239,1.1.238,"Love looks not with the eyes, but with the mind;",HELENA
240,1.1.239,And therefore is wing'd Cupid painted blind:,HELENA
241,1.1.240,Nor hath Love's mind of any judgement taste;,HELENA
242,1.1.241,Wings and no eyes figure unheedy haste:,HELENA
