,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/much_ado/,Much Ado About Nothing,
2,1.1.1,I learn in this letter that Don Peter of Arragon,LEONATO
3,1.1.2,comes this night to Messina.,LEONATO
4,1.1.3,He is very near by this: he was not three leagues off,Messenger
5,1.1.4,when I left him.,Messenger
6,1.1.5,How many gentlemen have you lost in this action?,LEONATO
7,1.1.6,"But few of any sort, and none of name.",Messenger
8,1.1.7,A victory is twice itself when the achiever brings,LEONATO
9,1.1.8,home full numbers. I find here that Don Peter hath,LEONATO
10,1.1.9,bestowed much honour on a young Florentine called Claudio.,LEONATO
11,1.1.10,Much deserved on his part and equally remembered by,Messenger
12,1.1.11,Don Pedro: he hath borne himself beyond the,Messenger
13,1.1.12,"promise of his age, doing, in the figure of a lamb,",Messenger
14,1.1.13,the feats of a lion: he hath indeed better,Messenger
15,1.1.14,bettered expectation than you must expect of me to,Messenger
16,1.1.15,tell you how.,Messenger
17,1.1.16,He hath an uncle here in Messina will be very much,LEONATO
18,1.1.17,glad of it.,LEONATO
19,1.1.18,"I have already delivered him letters, and there",Messenger
20,1.1.19,appears much joy in him; even so much that joy could,Messenger
21,1.1.20,not show itself modest enough without a badge of,Messenger
22,1.1.21,bitterness.,Messenger
23,1.1.22,Did he break out into tears?,LEONATO
24,1.1.23,In great measure.,Messenger
25,1.1.24,A kind overflow of kindness: there are no faces,LEONATO
26,1.1.25,truer than those that are so washed. How much,LEONATO
27,1.1.26,better is it to weep at joy than to joy at weeping!,LEONATO
28,1.1.27,"I pray you, is Signior Mountanto returned from the",BEATRICE
29,1.1.28,wars or no?,BEATRICE
30,1.1.29,"I know none of that name, lady: there was none such",Messenger
31,1.1.30,in the army of any sort.,Messenger
32,1.1.31,"What is he that you ask for, niece?",LEONATO
33,1.1.32,My cousin means Signior Benedick of Padua.,HERO
34,1.1.33,"O, he's returned; and as pleasant as ever he was.",Messenger
35,1.1.34,He set up his bills here in Messina and challenged,BEATRICE
36,1.1.35,"Cupid at the flight; and my uncle's fool, reading",BEATRICE
37,1.1.36,"the challenge, subscribed for Cupid, and challenged",BEATRICE
38,1.1.37,"him at the bird-bolt. I pray you, how many hath he",BEATRICE
39,1.1.38,killed and eaten in these wars? But how many hath,BEATRICE
40,1.1.39,he killed? for indeed I promised to eat all of his killing.,BEATRICE
41,1.1.40,"Faith, niece, you tax Signior Benedick too much;",LEONATO
42,1.1.41,"but he'll be meet with you, I doubt it not.",LEONATO
43,1.1.42,"He hath done good service, lady, in these wars.",Messenger
44,1.1.43,"You had musty victual, and he hath holp to eat it:",BEATRICE
45,1.1.44,he is a very valiant trencherman; he hath an,BEATRICE
46,1.1.45,excellent stomach.,BEATRICE
47,1.1.46,"And a good soldier too, lady.",Messenger
48,1.1.47,And a good soldier to a lady: but what is he to a lord?,BEATRICE
49,1.1.48,"A lord to a lord, a man to a man; stuffed with all",Messenger
50,1.1.49,honourable virtues.,Messenger
51,1.1.50,"It is so, indeed; he is no less than a stuffed man:",BEATRICE
52,1.1.51,"but for the stuffing,--well, we are all mortal.",BEATRICE
53,1.1.52,"You must not, sir, mistake my niece. There is a",LEONATO
54,1.1.53,kind of merry war betwixt Signior Benedick and her:,LEONATO
55,1.1.54,they never meet but there's a skirmish of wit,LEONATO
56,1.1.55,between them.,LEONATO
