,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/othello/,Othello,
2,1.1.1,Tush! never tell me; I take it much unkindly,RODERIGO
3,1.1.2,"That thou, Iago, who hast had my purse",RODERIGO
4,1.1.3,"As if the strings were thine, shouldst know of this.",RODERIGO
5,1.1.4,"'Sblood, but you will not hear me:",IAGO
6,1.1.5,"If ever I did dream of such a matter, Abhor me.",IAGO
7,1.1.6,Thou told'st me thou didst hold him in thy hate.,RODERIGO
8,1.1.7,"Despise me, if I do not. Three great ones of the city,",IAGO
9,1.1.8,"In personal suit to make me his lieutenant,",IAGO
10,1.1.9,"Off-capp'd to him: and, by the faith of man,",IAGO
11,1.1.10,"I know my price, I am worth no worse a place:",IAGO
12,1.1.11,"But he; as loving his own pride and purposes,",IAGO
13,1.1.12,"Evades them, with a bombast circumstance",IAGO
14,1.1.13,Horribly stuff'd with epithets of war;,IAGO
15,1.1.14,"And, in conclusion,",IAGO
16,1.1.15,"Nonsuits my mediators; for, 'Certes,' says he,",IAGO
17,1.1.16,'I have already chose my officer.',IAGO
18,1.1.17,And what was he?,IAGO
19,1.1.18,"Forsooth, a great arithmetician,",IAGO
20,1.1.19,"One Michael Cassio, a Florentine,",IAGO
21,1.1.20,A fellow almost damn'd in a fair wife;,IAGO
22,1.1.21,"That never set a squadron in the field,",IAGO
23,1.1.22,Nor the division of a battle knows,IAGO
24,1.1.23,"More than a spinster; unless the bookish theoric,",IAGO
25,1.1.24,Wherein the toged consuls can propose,IAGO
26,1.1.25,"As masterly as he: mere prattle, without practise,",IAGO
27,1.1.26,"Is all his soldiership. But he, sir, had the election:",IAGO
28,1.1.27,"And I, of whom his eyes had seen the proof",IAGO
29,1.1.28,"At Rhodes, at Cyprus and on other grounds",IAGO
30,1.1.29,"Christian and heathen, must be be-lee'd and calm'd",IAGO
31,1.1.30,"By debitor and creditor: this counter-caster,",IAGO
32,1.1.31,"He, in good time, must his lieutenant be,",IAGO
33,1.1.32,And I--God bless the mark!--his Moorship's ancient.,IAGO
34,1.1.33,"By heaven, I rather would have been his hangman.",RODERIGO
35,1.1.34,"Why, there's no remedy; 'tis the curse of service,",IAGO
36,1.1.35,"Preferment goes by letter and affection,",IAGO
