,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/pericles/,Pericles,
2,1.0.1,"To sing a song that old was sung,",
3,1.0.2,From ashes ancient Gower is come;,
4,1.0.3,"Assuming man's infirmities,",
5,1.0.4,"To glad your ear, and please your eyes.",
6,1.0.5,"It hath been sung at festivals,",
7,1.0.6,On ember-eves and holy-ales;,
8,1.0.7,And lords and ladies in their lives,
9,1.0.8,Have read it for restoratives:,
10,1.0.9,The purchase is to make men glorious;,
11,1.0.10,"Et bonum quo antiquius, eo melius.",
12,1.0.11,"If you, born in these latter times,",
13,1.0.12,"When wit's more ripe, accept my rhymes.",
14,1.0.13,And that to hear an old man sing,
15,1.0.14,May to your wishes pleasure bring,
16,1.0.15,"I life would wish, and that I might",
17,1.0.16,"Waste it for you, like taper-light.",
18,1.0.17,"This Antioch, then, Antiochus the Great",
19,1.0.18,"Built up, this city, for his chiefest seat:",
20,1.0.19,"The fairest in all Syria,",
21,1.0.20,I tell you what mine authors say:,
22,1.0.21,"This king unto him took a fere,",
23,1.0.22,"Who died and left a female heir,",
24,1.0.23,"So buxom, blithe, and full of face,",
25,1.0.24,As heaven had lent her all his grace;,
26,1.0.25,"With whom the father liking took,",
27,1.0.26,And her to incest did provoke:,
28,1.0.27,Bad child; worse father! to entice his own,
29,1.0.28,To evil should be done by none:,
30,1.0.29,But custom what they did begin,
31,1.0.30,Was with long use account no sin.,
32,1.0.31,The beauty of this sinful dame,
33,1.0.32,"Made many princes thither frame,",
34,1.0.33,"To seek her as a bed-fellow,",
35,1.0.34,In marriage-pleasures play-fellow:,
36,1.0.35,"Which to prevent he made a law,",
37,1.0.36,"To keep her still, and men in awe,",
38,1.0.37,"That whoso ask'd her for his wife,",
39,1.0.38,"His riddle told not, lost his life:",
40,1.0.39,"So for her many a wight did die,",
41,1.0.40,As yon grim looks do testify.,
42,1.0.41,"What now ensues, to the judgment of your eye",
43,1.0.42,"I give, my cause who best can justify.",
44,1.1.1,"Young prince of Tyre, you have at large received",ANTIOCHUS
45,1.1.2,The danger of the task you undertake.,ANTIOCHUS
46,1.1.3,"I have, Antiochus, and, with a soul",PERICLES
47,1.1.4,"Embolden'd with the glory of her praise,",PERICLES
48,1.1.5,Think death no hazard in this enterprise.,PERICLES
49,1.1.6,"Bring in our daughter, clothed like a bride,",ANTIOCHUS
50,1.1.7,For the embracements even of Jove himself;,ANTIOCHUS
51,1.1.8,"At whose conception, till Lucina reign'd,",ANTIOCHUS
