,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/richardii/,Richard II,
2,1.1.1,"Old John of Gaunt, time-honour'd Lancaster,",KING RICHARD II
3,1.1.2,"Hast thou, according to thy oath and band,",KING RICHARD II
4,1.1.3,"Brought hither Henry Hereford thy bold son,",KING RICHARD II
5,1.1.4,"Here to make good the boisterous late appeal,",KING RICHARD II
6,1.1.5,"Which then our leisure would not let us hear,",KING RICHARD II
7,1.1.6,"Against the Duke of Norfolk, Thomas Mowbray?",KING RICHARD II
8,1.1.7,"I have, my liege.",JOHN OF GAUNT
9,1.1.8,"Tell me, moreover, hast thou sounded him,",KING RICHARD II
10,1.1.9,If he appeal the duke on ancient malice;,KING RICHARD II
11,1.1.10,"Or worthily, as a good subject should,",KING RICHARD II
12,1.1.11,On some known ground of treachery in him?,KING RICHARD II
13,1.1.12,"As near as I could sift him on that argument,",JOHN OF GAUNT
14,1.1.13,On some apparent danger seen in him,JOHN OF GAUNT
15,1.1.14,"Aim'd at your highness, no inveterate malice.",JOHN OF GAUNT
16,1.1.15,"Then call them to our presence; face to face,",KING RICHARD II
17,1.1.16,"And frowning brow to brow, ourselves will hear",KING RICHARD II
18,1.1.17,The accuser and the accused freely speak:,KING RICHARD II
19,1.1.18,"High-stomach'd are they both, and full of ire,",KING RICHARD II
20,1.1.19,"In rage deaf as the sea, hasty as fire.",KING RICHARD II
21,1.1.20,Many years of happy days befal,HENRY BOLINGBROKE
22,1.1.21,"My gracious sovereign, my most loving liege!",HENRY BOLINGBROKE
23,1.1.22,Each day still better other's happiness;,THOMAS MOWBRAY
24,1.1.23,"Until the heavens, envying earth's good hap,",THOMAS MOWBRAY
25,1.1.24,Add an immortal title to your crown!,THOMAS MOWBRAY
26,1.1.25,"We thank you both: yet one but flatters us,",KING RICHARD II
27,1.1.26,As well appeareth by the cause you come;,KING RICHARD II
28,1.1.27,Namely to appeal each other of high treason.,KING RICHARD II
29,1.1.28,"Cousin of Hereford, what dost thou object",KING RICHARD II
30,1.1.29,"Against the Duke of Norfolk, Thomas Mowbray?",KING RICHARD II
31,1.1.30,"First, heaven be the record to my speech!",HENRY BOLINGBROKE
32,1.1.31,"In the devotion of a subject's love,",HENRY BOLINGBROKE
33,1.1.32,"Tendering the precious safety of my prince,",HENRY BOLINGBROKE
34,1.1.33,"And free from other misbegotten hate,",HENRY BOLINGBROKE
35,1.1.34,Come I appellant to this princely presence.,HENRY BOLINGBROKE
36,1.1.35,"Now, Thomas Mowbray, do I turn to thee,",HENRY BOLINGBROKE
37,1.1.36,And mark my greeting well; for what I speak,HENRY BOLINGBROKE
38,1.1.37,"My body shall make good upon this earth,",HENRY BOLINGBROKE
39,1.1.38,Or my divine soul answer it in heaven.,HENRY BOLINGBROKE
40,1.1.39,"Thou art a traitor and a miscreant,",HENRY BOLINGBROKE
41,1.1.40,"Too good to be so and too bad to live,",HENRY BOLINGBROKE
42,1.1.41,"Since the more fair and crystal is the sky,",HENRY BOLINGBROKE
43,1.1.42,The uglier seem the clouds that in it fly.,HENRY BOLINGBROKE
44,1.1.43,"Once more, the more to aggravate the note,",HENRY BOLINGBROKE
45,1.1.44,With a foul traitor's name stuff I thy throat;,HENRY BOLINGBROKE
46,1.1.45,"And wish, so please my sovereign, ere I move,",HENRY BOLINGBROKE
47,1.1.46,What my tongue speaks my right drawn sword may prove.,HENRY BOLINGBROKE
48,1.1.47,Let not my cold words here accuse my zeal:,THOMAS MOWBRAY
49,1.1.48,"'Tis not the trial of a woman's war,",THOMAS MOWBRAY
50,1.1.49,"The bitter clamour of two eager tongues,",THOMAS MOWBRAY
51,1.1.50,Can arbitrate this cause betwixt us twain;,THOMAS MOWBRAY
52,1.1.51,The blood is hot that must be cool'd for this:,THOMAS MOWBRAY
53,1.1.52,Yet can I not of such tame patience boast,THOMAS MOWBRAY
54,1.1.53,As to be hush'd and nought at all to say:,THOMAS MOWBRAY
55,1.1.54,"First, the fair reverence of your highness curbs me",THOMAS MOWBRAY
56,1.1.55,From giving reins and spurs to my free speech;,THOMAS MOWBRAY
57,1.1.56,Which else would post until it had return'd,THOMAS MOWBRAY
58,1.1.57,These terms of treason doubled down his throat.,THOMAS MOWBRAY
59,1.1.58,"Setting aside his high blood's royalty,",THOMAS MOWBRAY
60,1.1.59,"And let him be no kinsman to my liege,",THOMAS MOWBRAY
61,1.1.60,"I do defy him, and I spit at him;",THOMAS MOWBRAY
62,1.1.61,Call him a slanderous coward and a villain:,THOMAS MOWBRAY
63,1.1.62,"Which to maintain I would allow him odds,",THOMAS MOWBRAY
64,1.1.63,"And meet him, were I tied to run afoot",THOMAS MOWBRAY
65,1.1.64,"Even to the frozen ridges of the Alps,",THOMAS MOWBRAY
66,1.1.65,"Or any other ground inhabitable,",THOMAS MOWBRAY
67,1.1.66,Where ever Englishman durst set his foot.,THOMAS MOWBRAY
68,1.1.67,"Mean time let this defend my loyalty,",THOMAS MOWBRAY
69,1.1.68,"By all my hopes, most falsely doth he lie.",THOMAS MOWBRAY
70,1.1.69,"Pale trembling coward, there I throw my gage,",HENRY BOLINGBROKE
71,1.1.70,"Disclaiming here the kindred of the king,",HENRY BOLINGBROKE
72,1.1.71,"And lay aside my high blood's royalty,",HENRY BOLINGBROKE
73,1.1.72,"Which fear, not reverence, makes thee to except.",HENRY BOLINGBROKE
74,1.1.73,If guilty dread have left thee so much strength,HENRY BOLINGBROKE
75,1.1.74,"As to take up mine honour's pawn, then stoop:",HENRY BOLINGBROKE
76,1.1.75,"By that and all the rites of knighthood else,",HENRY BOLINGBROKE
77,1.1.76,"Will I make good against thee, arm to arm,",HENRY BOLINGBROKE
78,1.1.77,"What I have spoke, or thou canst worse devise.",HENRY BOLINGBROKE
79,1.1.78,I take it up; and by that sword I swear,THOMAS MOWBRAY
80,1.1.79,"Which gently laid my knighthood on my shoulder,",THOMAS MOWBRAY
81,1.1.80,"I'll answer thee in any fair degree,",THOMAS MOWBRAY
82,1.1.81,Or chivalrous design of knightly trial:,THOMAS MOWBRAY
83,1.1.82,"And when I mount, alive may I not light,",THOMAS MOWBRAY
84,1.1.83,If I be traitor or unjustly fight!,THOMAS MOWBRAY
85,1.1.84,What doth our cousin lay to Mowbray's charge?,KING RICHARD II
86,1.1.85,It must be great that can inherit us,KING RICHARD II
87,1.1.86,So much as of a thought of ill in him.,KING RICHARD II
88,1.1.87,"Look, what I speak, my life shall prove it true;",HENRY BOLINGBROKE
89,1.1.88,That Mowbray hath received eight thousand nobles,HENRY BOLINGBROKE
90,1.1.89,"In name of lendings for your highness' soldiers,",HENRY BOLINGBROKE
91,1.1.90,"The which he hath detain'd for lewd employments,",HENRY BOLINGBROKE
92,1.1.91,Like a false traitor and injurious villain.,HENRY BOLINGBROKE
93,1.1.92,"Besides I say and will in battle prove,",HENRY BOLINGBROKE
94,1.1.93,Or here or elsewhere to the furthest verge,HENRY BOLINGBROKE
95,1.1.94,"That ever was survey'd by English eye,",HENRY BOLINGBROKE
96,1.1.95,That all the treasons for these eighteen years,HENRY BOLINGBROKE
97,1.1.96,Complotted and contrived in this land,HENRY BOLINGBROKE
98,1.1.97,Fetch from false Mowbray their first head and spring.,HENRY BOLINGBROKE
99,1.1.98,Further I say and further will maintain,HENRY BOLINGBROKE
100,1.1.99,"Upon his bad life to make all this good,",HENRY BOLINGBROKE
101,1.1.100,"That he did plot the Duke of Gloucester's death,",HENRY BOLINGBROKE
102,1.1.101,"Suggest his soon-believing adversaries,",HENRY BOLINGBROKE
103,1.1.102,"And consequently, like a traitor coward,",HENRY BOLINGBROKE
104,1.1.103,Sluiced out his innocent soul through streams of blood:,HENRY BOLINGBROKE
105,1.1.104,"Which blood, like sacrificing Abel's, cries,",HENRY BOLINGBROKE
106,1.1.105,"Even from the tongueless caverns of the earth,",HENRY BOLINGBROKE
