,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/richardiii/,Richard III,
2,1.1.1,Now is the winter of our discontent,GLOUCESTER
3,1.1.2,Made glorious summer by this sun of York;,GLOUCESTER
4,1.1.3,And all the clouds that lour'd upon our house,GLOUCESTER
5,1.1.4,In the deep bosom of the ocean buried.,GLOUCESTER
6,1.1.5,Now are our brows bound with victorious wreaths;,GLOUCESTER
7,1.1.6,Our bruised arms hung up for monuments;,GLOUCESTER
8,1.1.7,"Our stern alarums changed to merry meetings,",GLOUCESTER
9,1.1.8,Our dreadful marches to delightful measures.,GLOUCESTER
10,1.1.9,Grim-visaged war hath smooth'd his wrinkled front;,GLOUCESTER
11,1.1.10,"And now, instead of mounting barded steeds",GLOUCESTER
12,1.1.11,"To fright the souls of fearful adversaries,",GLOUCESTER
13,1.1.12,He capers nimbly in a lady's chamber,GLOUCESTER
14,1.1.13,To the lascivious pleasing of a lute.,GLOUCESTER
15,1.1.14,"But I, that am not shaped for sportive tricks,",GLOUCESTER
16,1.1.15,Nor made to court an amorous looking-glass;,GLOUCESTER
17,1.1.16,"I, that am rudely stamp'd, and want love's majesty",GLOUCESTER
18,1.1.17,To strut before a wanton ambling nymph;,GLOUCESTER
19,1.1.18,"I, that am curtail'd of this fair proportion,",GLOUCESTER
20,1.1.19,"Cheated of feature by dissembling nature,",GLOUCESTER
21,1.1.20,"Deformed, unfinish'd, sent before my time",GLOUCESTER
22,1.1.21,"Into this breathing world, scarce half made up,",GLOUCESTER
23,1.1.22,And that so lamely and unfashionable,GLOUCESTER
24,1.1.23,That dogs bark at me as I halt by them;,GLOUCESTER
25,1.1.24,"Why, I, in this weak piping time of peace,",GLOUCESTER
26,1.1.25,"Have no delight to pass away the time,",GLOUCESTER
27,1.1.26,Unless to spy my shadow in the sun,GLOUCESTER
28,1.1.27,And descant on mine own deformity:,GLOUCESTER
29,1.1.28,"And therefore, since I cannot prove a lover,",GLOUCESTER
30,1.1.29,"To entertain these fair well-spoken days,",GLOUCESTER
31,1.1.30,I am determined to prove a villain,GLOUCESTER
32,1.1.31,And hate the idle pleasures of these days.,GLOUCESTER
33,1.1.32,"Plots have I laid, inductions dangerous,",GLOUCESTER
34,1.1.33,"By drunken prophecies, libels and dreams,",GLOUCESTER
35,1.1.34,To set my brother Clarence and the king,GLOUCESTER
36,1.1.35,In deadly hate the one against the other:,GLOUCESTER
37,1.1.36,And if King Edward be as true and just,GLOUCESTER
38,1.1.37,"As I am subtle, false and treacherous,",GLOUCESTER
39,1.1.38,"This day should Clarence closely be mew'd up,",GLOUCESTER
40,1.1.39,"About a prophecy, which says that 'G'",GLOUCESTER
41,1.1.40,Of Edward's heirs the murderer shall be.,GLOUCESTER
42,1.1.41,"Dive, thoughts, down to my soul: here",GLOUCESTER
43,1.1.42,Clarence comes.,GLOUCESTER
44,1.1.43,"Brother, good day; what means this armed guard",GLOUCESTER
45,1.1.44,That waits upon your grace?,GLOUCESTER
46,1.1.45,His majesty,CLARENCE
47,1.1.46,"Tendering my person's safety, hath appointed",CLARENCE
48,1.1.47,This conduct to convey me to the Tower.,CLARENCE
49,1.1.48,Upon what cause?,GLOUCESTER
50,1.1.49,                  Because my name is George.,CLARENCE
51,1.1.50,"Alack, my lord, that fault is none of yours;",GLOUCESTER
52,1.1.51,"He should, for that, commit your godfathers:",GLOUCESTER
53,1.1.52,"O, belike his majesty hath some intent",GLOUCESTER
54,1.1.53,That you shall be new-christen'd in the Tower.,GLOUCESTER
55,1.1.54,"But what's the matter, Clarence?  may I know?",GLOUCESTER
56,1.1.55,"Yea, Richard, when I know; for I protest",CLARENCE
57,1.1.56,"As yet I do not: but, as I can learn,",CLARENCE
58,1.1.57,He hearkens after prophecies and dreams;,CLARENCE
59,1.1.58,And from the cross-row plucks the letter G.,CLARENCE
60,1.1.59,And says a wizard told him that by G,CLARENCE
61,1.1.60,His issue disinherited should be;,CLARENCE
62,1.1.61,"And, for my name of George begins with G,",CLARENCE
63,1.1.62,It follows in his thought that I am he.,CLARENCE
64,1.1.63,"These, as I learn, and such like toys as these",CLARENCE
65,1.1.64,Have moved his highness to commit me now.,CLARENCE
66,1.1.65,"Why, this it is, when men are ruled by women:",GLOUCESTER
67,1.1.66,'Tis not the king that sends you to the Tower:,GLOUCESTER
68,1.1.67,"My Lady Grey his wife, Clarence, 'tis she",GLOUCESTER
69,1.1.68,That tempers him to this extremity.,GLOUCESTER
70,1.1.69,"Was it not she and that good man of worship,",GLOUCESTER
71,1.1.70,"Anthony Woodville, her brother there,",GLOUCESTER
72,1.1.71,"That made him send Lord Hastings to the Tower,",GLOUCESTER
73,1.1.72,From whence this present day he is deliver'd?,GLOUCESTER
74,1.1.73,"We are not safe, Clarence; we are not safe.",GLOUCESTER
75,1.1.74,"By heaven, I think there's no man is secure",CLARENCE
76,1.1.75,But the queen's kindred and night-walking heralds,CLARENCE
77,1.1.76,That trudge betwixt the king and Mistress Shore.,CLARENCE
78,1.1.77,Heard ye not what an humble suppliant,CLARENCE
79,1.1.78,Lord hastings was to her for his delivery?,CLARENCE
80,1.1.79,Humbly complaining to her deity,GLOUCESTER
81,1.1.80,Got my lord chamberlain his liberty.,GLOUCESTER
82,1.1.81,"I'll tell you what; I think it is our way,",GLOUCESTER
83,1.1.82,"If we will keep in favour with the king,",GLOUCESTER
84,1.1.83,To be her men and wear her livery:,GLOUCESTER
85,1.1.84,"The jealous o'erworn widow and herself,",GLOUCESTER
86,1.1.85,Since that our brother dubb'd them gentlewomen.,GLOUCESTER
87,1.1.86,Are mighty gossips in this monarchy.,GLOUCESTER
88,1.1.87,I beseech your graces both to pardon me;,BRAKENBURY
89,1.1.88,His majesty hath straitly given in charge,BRAKENBURY
90,1.1.89,"That no man shall have private conference,",BRAKENBURY
91,1.1.90,"Of what degree soever, with his brother.",BRAKENBURY
92,1.1.91,"Even so; an't please your worship, Brakenbury,",GLOUCESTER
93,1.1.92,You may partake of any thing we say:,GLOUCESTER
94,1.1.93,"We speak no treason, man: we say the king",GLOUCESTER
95,1.1.94,"Is wise and virtuous, and his noble queen",GLOUCESTER
96,1.1.95,"Well struck in years, fair, and not jealous;",GLOUCESTER
97,1.1.96,"We say that Shore's wife hath a pretty foot,",GLOUCESTER
98,1.1.97,"A cherry lip, a bonny eye, a passing pleasing tongue;",GLOUCESTER
99,1.1.98,And that the queen's kindred are made gentle-folks:,GLOUCESTER
100,1.1.99,How say you sir? Can you deny all this?,GLOUCESTER
101,1.1.100,"With this, my lord, myself have nought to do.",BRAKENBURY
102,1.1.101,"Naught to do with mistress Shore! I tell thee, fellow,",GLOUCESTER
103,1.1.102,"He that doth naught with her, excepting one,",GLOUCESTER
104,1.1.103,"Were best he do it secretly, alone.",GLOUCESTER
105,1.1.104,"What one, my lord?",BRAKENBURY
