,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/romeo_juliet/,Romeo and Juliet,
2,1.0.1,"Two households, both alike in dignity,",
3,1.0.2,"In fair Verona, where we lay our scene,",
4,1.0.3,"From ancient grudge break to new mutiny,",
5,1.0.4,Where civil blood makes civil hands unclean.,
6,1.0.5,From forth the fatal loins of these two foes,
7,1.0.6,A pair of star-cross'd lovers take their life;,
8,1.0.7,Whose misadventured piteous overthrows,
9,1.0.8,Do with their death bury their parents' strife.,
10,1.0.9,"The fearful passage of their death-mark'd love,",
11,1.0.10,"And the continuance of their parents' rage,",
12,1.0.11,"Which, but their children's end, nought could remove,",
13,1.0.12,Is now the two hours' traffic of our stage;,
14,1.0.13,"The which if you with patient ears attend,",
15,1.0.14,"What here shall miss, our toil shall strive to mend.",
16,1.1.1,"Gregory, o' my word, we'll not carry coals.",SAMPSON
17,1.1.2,"No, for then we should be colliers.",GREGORY
18,1.1.3,"I mean, an we be in choler, we'll draw.",SAMPSON
19,1.1.4,"Ay, while you live, draw your neck out o' the collar.",GREGORY
20,1.1.5,"I strike quickly, being moved.",SAMPSON
21,1.1.6,But thou art not quickly moved to strike.,GREGORY
22,1.1.7,A dog of the house of Montague moves me.,SAMPSON
23,1.1.8,To move is to stir; and to be valiant is to stand:,GREGORY
24,1.1.9,"therefore, if thou art moved, thou runn'st away.",GREGORY
25,1.1.10,A dog of that house shall move me to stand: I will,SAMPSON
26,1.1.11,take the wall of any man or maid of Montague's.,SAMPSON
27,1.1.12,That shows thee a weak slave; for the weakest goes,GREGORY
28,1.1.13,to the wall.,GREGORY
29,1.1.14,"True; and therefore women, being the weaker vessels,",SAMPSON
30,1.1.15,are ever thrust to the wall: therefore I will push,SAMPSON
31,1.1.16,"Montague's men from the wall, and thrust his maids",SAMPSON
32,1.1.17,to the wall.,SAMPSON
33,1.1.18,The quarrel is between our masters and us their men.,GREGORY
34,1.1.19,"'Tis all one, I will show myself a tyrant: when I",SAMPSON
35,1.1.20,"have fought with the men, I will be cruel with the",SAMPSON
36,1.1.21,"maids, and cut off their heads.",SAMPSON
37,1.1.22,The heads of the maids?,GREGORY
38,1.1.23,"Ay, the heads of the maids, or their maidenheads;",SAMPSON
39,1.1.24,take it in what sense thou wilt.,SAMPSON
40,1.1.25,They must take it in sense that feel it.,GREGORY
41,1.1.26,Me they shall feel while I am able to stand: and,SAMPSON
42,1.1.27,'tis known I am a pretty piece of flesh.,SAMPSON
43,1.1.28,"'Tis well thou art not fish; if thou hadst, thou",GREGORY
44,1.1.29,hadst been poor John. Draw thy tool! here comes,GREGORY
45,1.1.30,two of the house of the Montagues.,GREGORY
46,1.1.31,"My naked weapon is out: quarrel, I will back thee.",SAMPSON
47,1.1.32,How! turn thy back and run?,GREGORY
48,1.1.33,Fear me not.,SAMPSON
49,1.1.34,"No, marry; I fear thee!",GREGORY
50,1.1.35,Let us take the law of our sides; let them begin.,SAMPSON
51,1.1.36,"I will frown as I pass by, and let them take it as",GREGORY
52,1.1.37,they list.,GREGORY
53,1.1.38,"Nay, as they dare. I will bite my thumb at them;",SAMPSON
54,1.1.39,"which is a disgrace to them, if they bear it.",SAMPSON
55,1.1.40,"Do you bite your thumb at us, sir?",ABRAHAM
56,1.1.41,"I do bite my thumb, sir.",SAMPSON
57,1.1.42,"Do you bite your thumb at us, sir?",ABRAHAM
58,1.1.43,"[Aside to GREGORY]  Is the law of our side, if I say",SAMPSON
59,1.1.44,ay?,SAMPSON
60,1.1.45,No.,GREGORY
61,1.1.46,"No, sir, I do not bite my thumb at you, sir, but I",SAMPSON
62,1.1.47,"bite my thumb, sir.",SAMPSON
63,1.1.48,"Do you quarrel, sir?",GREGORY
64,1.1.49,"Quarrel sir! no, sir.",ABRAHAM
65,1.1.50,"If you do, sir, I am for you: I serve as good a man as you.",SAMPSON
66,1.1.51,No better.,ABRAHAM
67,1.1.52,"Well, sir.",SAMPSON
68,1.1.53,Say 'better:' here comes one of my master's kinsmen.,GREGORY
69,1.1.54,"Yes, better, sir.",SAMPSON
70,1.1.55,You lie.,ABRAHAM
71,1.1.56,"Draw, if you be men. Gregory, remember thy swashing blow.",SAMPSON
72,1.1.57,"Part, fools!",BENVOLIO
73,1.1.58,Put up your swords; you know not what you do.,BENVOLIO
74,1.1.59,"What, art thou drawn among these heartless hinds?",TYBALT
75,1.1.60,"Turn thee, Benvolio, look upon thy death.",TYBALT
76,1.1.61,"I do but keep the peace: put up thy sword,",BENVOLIO
77,1.1.62,Or manage it to part these men with me.,BENVOLIO
78,1.1.63,"What, drawn, and talk of peace! I hate the word,",TYBALT
79,1.1.64,"As I hate hell, all Montagues, and thee:",TYBALT
80,1.1.65,"Have at thee, coward!",TYBALT
81,1.1.66,"Clubs, bills, and partisans! strike! beat them down!",First Citizen
82,1.1.67,Down with the Capulets! down with the Montagues!,First Citizen
83,1.1.68,"What noise is this? Give me my long sword, ho!",CAPULET
84,1.1.69,"A crutch, a crutch! why call you for a sword?",LADY CAPULET
85,1.1.70,"My sword, I say! Old Montague is come,",CAPULET
86,1.1.71,And flourishes his blade in spite of me.,CAPULET
87,1.1.72,"Thou villain Capulet,--Hold me not, let me go.",MONTAGUE
88,1.1.73,Thou shalt not stir a foot to seek a foe.,LADY MONTAGUE
89,1.1.74,"Rebellious subjects, enemies to peace,",PRINCE
90,1.1.75,"Profaners of this neighbour-stained steel,--",PRINCE
91,1.1.76,"Will they not hear? What, ho! you men, you beasts,",PRINCE
92,1.1.77,That quench the fire of your pernicious rage,PRINCE
93,1.1.78,"With purple fountains issuing from your veins,",PRINCE
94,1.1.79,"On pain of torture, from those bloody hands",PRINCE
95,1.1.80,"Throw your mistemper'd weapons to the ground,",PRINCE
96,1.1.81,And hear the sentence of your moved prince.,PRINCE
97,1.1.82,"Three civil brawls, bred of an airy word,",PRINCE
98,1.1.83,"By thee, old Capulet, and Montague,",PRINCE
99,1.1.84,"Have thrice disturb'd the quiet of our streets,",PRINCE
100,1.1.85,And made Verona's ancient citizens,PRINCE
101,1.1.86,"Cast by their grave beseeming ornaments,",PRINCE
102,1.1.87,"To wield old partisans, in hands as old,",PRINCE
103,1.1.88,"Canker'd with peace, to part your canker'd hate:",PRINCE
