,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/taming_shrew/,Taming of the Shrew,
2,0.1.1,"I'll pheeze you, in faith.",SLY
3,0.1.2,"A pair of stocks, you rogue!",Hostess
4,0.1.3,Ye are a baggage: the Slys are no rogues; look in,SLY
5,0.1.4,the chronicles; we came in with Richard Conqueror.,SLY
6,0.1.5,Therefore paucas pallabris; let the world slide: sessa!,SLY
7,0.1.6,You will not pay for the glasses you have burst?,Hostess
8,0.1.7,"No, not a denier. Go by, Jeronimy: go to thy cold",SLY
9,0.1.8,"bed, and warm thee.",SLY
10,0.1.9,I know my remedy; I must go fetch the,Hostess
11,0.1.10,third--borough.,Hostess
12,0.1.11,"Third, or fourth, or fifth borough, I'll answer him",SLY
13,0.1.12,"by law: I'll not budge an inch, boy: let him come,",SLY
14,0.1.13,and kindly.,SLY
15,0.1.14,"Huntsman, I charge thee, tender well my hounds:",Lord
16,0.1.15,"Brach Merriman, the poor cur is emboss'd;",Lord
17,0.1.16,And couple Clowder with the deep--mouth'd brach.,Lord
18,0.1.17,"Saw'st thou not, boy, how Silver made it good",Lord
19,0.1.18,"At the hedge-corner, in the coldest fault?",Lord
20,0.1.19,I would not lose the dog for twenty pound.,Lord
21,0.1.20,"Why, Belman is as good as he, my lord;",First Huntsman
22,0.1.21,He cried upon it at the merest loss,First Huntsman
23,0.1.22,And twice to-day pick'd out the dullest scent:,First Huntsman
24,0.1.23,"Trust me, I take him for the better dog.",First Huntsman
25,0.1.24,"Thou art a fool: if Echo were as fleet,",Lord
26,0.1.25,I would esteem him worth a dozen such.,Lord
27,0.1.26,But sup them well and look unto them all:,Lord
28,0.1.27,To-morrow I intend to hunt again.,Lord
29,0.1.28,"I will, my lord.",First Huntsman
30,0.1.29,"What's here? one dead, or drunk? See, doth he breathe?",Lord
31,0.1.30,"He breathes, my lord. Were he not warm'd with ale,",Second Huntsman
32,0.1.31,This were a bed but cold to sleep so soundly.,Second Huntsman
33,0.1.32,O monstrous beast! how like a swine he lies!,Lord
34,0.1.33,"Grim death, how foul and loathsome is thine image!",Lord
35,0.1.34,"Sirs, I will practise on this drunken man.",Lord
36,0.1.35,"What think you, if he were convey'd to bed,",Lord
37,0.1.36,"Wrapp'd in sweet clothes, rings put upon his fingers,",Lord
38,0.1.37,"A most delicious banquet by his bed,",Lord
39,0.1.38,"And brave attendants near him when he wakes,",Lord
40,0.1.39,Would not the beggar then forget himself?,Lord
41,0.1.40,"Believe me, lord, I think he cannot choose.",First Huntsman
42,0.1.41,It would seem strange unto him when he waked.,Second Huntsman
43,0.1.42,Even as a flattering dream or worthless fancy.,Lord
44,0.1.43,Then take him up and manage well the jest:,Lord
45,0.1.44,Carry him gently to my fairest chamber,Lord
