,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/tempest/,The Tempest,
2,1.1.1,of thunder and lightning heard.,
3,1.1.2,Boatswain!,Master
4,1.1.3,"Here, master: what cheer?",Boatswain
5,1.1.4,"Good, speak to the mariners: fall to't, yarely,",Master
6,1.1.5,"or we run ourselves aground: bestir, bestir.",Master
7,1.1.6,"Heigh, my hearts! cheerly, cheerly, my hearts!",Boatswain
8,1.1.7,"yare, yare! Take in the topsail. Tend to the",Boatswain
9,1.1.8,"master's whistle. Blow, till thou burst thy wind,",Boatswain
10,1.1.9,if room enough!,Boatswain
11,1.1.10,"Good boatswain, have care. Where's the master?",ALONSO
12,1.1.11,Play the men.,ALONSO
13,1.1.12,"I pray now, keep below.",Boatswain
14,1.1.13,"Where is the master, boatswain?",ANTONIO
15,1.1.14,Do you not hear him? You mar our labour: keep your,Boatswain
16,1.1.15,cabins: you do assist the storm.,Boatswain
17,1.1.16,"Nay, good, be patient.",GONZALO
18,1.1.17,When the sea is. Hence! What cares these roarers,Boatswain
19,1.1.18,for the name of king? To cabin: silence! trouble us not.,Boatswain
20,1.1.19,"Good, yet remember whom thou hast aboard.",GONZALO
21,1.1.20,None that I more love than myself. You are a,Boatswain
22,1.1.21,counsellor; if you can command these elements to,Boatswain
23,1.1.22,"silence, and work the peace of the present, we will",Boatswain
24,1.1.23,not hand a rope more; use your authority: if you,Boatswain
25,1.1.24,"cannot, give thanks you have lived so long, and make",Boatswain
26,1.1.25,yourself ready in your cabin for the mischance of,Boatswain
27,1.1.26,"the hour, if it so hap. Cheerly, good hearts! Out",Boatswain
28,1.1.27,"of our way, I say.",Boatswain
29,1.1.28,I have great comfort from this fellow: methinks he,GONZALO
30,1.1.29,hath no drowning mark upon him; his complexion is,GONZALO
31,1.1.30,"perfect gallows. Stand fast, good Fate, to his",GONZALO
32,1.1.31,"hanging: make the rope of his destiny our cable,",GONZALO
33,1.1.32,for our own doth little advantage. If he be not,GONZALO
34,1.1.33,"born to be hanged, our case is miserable.",GONZALO
35,1.1.34,"Down with the topmast! yare! lower, lower! Bring",Boatswain
36,1.1.35,her to try with main-course.,Boatswain
37,1.1.36,A plague upon this howling! they are louder than,Boatswain
38,1.1.37,the weather or our office.,Boatswain
39,1.1.38,Yet again! what do you here? Shall we give o'er,Boatswain
40,1.1.39,and drown? Have you a mind to sink?,Boatswain
41,1.1.40,"A pox o' your throat, you bawling, blasphemous,",SEBASTIAN
42,1.1.41,incharitable dog!,SEBASTIAN
43,1.1.42,Work you then.,Boatswain
44,1.1.43,"Hang, cur! hang, you whoreson, insolent noisemaker!",ANTONIO
45,1.1.44,We are less afraid to be drowned than thou art.,ANTONIO
46,1.1.45,I'll warrant him for drowning; though the ship were,GONZALO
47,1.1.46,no stronger than a nutshell and as leaky as an,GONZALO
48,1.1.47,unstanched wench.,GONZALO
49,1.1.48,"Lay her a-hold, a-hold! set her two courses off to",Boatswain
50,1.1.49,sea again; lay her off.,Boatswain
51,1.1.50,"All lost! to prayers, to prayers! all lost!",Mariners
52,1.1.51,"What, must our mouths be cold?",Boatswain
53,1.1.52,"The king and prince at prayers! let's assist them,",GONZALO
54,1.1.53,For our case is as theirs.,GONZALO
55,1.1.54,I'm out of patience.,SEBASTIAN
56,1.1.55,We are merely cheated of our lives by drunkards:,ANTONIO
57,1.1.56,This wide-chapp'd rascal--would thou mightst lie drowning,ANTONIO
58,1.1.57,The washing of ten tides!,ANTONIO
59,1.1.58,"He'll be hang'd yet,",GONZALO
60,1.1.59,Though every drop of water swear against it,GONZALO
61,1.1.60,And gape at widest to glut him.,GONZALO
62,1.1.61,Let's all sink with the king.,ANTONIO
63,1.1.62,Let's take leave of him.,SEBASTIAN
64,1.1.63,Now would I give a thousand furlongs of sea for an,GONZALO
65,1.1.64,"acre of barren ground, long heath, brown furze, any",GONZALO
66,1.1.65,thing. The wills above be done! but I would fain,GONZALO
67,1.1.66,die a dry death.,GONZALO
68,1.2.1,"If by your art, my dearest father, you have",MIRANDA
69,1.2.2,"Put the wild waters in this roar, allay them.",MIRANDA
70,1.2.3,"The sky, it seems, would pour down stinking pitch,",MIRANDA
71,1.2.4,"But that the sea, mounting to the welkin's cheek,",MIRANDA
72,1.2.5,"Dashes the fire out. O, I have suffered",MIRANDA
73,1.2.6,"With those that I saw suffer: a brave vessel,",MIRANDA
74,1.2.7,"Who had, no doubt, some noble creature in her,",MIRANDA
75,1.2.8,"Dash'd all to pieces. O, the cry did knock",MIRANDA
76,1.2.9,"Against my very heart. Poor souls, they perish'd.",MIRANDA
77,1.2.10,"Had I been any god of power, I would",MIRANDA
78,1.2.11,Have sunk the sea within the earth or ere,MIRANDA
79,1.2.12,It should the good ship so have swallow'd and,MIRANDA
80,1.2.13,The fraughting souls within her.,MIRANDA
81,1.2.14,Be collected:,PROSPERO
82,1.2.15,No more amazement: tell your piteous heart,PROSPERO
83,1.2.16,There's no harm done.,PROSPERO
84,1.2.17,"O, woe the day!",MIRANDA
85,1.2.18,No harm.,PROSPERO
86,1.2.19,"I have done nothing but in care of thee,",PROSPERO
87,1.2.20,"Of thee, my dear one, thee, my daughter, who",PROSPERO
88,1.2.21,"Art ignorant of what thou art, nought knowing",PROSPERO
89,1.2.22,"Of whence I am, nor that I am more better",PROSPERO
90,1.2.23,"Than Prospero, master of a full poor cell,",PROSPERO
91,1.2.24,And thy no greater father.,PROSPERO
92,1.2.25,More to know,MIRANDA
93,1.2.26,Did never meddle with my thoughts.,MIRANDA
94,1.2.27,'Tis time,PROSPERO
95,1.2.28,"I should inform thee farther. Lend thy hand,",PROSPERO
96,1.2.29,And pluck my magic garment from me. So:,PROSPERO
97,1.2.30,"Lie there, my art. Wipe thou thine eyes; have comfort.",PROSPERO
98,1.2.31,"The direful spectacle of the wreck, which touch'd",PROSPERO
99,1.2.32,"The very virtue of compassion in thee,",PROSPERO
100,1.2.33,I have with such provision in mine art,PROSPERO
101,1.2.34,So safely ordered that there is no soul--,PROSPERO
102,1.2.35,"No, not so much perdition as an hair",PROSPERO
103,1.2.36,Betid to any creature in the vessel,PROSPERO
104,1.2.37,"Which thou heard'st cry, which thou saw'st sink. Sit down;",PROSPERO
105,1.2.38,For thou must now know farther.,PROSPERO
106,1.2.39,You have often,MIRANDA
107,1.2.40,"Begun to tell me what I am, but stopp'd",MIRANDA
108,1.2.41,"And left me to a bootless inquisition,",MIRANDA
109,1.2.42,Concluding 'Stay: not yet.',MIRANDA
110,1.2.43,The hour's now come;,PROSPERO
111,1.2.44,The very minute bids thee ope thine ear;,PROSPERO
112,1.2.45,Obey and be attentive. Canst thou remember,PROSPERO
113,1.2.46,A time before we came unto this cell?,PROSPERO
114,1.2.47,"I do not think thou canst, for then thou wast not",PROSPERO
115,1.2.48,Out three years old.,PROSPERO
116,1.2.49,"Certainly, sir, I can.",MIRANDA
117,1.2.50,By what? by any other house or person?,PROSPERO
