,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/titus/,Titus Andronicus,
2,1.1.1,"Noble patricians, patrons of my right,",SATURNINUS
3,1.1.2,"Defend the justice of my cause with arms,",SATURNINUS
4,1.1.3,"And, countrymen, my loving followers,",SATURNINUS
5,1.1.4,Plead my successive title with your swords:,SATURNINUS
6,1.1.5,"I am his first-born son, that was the last",SATURNINUS
7,1.1.6,That wore the imperial diadem of Rome;,SATURNINUS
8,1.1.7,"Then let my father's honours live in me,",SATURNINUS
9,1.1.8,Nor wrong mine age with this indignity.,SATURNINUS
10,1.1.9,"Romans, friends, followers, favorers of my right,",BASSIANUS
11,1.1.10,"If ever Bassianus, Caesar's son,",BASSIANUS
12,1.1.11,"Were gracious in the eyes of royal Rome,",BASSIANUS
13,1.1.12,Keep then this passage to the Capitol,BASSIANUS
14,1.1.13,And suffer not dishonour to approach,BASSIANUS
15,1.1.14,"The imperial seat, to virtue consecrate,",BASSIANUS
16,1.1.15,"To justice, continence and nobility;",BASSIANUS
17,1.1.16,"But let desert in pure election shine,",BASSIANUS
18,1.1.17,"And, Romans, fight for freedom in your choice.",BASSIANUS
19,1.1.18,"Princes, that strive by factions and by friends",MARCUS ANDRONICUS
20,1.1.19,"Ambitiously for rule and empery,",MARCUS ANDRONICUS
21,1.1.20,"Know that the people of Rome, for whom we stand",MARCUS ANDRONICUS
22,1.1.21,"A special party, have, by common voice,",MARCUS ANDRONICUS
23,1.1.22,"In election for the Roman empery,",MARCUS ANDRONICUS
24,1.1.23,"Chosen Andronicus, surnamed Pius",MARCUS ANDRONICUS
25,1.1.24,For many good and great deserts to Rome:,MARCUS ANDRONICUS
26,1.1.25,"A nobler man, a braver warrior,",MARCUS ANDRONICUS
27,1.1.26,Lives not this day within the city walls:,MARCUS ANDRONICUS
28,1.1.27,He by the senate is accit'd home,MARCUS ANDRONICUS
29,1.1.28,From weary wars against the barbarous Goths;,MARCUS ANDRONICUS
30,1.1.29,"That, with his sons, a terror to our foes,",MARCUS ANDRONICUS
31,1.1.30,"Hath yoked a nation strong, train'd up in arms.",MARCUS ANDRONICUS
32,1.1.31,Ten years are spent since first he undertook,MARCUS ANDRONICUS
33,1.1.32,This cause of Rome and chastised with arms,MARCUS ANDRONICUS
34,1.1.33,Our enemies' pride: five times he hath return'd,MARCUS ANDRONICUS
35,1.1.34,"Bleeding to Rome, bearing his valiant sons",MARCUS ANDRONICUS
36,1.1.35,In coffins from the field;,MARCUS ANDRONICUS
37,1.1.36,"And now at last, laden with horror's spoils,",MARCUS ANDRONICUS
38,1.1.37,"Returns the good Andronicus to Rome,",MARCUS ANDRONICUS
39,1.1.38,"Renowned Titus, flourishing in arms.",MARCUS ANDRONICUS
40,1.1.39,"Let us entreat, by honour of his name,",MARCUS ANDRONICUS
41,1.1.40,Whom worthily you would have now succeed.,MARCUS ANDRONICUS
42,1.1.41,"And in the Capitol and senate's right,",MARCUS ANDRONICUS
43,1.1.42,"Whom you pretend to honour and adore,",MARCUS ANDRONICUS
44,1.1.43,That you withdraw you and abate your strength;,MARCUS ANDRONICUS
45,1.1.44,"Dismiss your followers and, as suitors should,",MARCUS ANDRONICUS
46,1.1.45,Plead your deserts in peace and humbleness.,MARCUS ANDRONICUS
47,1.1.46,How fair the tribune speaks to calm my thoughts!,SATURNINUS
48,1.1.47,"Marcus Andronicus, so I do ally",BASSIANUS
49,1.1.48,"In thy uprightness and integrity,",BASSIANUS
50,1.1.49,"And so I love and honour thee and thine,",BASSIANUS
51,1.1.50,"Thy noble brother Titus and his sons,",BASSIANUS
52,1.1.51,"And her to whom my thoughts are humbled all,",BASSIANUS
53,1.1.52,"Gracious Lavinia, Rome's rich ornament,",BASSIANUS
54,1.1.53,"That I will here dismiss my loving friends,",BASSIANUS
55,1.1.54,And to my fortunes and the people's favor,BASSIANUS
56,1.1.55,Commit my cause in balance to be weigh'd.,BASSIANUS
57,1.1.56,"Friends, that have been thus forward in my right,",SATURNINUS
58,1.1.57,"I thank you all and here dismiss you all,",SATURNINUS
59,1.1.58,And to the love and favor of my country,SATURNINUS
60,1.1.59,"Commit myself, my person and the cause.",SATURNINUS
61,1.1.60,"Rome, be as just and gracious unto me",SATURNINUS
62,1.1.61,As I am confident and kind to thee.,SATURNINUS
63,1.1.62,"Open the gates, and let me in.",SATURNINUS
64,1.1.63,"Tribunes, and me, a poor competitor.",BASSIANUS
65,1.1.64,"Romans, make way: the good Andronicus.",Captain
66,1.1.65,"Patron of virtue, Rome's best champion,",Captain
67,1.1.66,"Successful in the battles that he fights,",Captain
68,1.1.67,With honour and with fortune is return'd,Captain
69,1.1.68,"From where he circumscribed with his sword,",Captain
70,1.1.69,"And brought to yoke, the enemies of Rome.",Captain
71,1.1.70,"Hail, Rome, victorious in thy mourning weeds!",TITUS ANDRONICUS
72,1.1.71,"Lo, as the bark, that hath discharged her fraught,",TITUS ANDRONICUS
73,1.1.72,Returns with precious jading to the bay,TITUS ANDRONICUS
74,1.1.73,"From whence at first she weigh'd her anchorage,",TITUS ANDRONICUS
75,1.1.74,"Cometh Andronicus, bound with laurel boughs,",TITUS ANDRONICUS
76,1.1.75,"To re-salute his country with his tears,",TITUS ANDRONICUS
77,1.1.76,Tears of true joy for his return to Rome.,TITUS ANDRONICUS
78,1.1.77,"Thou great defender of this Capitol,",TITUS ANDRONICUS
79,1.1.78,Stand gracious to the rites that we intend!,TITUS ANDRONICUS
80,1.1.79,"Romans, of five and twenty valiant sons,",TITUS ANDRONICUS
81,1.1.80,"Half of the number that King Priam had,",TITUS ANDRONICUS
82,1.1.81,"Behold the poor remains, alive and dead!",TITUS ANDRONICUS
83,1.1.82,These that survive let Rome reward with love;,TITUS ANDRONICUS
84,1.1.83,"These that I bring unto their latest home,",TITUS ANDRONICUS
85,1.1.84,With burial amongst their ancestors:,TITUS ANDRONICUS
86,1.1.85,Here Goths have given me leave to sheathe my sword.,TITUS ANDRONICUS
87,1.1.86,"Titus, unkind and careless of thine own,",TITUS ANDRONICUS
88,1.1.87,"Why suffer'st thou thy sons, unburied yet,",TITUS ANDRONICUS
89,1.1.88,To hover on the dreadful shore of Styx?,TITUS ANDRONICUS
90,1.1.89,Make way to lay them by their brethren.,TITUS ANDRONICUS
91,1.1.90,"There greet in silence, as the dead are wont,",TITUS ANDRONICUS
92,1.1.91,"And sleep in peace, slain in your country's wars!",TITUS ANDRONICUS
93,1.1.92,"O sacred receptacle of my joys,",TITUS ANDRONICUS
