,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/troilus_cressida/,Troiles and Cressida,
2,1.0.1,"In Troy, there lies the scene. From isles of Greece",
3,1.0.2,"The princes orgulous, their high blood chafed,",
4,1.0.3,"Have to the port of Athens sent their ships,",
5,1.0.4,Fraught with the ministers and instruments,
6,1.0.5,"Of cruel war: sixty and nine, that wore",
7,1.0.6,"Their crownets regal, from the Athenian bay",
8,1.0.7,Put forth toward Phrygia; and their vow is made,
9,1.0.8,"To ransack Troy, within whose strong immures",
10,1.0.9,"The ravish'd Helen, Menelaus' queen,",
11,1.0.10,With wanton Paris sleeps; and that's the quarrel.,
12,1.0.11,To Tenedos they come;,
13,1.0.12,And the deep-drawing barks do there disgorge,
14,1.0.13,Their warlike fraughtage: now on Dardan plains,
15,1.0.14,The fresh and yet unbruised Greeks do pitch,
16,1.0.15,"Their brave pavilions: Priam's six-gated city,",
17,1.0.16,"Dardan, and Tymbria, Helias, Chetas, Troien,",
18,1.0.17,"And Antenorides, with massy staples",
19,1.0.18,"And corresponsive and fulfilling bolts,",
20,1.0.19,Sperr up the sons of Troy.,
21,1.0.20,"Now expectation, tickling skittish spirits,",
22,1.0.21,"On one and other side, Trojan and Greek,",
23,1.0.22,Sets all on hazard: and hither am I come,
24,1.0.23,"A prologue arm'd, but not in confidence",
25,1.0.24,"Of author's pen or actor's voice, but suited",
26,1.0.25,"In like conditions as our argument,",
27,1.0.26,"To tell you, fair beholders, that our play",
28,1.0.27,"Leaps o'er the vaunt and firstlings of those broils,",
29,1.0.28,"Beginning in the middle, starting thence away",
30,1.0.29,To what may be digested in a play.,
31,1.0.30,Like or find fault; do as your pleasures are:,
32,1.0.31,"Now good or bad, 'tis but the chance of war.",
33,1.1.1,Call here my varlet; I'll unarm again:,TROILUS
34,1.1.2,"Why should I war without the walls of Troy,",TROILUS
35,1.1.3,That find such cruel battle here within?,TROILUS
36,1.1.4,"Each Trojan that is master of his heart,",TROILUS
37,1.1.5,"Let him to field; Troilus, alas! hath none.",TROILUS
38,1.1.6,Will this gear ne'er be mended?,PANDARUS
39,1.1.7,"The Greeks are strong and skilful to their strength,",TROILUS
40,1.1.8,Fierce to their skill and to their fierceness valiant;,TROILUS
41,1.1.9,"But I am weaker than a woman's tear,",TROILUS
42,1.1.10,"Tamer than sleep, fonder than ignorance,",TROILUS
43,1.1.11,Less valiant than the virgin in the night,TROILUS
44,1.1.12,And skilless as unpractised infancy.,TROILUS
45,1.1.13,"Well, I have told you enough of this: for my part,",PANDARUS
46,1.1.14,I'll not meddle nor make no further. He that will,PANDARUS
47,1.1.15,have a cake out of the wheat must needs tarry the grinding.,PANDARUS
48,1.1.16,Have I not tarried?,TROILUS
49,1.1.17,"Ay, the grinding; but you must tarry",PANDARUS
50,1.1.18,the bolting.,PANDARUS
51,1.1.19,Have I not tarried?,TROILUS
52,1.1.20,"Ay, the bolting, but you must tarry the leavening.",PANDARUS
53,1.1.21,Still have I tarried.,TROILUS
54,1.1.22,"Ay, to the leavening; but here's yet in the word",PANDARUS
55,1.1.23,"'hereafter' the kneading, the making of the cake, the",PANDARUS
56,1.1.24,"heating of the oven and the baking; nay, you must",PANDARUS
57,1.1.25,"stay the cooling too, or you may chance to burn your lips.",PANDARUS
58,1.1.26,"Patience herself, what goddess e'er she be,",TROILUS
59,1.1.27,Doth lesser blench at sufferance than I do.,TROILUS
60,1.1.28,At Priam's royal table do I sit;,TROILUS
61,1.1.29,"And when fair Cressid comes into my thoughts,--",TROILUS
62,1.1.30,"So, traitor! 'When she comes!' When is she thence?",TROILUS
63,1.1.31,"Well, she looked yesternight fairer than ever I saw",PANDARUS
