,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/twelfth_night/,Twelfth Night,
2,1.1.1,"If music be the food of love, play on;",DUKE ORSINO
3,1.1.2,"Give me excess of it, that, surfeiting,",DUKE ORSINO
4,1.1.3,"The appetite may sicken, and so die.",DUKE ORSINO
5,1.1.4,That strain again! it had a dying fall:,DUKE ORSINO
6,1.1.5,"O, it came o'er my ear like the sweet sound,",DUKE ORSINO
7,1.1.6,"That breathes upon a bank of violets,",DUKE ORSINO
8,1.1.7,Stealing and giving odour! Enough; no more:,DUKE ORSINO
9,1.1.8,'Tis not so sweet now as it was before.,DUKE ORSINO
10,1.1.9,"O spirit of love! how quick and fresh art thou,",DUKE ORSINO
11,1.1.10,"That, notwithstanding thy capacity",DUKE ORSINO
12,1.1.11,"Receiveth as the sea, nought enters there,",DUKE ORSINO
13,1.1.12,"Of what validity and pitch soe'er,",DUKE ORSINO
14,1.1.13,"But falls into abatement and low price,",DUKE ORSINO
15,1.1.14,Even in a minute: so full of shapes is fancy,DUKE ORSINO
16,1.1.15,That it alone is high fantastical.,DUKE ORSINO
17,1.1.16,"Will you go hunt, my lord?",CURIO
18,1.1.17,"What, Curio?",DUKE ORSINO
19,1.1.18,The hart.,CURIO
20,1.1.19,"        Why, so I do, the noblest that I have:",DUKE ORSINO
21,1.1.20,"O, when mine eyes did see Olivia first,",DUKE ORSINO
22,1.1.21,Methought she purged the air of pestilence!,DUKE ORSINO
23,1.1.22,That instant was I turn'd into a hart;,DUKE ORSINO
24,1.1.23,"And my desires, like fell and cruel hounds,",DUKE ORSINO
25,1.1.24,E'er since pursue me.,DUKE ORSINO
26,1.1.25,How now! what news from her?,DUKE ORSINO
27,1.1.26,"So please my lord, I might not be admitted;",VALENTINE
28,1.1.27,But from her handmaid do return this answer:,VALENTINE
29,1.1.28,"The element itself, till seven years' heat,",VALENTINE
30,1.1.29,Shall not behold her face at ample view;,VALENTINE
31,1.1.30,"But, like a cloistress, she will veiled walk",VALENTINE
32,1.1.31,And water once a day her chamber round,VALENTINE
33,1.1.32,With eye-offending brine: all this to season,VALENTINE
34,1.1.33,"A brother's dead love, which she would keep fresh",VALENTINE
35,1.1.34,And lasting in her sad remembrance.,VALENTINE
36,1.1.35,"O, she that hath a heart of that fine frame",DUKE ORSINO
37,1.1.36,"To pay this debt of love but to a brother,",DUKE ORSINO
38,1.1.37,"How will she love, when the rich golden shaft",DUKE ORSINO
39,1.1.38,Hath kill'd the flock of all affections else,DUKE ORSINO
40,1.1.39,"That live in her; when liver, brain and heart,",DUKE ORSINO
41,1.1.40,"These sovereign thrones, are all supplied, and fill'd",DUKE ORSINO
42,1.1.41,Her sweet perfections with one self king!,DUKE ORSINO
43,1.1.42,Away before me to sweet beds of flowers:,DUKE ORSINO
44,1.1.43,Love-thoughts lie rich when canopied with bowers.,DUKE ORSINO
45,1.2.1,"What country, friends, is this?",VIOLA
46,1.2.2,"This is Illyria, lady.",Captain
47,1.2.3,And what should I do in Illyria?,VIOLA
48,1.2.4,My brother he is in Elysium.,VIOLA
49,1.2.5,"Perchance he is not drown'd: what think you, sailors?",VIOLA
50,1.2.6,It is perchance that you yourself were saved.,Captain
51,1.2.7,O my poor brother! and so perchance may he be.,VIOLA
52,1.2.8,"True, madam: and, to comfort you with chance,",Captain
53,1.2.9,"Assure yourself, after our ship did split,",Captain
54,1.2.10,When you and those poor number saved with you,Captain
55,1.2.11,"Hung on our driving boat, I saw your brother,",Captain
56,1.2.12,"Most provident in peril, bind himself,",Captain
57,1.2.13,"Courage and hope both teaching him the practise,",Captain
