,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/two_gentlemen/,Two Gentlemen of Verona,
2,1.1.1,"Cease to persuade, my loving Proteus:",VALENTINE
3,1.1.2,Home-keeping youth have ever homely wits.,VALENTINE
4,1.1.3,Were't not affection chains thy tender days,VALENTINE
5,1.1.4,"To the sweet glances of thy honour'd love,",VALENTINE
6,1.1.5,I rather would entreat thy company,VALENTINE
7,1.1.6,"To see the wonders of the world abroad,",VALENTINE
8,1.1.7,"Than, living dully sluggardized at home,",VALENTINE
9,1.1.8,Wear out thy youth with shapeless idleness.,VALENTINE
10,1.1.9,"But since thou lovest, love still and thrive therein,",VALENTINE
11,1.1.10,Even as I would when I to love begin.,VALENTINE
12,1.1.11,"Wilt thou be gone? Sweet Valentine, adieu!",PROTEUS
13,1.1.12,"Think on thy Proteus, when thou haply seest",PROTEUS
14,1.1.13,Some rare note-worthy object in thy travel:,PROTEUS
15,1.1.14,Wish me partaker in thy happiness,PROTEUS
16,1.1.15,"When thou dost meet good hap; and in thy danger,",PROTEUS
17,1.1.16,"If ever danger do environ thee,",PROTEUS
18,1.1.17,"Commend thy grievance to my holy prayers,",PROTEUS
19,1.1.18,"For I will be thy beadsman, Valentine.",PROTEUS
20,1.1.19,And on a love-book pray for my success?,VALENTINE
21,1.1.20,Upon some book I love I'll pray for thee.,PROTEUS
22,1.1.21,That's on some shallow story of deep love:,VALENTINE
23,1.1.22,How young Leander cross'd the Hellespont.,VALENTINE
24,1.1.23,That's a deep story of a deeper love:,PROTEUS
25,1.1.24,For he was more than over shoes in love.,PROTEUS
26,1.1.25,"'Tis true; for you are over boots in love,",VALENTINE
27,1.1.26,And yet you never swum the Hellespont.,VALENTINE
28,1.1.27,"Over the boots? nay, give me not the boots.",PROTEUS
29,1.1.28,"No, I will not, for it boots thee not.",VALENTINE
30,1.1.29,What?,PROTEUS
31,1.1.30,"To be in love, where scorn is bought with groans;",VALENTINE
32,1.1.31,Coy looks with heart-sore sighs; one fading moment's mirth,VALENTINE
33,1.1.32,"With twenty watchful, weary, tedious nights:",VALENTINE
34,1.1.33,"If haply won, perhaps a hapless gain;",VALENTINE
35,1.1.34,"If lost, why then a grievous labour won;",VALENTINE
36,1.1.35,"However, but a folly bought with wit,",VALENTINE
37,1.1.36,Or else a wit by folly vanquished.,VALENTINE
38,1.1.37,"So, by your circumstance, you call me fool.",PROTEUS
