,LineNos,Lines,Speakers
0,/Shakespeare,Shakespeare homepage,
1,/winters_tale/,Winter's Tale,
2,1.1.1,"If you shall chance, Camillo, to visit Bohemia, on",ARCHIDAMUS
3,1.1.2,the like occasion whereon my services are now on,ARCHIDAMUS
4,1.1.3,"foot, you shall see, as I have said, great",ARCHIDAMUS
5,1.1.4,difference betwixt our Bohemia and your Sicilia.,ARCHIDAMUS
6,1.1.5,"I think, this coming summer, the King of Sicilia",CAMILLO
7,1.1.6,means to pay Bohemia the visitation which he justly owes him.,CAMILLO
8,1.1.7,Wherein our entertainment shall shame us we will be,ARCHIDAMUS
9,1.1.8,justified in our loves; for indeed--,ARCHIDAMUS
10,1.1.9,"Beseech you,--",CAMILLO
11,1.1.10,"Verily, I speak it in the freedom of my knowledge:",ARCHIDAMUS
12,1.1.11,we cannot with such magnificence--in so rare--I know,ARCHIDAMUS
13,1.1.12,"not what to say. We will give you sleepy drinks,",ARCHIDAMUS
14,1.1.13,"that your senses, unintelligent of our insufficience,",ARCHIDAMUS
15,1.1.14,"may, though they cannot praise us, as little accuse",ARCHIDAMUS
16,1.1.15,us.,ARCHIDAMUS
17,1.1.16,You pay a great deal too dear for what's given freely.,CAMILLO
18,1.1.17,"Believe me, I speak as my understanding instructs me",ARCHIDAMUS
19,1.1.18,and as mine honesty puts it to utterance.,ARCHIDAMUS
20,1.1.19,Sicilia cannot show himself over-kind to Bohemia.,CAMILLO
21,1.1.20,They were trained together in their childhoods; and,CAMILLO
22,1.1.21,"there rooted betwixt them then such an affection,",CAMILLO
23,1.1.22,which cannot choose but branch now. Since their,CAMILLO
24,1.1.23,more mature dignities and royal necessities made,CAMILLO
25,1.1.24,"separation of their society, their encounters,",CAMILLO
26,1.1.25,"though not personal, have been royally attorneyed",CAMILLO
27,1.1.26,"with interchange of gifts, letters, loving",CAMILLO
28,1.1.27,"embassies; that they have seemed to be together,",CAMILLO
29,1.1.28,"though absent, shook hands, as over a vast, and",CAMILLO
30,1.1.29,"embraced, as it were, from the ends of opposed",CAMILLO
31,1.1.30,winds. The heavens continue their loves!,CAMILLO
32,1.1.31,I think there is not in the world either malice or,ARCHIDAMUS
33,1.1.32,matter to alter it. You have an unspeakable,ARCHIDAMUS
34,1.1.33,comfort of your young prince Mamillius: it is a,ARCHIDAMUS
